,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,961480.0,1605.0,638531,25.78,0.03601,5.024,20.006,16.003,20.002,2494920,3305464,3762859,10000934,19564177,993102,330451,1000000,470262,0.77733266
1,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,960961.0,1508.0,120336,25.794,0.03588,5.029,20.004,16.008,19.996,2497202,3291130,3769776,9997852,19555960,993198,329050,1000000,470999,0.7776822
2,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,957612.0,1499.0,716978,25.793,0.03416,5.037,19.997,16.001,19.991,2501305,3300784,3770416,9995533,19568038,993252,330135,1000000,471285,0.7777542
3,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,960253.0,1540.0,388360,25.752,0.03546,5.018,20.002,15.992,20.0,2491600,3300556,3756478,9999847,19548481,993155,330015,1000000,469803,0.7771043
4,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,950455.0,1541.0,390214,25.798,0.03133,5.033,20.005,15.997,19.993,2499330,3297374,3767677,9996420,19560801,993189,329647,1000000,471050,0.77789587
5,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,960566.0,1502.0,266029,25.757,0.03545,5.021,20.0,16.002,20.006,2493401,3311370,3759416,10002836,19567023,993195,331142,1000000,469859,0.77713627
6,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,958316.0,1540.0,211479,25.763,0.03441,5.034,20.002,16.004,20.002,2500118,3301019,3764261,10000819,19566217,993299,330062,1000000,470407,0.77713275
7,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,960185.0,1493.0,519305,25.783,0.03553,5.021,20.003,16.002,20.009,2493092,3297708,3766877,10004376,19562053,993144,329729,1000000,470807,0.77770066
8,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,944834.0,1520.0,821118,25.772,0.0295,5.025,20.0,16.007,20.001,2495429,3306148,3763652,10000653,19565882,993171,330617,1000000,470242,0.7773265
9,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,963743.0,1533.0,220063,25.771,0.03741,5.031,19.991,16.004,19.992,2498692,3297555,3760107,9995957,19552311,993249,329896,1000000,469896,0.7772736
10,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,953889.0,1475.0,365349,25.761,0.03275,5.029,19.997,16.002,20.0,2497691,3303005,3759980,10000035,19560711,993273,330347,1000000,469935,0.77725863
11,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,963751.0,1503.0,792206,25.791,0.03729,5.028,20.017,16.008,20.001,2496723,3303319,3764935,10000713,19565690,993202,330045,1000000,470396,0.7776182
12,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,963231.0,1518.0,754093,25.769,0.03698,5.02,19.996,16.006,20.0,2493282,3303497,3763458,9999783,19560020,993311,330408,1000000,470270,0.7773721
13,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,961352.0,1484.0,148621,25.75,0.03599,5.036,19.985,15.987,19.993,2500797,3305856,3759496,9996673,19562822,993090,330838,1000000,470318,0.7775366
14,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,964135.0,1467.0,511741,25.811,0.03738,5.033,19.995,16.001,19.992,2499590,3292345,3766188,9996156,19554279,993287,329309,1000000,470747,0.7778386
15,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,952372.0,1514.0,840832,25.762,0.03204,5.025,20.003,16.0,19.997,2495418,3306800,3757244,9998699,19558161,993139,330634,1000000,469666,0.777071
16,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,954283.0,1472.0,101913,25.763,0.03279,5.027,19.994,16.005,20.011,2496685,3305878,3761358,10005264,19569185,993263,330689,1000000,470016,0.77732384
17,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,961021.0,1522.0,816559,25.775,0.03579,5.026,19.99,15.989,19.998,2495568,3294918,3758977,9999174,19548637,993099,329657,1000000,470190,0.77719307
18,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,954019.0,1487.0,520740,25.798,0.03265,5.022,20.002,16.001,20.005,2494006,3300669,3768235,10002567,19565477,993201,330042,1000000,471000,0.77786857
19,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,950186.0,1485.0,439947,25.805,0.03127,5.028,20.014,16.002,19.998,2496672,3302754,3762668,9999080,19561174,993145,330046,1000000,470288,0.77780336
20,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,956909.0,1553.0,260891,25.784,0.03399,5.023,19.999,15.995,20.001,2494289,3296060,3758564,10000493,19549406,993240,329623,1000000,469954,0.7772954
21,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,963261.0,1496.0,12268,25.776,0.0367,5.034,20.008,15.994,19.999,2500096,3310282,3759964,9999733,19570075,993188,330895,1000000,470166,0.777758
