,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,931608.0,1150.0,803806,23.829,0.03251,3.662,19.996,16.008,20.003,1778742,3772491,3370178,10001304,18922715,971469,377333,1000000,421055,0.7518047
1,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,933445.0,1140.0,573840,23.818,0.03297,3.662,20.004,16.01,19.998,1778011,3776025,3378839,9998865,18931740,971153,377520,1000000,422099,0.7522007
2,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,919911.0,1141.0,709684,23.813,0.02966,3.659,19.997,16.008,20.001,1777291,3776335,3367541,10000306,18921473,971473,377698,1000000,420742,0.7518028
3,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,933662.0,1207.0,77058,23.821,0.03313,3.658,20.005,16.0,20.006,1776148,3775175,3369331,10002890,18923544,971179,377420,1000000,421161,0.75217307
4,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,936489.0,1141.0,110283,23.849,0.03389,3.655,19.996,16.001,20.0,1775123,3766814,3376298,9999940,18918175,971414,376759,1000000,422008,0.75253856
5,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,930826.0,1114.0,44987,23.834,0.03221,3.657,20.003,15.997,19.996,1776496,3778008,3369315,9998180,18921999,971453,377736,1000000,421246,0.75227696
6,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,948972.0,1169.0,629072,23.837,0.0389,3.654,19.998,16.003,20.0,1774690,3776920,3375305,10000160,18927075,971275,377734,1000000,421841,0.75221163
7,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,904490.0,1099.0,753162,23.828,0.02662,3.654,19.996,16.012,20.003,1774349,3769665,3375275,10001364,18920653,971303,377044,1000000,421593,0.7519071
8,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,919899.0,1118.0,7248,23.84,0.02962,3.655,19.992,16.006,20.005,1774713,3765546,3375104,10002661,18918024,971060,376702,1000000,421735,0.7522633
9,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,931185.0,1160.0,575816,23.81,0.03242,3.644,19.998,15.997,19.992,1769598,3777880,3372425,9995946,18915849,971282,377826,1000000,421630,0.7520254
10,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,932431.0,1185.0,870120,23.829,0.0329,3.651,20.001,16.002,19.996,1773248,3773349,3375027,9997779,18919403,971322,377307,1000000,421828,0.75210804
11,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,926694.0,1170.0,286809,23.857,0.0313,3.659,19.993,16.001,20.001,1777422,3773679,3374518,10000707,18926326,971451,377494,1000000,421776,0.75250965
12,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,923191.0,1126.0,387600,23.823,0.0304,3.651,20.006,15.997,20.003,1772713,3777412,3368005,10001661,18919791,971103,377624,1000000,421085,0.7518721
13,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,938302.0,1124.0,135949,23.816,0.03455,3.657,19.999,16.002,20.0,1776042,3776716,3368820,9999887,18921465,971393,377688,1000000,421056,0.7518462
14,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,939252.0,1125.0,102396,23.844,0.03508,3.655,19.998,16.003,20.002,1774846,3772799,3374591,10001001,18923237,971253,377325,1000000,421742,0.7523735
15,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,933074.0,1094.0,230184,23.844,0.03291,3.65,19.998,16.002,20.006,1772777,3776955,3371137,10002780,18923649,971409,377737,1000000,421329,0.7521733
16,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,935421.0,1110.0,453650,23.873,0.03357,3.659,19.993,16.0,19.997,1777188,3775547,3372956,9998654,18924345,971292,377692,1000000,421608,0.75263625
17,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,922866.0,1137.0,516928,23.808,0.03022,3.65,20.019,16.005,19.99,1772071,3778200,3372719,9995123,18918113,971035,377460,1000000,421453,0.7517058
18,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,934777.0,1139.0,714536,23.822,0.03366,3.648,20.005,16.002,19.995,1772085,3773297,3371345,9997680,18914407,971418,377242,1000000,421357,0.7520558
19,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,925655.0,1168.0,669500,23.855,0.03096,3.656,20.005,16.005,20.003,1775684,3765674,3374821,10001647,18917826,971266,376474,1000000,421731,0.752351
20,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,941159.0,1082.0,212665,23.847,0.03552,3.662,20.001,16.0,20.001,1778751,3774132,3371545,10000542,18924970,971506,377390,1000000,421430,0.75211793
21,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,910819.0,1114.0,525769,23.836,0.02759,3.663,20.008,15.991,19.997,1778740,3779096,3367797,9998716,18924349,971207,377762,1000000,421218,0.7520951
22,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,933949.0,1122.0,744454,23.831,0.03319,3.664,19.993,16.002,19.995,1779642,3777389,3369379,9997339,18923749,971510,377871,1000000,421115,0.7521739
23,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,931786.0,1165.0,100575,23.829,0.03269,3.662,19.994,15.999,19.999,1778488,3766808,3374190,9999627,18919113,971364,376800,1000000,421793,0.75205845
24,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,909260.0,1142.0,35598,23.796,0.02732,3.665,19.994,15.997,20.0,1779744,3776005,3365008,9999882,18920639,971246,377712,1000000,420693,0.751606
