,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,964651.0,4746.0,891846,37.029,0.03844,2.54,19.994,16.003,20.01,1140960,2122527,4707688,10005024,17976199,898395,212313,1000000,588353,0.92623156
1,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,967075.0,4805.0,367534,37.083,0.03961,2.543,20.01,16.002,20.004,1143085,2116163,4713535,10001851,17974634,899050,211509,1000000,589110,0.9269003
2,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,970893.0,4869.0,805529,37.067,0.04248,2.548,19.984,16.003,20.005,1145088,2113238,4709178,10002288,17969792,898641,211492,1000000,588535,0.92678636
3,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,965430.0,4924.0,645389,37.09,0.03864,2.549,19.99,15.991,19.988,1145450,2110364,4704818,9993786,17954418,898850,211146,1000000,588444,0.9268363
4,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,943688.0,4650.0,682152,37.055,0.02934,2.543,19.987,15.992,20.004,1142844,2113862,4705374,10002226,17964306,898797,211526,1000000,588450,0.9265109
5,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,958984.0,4785.0,213604,37.04,0.03524,2.548,19.997,15.987,19.994,1144812,2112263,4704279,9997112,17958466,898770,211259,1000000,588495,0.9262879
6,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,955002.0,4863.0,629536,37.033,0.03323,2.545,20.009,15.993,19.994,1144481,2119520,4706606,9997026,17967633,899353,211855,1000000,588571,0.92635864
7,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,958502.0,4850.0,914561,37.055,0.03496,2.55,20.002,15.991,20.0,1146291,2105713,4717931,9999885,17969820,899059,210548,1000000,590082,0.92677355
8,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,959649.0,4857.0,684953,37.023,0.0355,2.546,19.998,15.999,20.0,1144041,2117105,4708024,10000054,17969224,898752,211736,1000000,588548,0.9262249
9,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,953733.0,4841.0,546009,37.037,0.03272,2.552,20.011,16.004,19.998,1147093,2118396,4705358,9999046,17969893,898982,211720,1000000,588024,0.9263699
10,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,946870.0,4760.0,901884,37.057,0.03031,2.551,19.988,15.995,20.003,1146417,2115346,4709253,10001662,17972678,898946,211666,1000000,588839,0.92675644
11,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,967128.0,4788.0,892998,37.042,0.03993,2.55,19.991,15.996,20.001,1145247,2109990,4712206,10000740,17968183,898088,211099,1000000,589186,0.9266127
12,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,948682.0,4862.0,318539,37.023,0.03104,2.55,19.996,16.0,20.0,1146536,2116353,4709281,9999972,17972142,899157,211682,1000000,588647,0.92609596
13,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,954282.0,4943.0,599348,37.041,0.03311,2.547,20.025,15.994,20.002,1144479,2116596,4713988,10000867,17975930,898713,211397,1000000,589469,0.9264517
14,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,966280.0,4911.0,423547,37.049,0.03938,2.548,19.997,15.995,19.999,1145055,2110917,4710176,9999587,17965735,898791,211120,1000000,588970,0.9263457
15,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,953344.0,4879.0,667268,37.084,0.03252,2.55,20.006,16.002,20.012,1146169,2113482,4705980,10005934,17971565,898973,211286,1000000,588184,0.9268102
16,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,957700.0,4747.0,477654,37.043,0.03453,2.544,20.003,15.993,20.004,1143620,2115777,4713198,10002236,17974831,898997,211544,1000000,589410,0.92646843
17,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,964288.0,4874.0,709749,37.037,0.03799,2.548,19.986,15.991,19.995,1144625,2116556,4707293,9997596,17966070,898450,211806,1000000,588744,0.92617667
18,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,951720.0,4929.0,982805,37.062,0.03205,2.547,20.019,16.0,20.0,1144762,2113454,4713356,9999973,17971545,898860,211147,1000000,589173,0.92672074
19,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,960042.0,4856.0,973056,37.01,0.03588,2.547,19.998,15.994,20.01,1144145,2115860,4706290,10004944,17971239,898489,211610,1000000,588491,0.9261336
20,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,942911.0,4722.0,993616,37.035,0.02925,2.549,20.004,15.993,20.008,1145000,2123781,4698550,10003880,17971211,898401,212338,1000000,587566,0.9263173
21,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,961916.0,4804.0,263618,37.035,0.03648,2.544,19.995,15.996,19.994,1142400,2121551,4710079,9996826,17970856,897942,212213,1000000,588903,0.92625815
22,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,965220.0,4823.0,954200,37.035,0.0388,2.546,20.003,15.999,19.997,1144664,2117358,4710809,9998743,17971574,899132,211709,1000000,588885,0.9264953
23,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,958354.0,4884.0,558238,37.079,0.03465,2.555,20.007,15.996,20.007,1149008,2109701,4713406,10003366,17975481,899354,210896,1000000,589323,0.9268025
