,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,928486.0,3964.0,481016,33.649,0.02498,3.218,20.003,15.997,20.008,1533954,2567905,4428922,10003957,18534738,953458,256748,1000000,553709,0.88596237
1,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,941666.0,3981.0,633397,33.664,0.02787,3.219,20.008,15.999,20.002,1534879,2571491,4423968,10001138,18531476,953559,257042,1000000,553022,0.88629186
2,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,933380.0,4092.0,860586,33.668,0.02605,3.216,20.0,16.013,20.002,1533893,2563053,4434364,10001113,18532423,953784,256307,1000000,553852,0.88605714
3,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,946850.0,3940.0,29350,33.652,0.02961,3.218,19.998,15.993,20.001,1534138,2564173,4435167,10000294,18533772,953393,256446,1000000,554627,0.88635933
4,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,943667.0,3945.0,12330,33.636,0.02861,3.221,20.005,16.006,20.01,1535477,2565259,4436588,10005145,18542469,953529,256459,1000000,554365,0.88590026
5,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,940727.0,3887.0,965382,33.683,0.02767,3.215,20.003,16.001,19.999,1533021,2561621,4434932,9999510,18529084,953578,256118,1000000,554323,0.8867845
6,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,940343.0,3962.0,835431,33.669,0.02776,3.212,19.997,15.997,19.996,1530887,2553957,4439922,9997877,18522643,953375,255437,1000000,555098,0.8864206
7,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,903730.0,3730.0,376732,33.66,0.02106,3.221,19.998,16.0,20.003,1535975,2565120,4430064,10001458,18532617,953655,256544,1000000,553763,0.8859988
8,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,874993.0,3753.0,964949,33.693,0.0181,3.221,19.996,15.998,20.002,1536190,2560557,4433230,10000764,18530741,953821,256102,1000000,554220,0.8866943
9,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,929593.0,3862.0,469294,33.684,0.02509,3.22,19.986,15.998,19.997,1535370,2558247,4441743,9998662,18534022,953739,256009,1000000,555291,0.8862504
10,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,932710.0,4039.0,915304,33.651,0.02584,3.217,19.997,16.006,20.007,1534225,2561216,4435738,10003360,18534539,953812,256157,1000000,554267,0.88622296
11,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,939573.0,3972.0,189539,33.615,0.0273,3.22,19.987,16.006,19.998,1535300,2561282,4438574,9999100,18534256,953569,256293,1000000,554605,0.8857783
12,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,942326.0,4066.0,584300,33.67,0.02809,3.22,19.996,16.006,19.996,1535326,2563985,4438205,9997896,18535412,953600,256449,1000000,554573,0.88633025
13,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,945504.0,4032.0,689473,33.671,0.02894,3.219,20.006,16.003,19.996,1533988,2567076,4432379,9997813,18531256,953049,256632,1000000,553940,0.8862638
