,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,897367.0,819.0,625076,21.126,0.0277,3.636,20.0,16.007,19.994,1765072,4147724,2947520,9997121,18857437,970933,414774,1000000,368286,0.7130942
1,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,878296.0,844.0,164621,21.147,0.02487,3.631,19.999,15.998,20.004,1762586,4146515,2948526,10001993,18859620,970825,414665,1000000,368605,0.71316004
2,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,896233.0,796.0,668934,21.133,0.02761,3.637,20.0,15.991,20.0,1765853,4150293,2948858,10000081,18865085,971111,415032,1000000,368812,0.7135078
3,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,892510.0,843.0,538477,21.134,0.02693,3.643,19.998,15.992,20.006,1768126,4143886,2955539,10003240,18870791,970747,414425,1000000,369621,0.7134685
4,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,861677.0,810.0,400116,21.111,0.02294,3.635,20.004,15.998,20.0,1764459,4148150,2947979,9999831,18860419,970884,414732,1000000,368536,0.7131617
5,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,875678.0,800.0,85269,21.155,0.02446,3.644,20.002,15.996,20.006,1768548,4143153,2954767,10002997,18869465,970623,414275,1000000,369433,0.7138239
6,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,886872.0,831.0,219145,21.127,0.026,3.638,19.993,15.995,20.006,1766407,4146771,2950196,10003027,18866401,970986,414832,1000000,368893,0.71332175
7,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,886869.0,817.0,221565,21.143,0.02603,3.636,20.008,15.995,20.005,1764740,4152419,2947703,10002279,18867141,970682,415083,1000000,368584,0.71343535
8,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,887540.0,843.0,269542,21.135,0.0262,3.643,20.007,16.007,19.999,1768891,4152426,2945972,9999591,18866880,971050,415092,1000000,368090,0.7135741
9,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,892503.0,834.0,315643,21.103,0.02708,3.638,19.997,16.009,20.008,1765539,4148660,2949641,10003797,18867637,970715,414935,1000000,368496,0.71310943
10,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,895201.0,846.0,131555,21.154,0.02742,3.636,20.014,15.999,19.999,1765060,4142339,2954534,9999517,18861450,970915,413936,1000000,369350,0.7137209
11,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,891692.0,793.0,807209,21.15,0.0268,3.637,20.001,15.996,20.001,1765738,4145735,2954495,10000652,18866620,970902,414560,1000000,369396,0.71375924
12,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,843825.0,801.0,290330,21.15,0.02122,3.638,20.012,16.01,19.995,1765868,4142373,2956806,9997645,18862692,970773,413995,1000000,369377,0.71361303
13,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,919966.0,842.0,45839,21.112,0.03233,3.63,19.992,16.011,20.0,1762635,4148894,2948010,9999879,18859418,971028,415065,1000000,368259,0.7130291
14,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,886476.0,801.0,649236,21.108,0.02606,3.641,19.987,15.996,19.995,1767786,4150269,2946678,9997742,18862475,970925,415289,1000000,368418,0.7129516
15,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,901836.0,872.0,23739,21.122,0.02854,3.638,19.988,16.011,19.995,1765537,4137957,2955500,9997312,18856306,970656,414035,1000000,369173,0.7132247
16,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,881615.0,854.0,352590,21.147,0.02543,3.638,19.991,15.999,19.994,1766101,4149382,2946068,9997165,18858716,971047,415119,1000000,368290,0.7136183
17,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,887446.0,801.0,159360,21.132,0.02622,3.631,19.991,15.999,20.001,1762309,4136356,2953594,10000491,18852750,970710,413815,1000000,369216,0.7134783
18,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,910941.0,857.0,206744,21.117,0.03029,3.64,20.003,15.998,19.992,1766365,4149797,2944031,9996088,18856281,970570,414911,1000000,368054,0.71302307
19,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,892482.0,809.0,681178,21.139,0.02686,3.637,20.013,16.0,20.003,1765376,4146857,2953977,10001342,18867552,970696,414413,1000000,369251,0.71339184
20,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,903893.0,849.0,280846,21.111,0.02894,3.633,20.003,16.006,19.994,1763201,4148446,2951150,9997131,18859928,970644,414779,1000000,368756,0.71296674
21,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,899281.0,824.0,57375,21.157,0.02801,3.651,20.009,16.001,20.001,1772064,4139050,2955671,10000451,18867236,970615,413719,1000000,369432,0.71372426
22,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,868243.0,852.0,194857,21.11,0.02375,3.637,19.988,15.997,20.001,1765674,4145437,2943131,10000617,18854859,970843,414801,1000000,367966,0.7128572
23,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,915320.0,867.0,651654,21.13,0.03143,3.64,19.993,15.992,19.989,1766752,4136460,2954829,9994366,18852407,970700,413787,1000000,369531,0.7132026
24,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,894094.0,838.0,801447,21.131,0.02731,3.635,20.005,15.993,19.992,1764801,4148746,2947258,9995924,18856729,970885,414778,1000000,368571,0.71316886
25,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,914946.0,845.0,623514,21.137,0.03105,3.645,19.995,16.004,19.998,1769395,4147605,2946645,9999157,18862802,970738,414866,1000000,368230,0.7130684
26,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,860748.0,823.0,310596,21.12,0.02294,3.638,19.998,16.007,20.002,1766237,4144824,2951743,10001003,18863807,970867,414531,1000000,368817,0.71328485
27,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,865057.0,800.0,975562,21.129,0.02329,3.645,20.001,16.0,19.992,1769548,4142765,2948908,9996118,18857339,971069,414258,1000000,368621,0.7132626
28,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,878513.0,804.0,558240,21.163,0.02486,3.645,19.995,15.998,19.996,1770014,4144129,2952355,9997984,18864482,971091,414520,1000000,369086,0.7137031
29,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,887501.0,851.0,18724,21.123,0.02623,3.64,20.003,15.997,19.999,1766312,4148041,2948542,9999654,18862549,970530,414751,1000000,368629,0.7132003
