,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,954078.0,7804.0,574500,41.686,0.03473,1.901,19.998,16.004,19.999,729598,1645997,4798173,9999529,17173297,767588,164616,1000000,599629,0.9792862
1,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,959661.0,8021.0,969915,41.69,0.03744,1.896,19.984,16.0,20.001,727163,1645994,4796651,10000494,17170302,766970,164728,1000000,599583,0.97949123
2,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,948131.0,7886.0,305384,41.69,0.0324,1.894,20.004,16.002,20.008,726900,1649524,4790787,10004157,17171368,767423,164917,1000000,598765,0.97940314
3,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,951257.0,7839.0,313783,41.705,0.03359,1.898,20.005,15.996,20.002,727479,1640117,4801627,10001227,17170450,766730,163970,1000000,600350,0.9798348
4,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,957451.0,7939.0,651302,41.737,0.03635,1.903,20.016,15.994,19.996,730190,1640548,4792516,9998154,17161408,767336,163927,1000000,599300,0.9800583
5,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,960574.0,8031.0,790914,41.7,0.03783,1.903,19.997,15.994,19.996,730296,1645306,4790763,9998003,17164368,767691,164553,1000000,599071,0.9795524
6,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,954881.0,7815.0,985809,41.703,0.03512,1.899,20.005,15.999,19.992,728201,1645876,4792387,9995825,17162289,766845,164550,1000000,599096,0.9795085
7,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,941856.0,7779.0,118123,41.711,0.0303,1.9,20.0,15.998,19.997,729229,1647265,4799710,9998392,17174596,767480,164730,1000000,600055,0.9798865
8,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,953602.0,8025.0,17284,41.731,0.03469,1.898,19.984,16.004,19.996,727569,1643438,4790193,9997996,17159196,766803,164475,1000000,598606,0.9799646
9,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,957304.0,7936.0,858997,41.688,0.03628,1.9,19.998,16.002,19.993,728665,1647240,4789011,9996743,17161659,767071,164738,1000000,598554,0.9793174
10,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,948950.0,7920.0,341531,41.686,0.03267,1.899,19.987,15.998,20.003,728294,1650096,4795497,10001298,17175185,766953,165120,1000000,599523,0.97952944
11,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,952788.0,7911.0,920194,41.696,0.03414,1.899,19.977,16.001,19.993,728292,1644011,4797856,9996489,17166648,766902,164588,1000000,599689,0.97950524
12,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,956521.0,7915.0,615029,41.709,0.03584,1.899,19.999,16.004,19.996,728197,1643243,4798759,9998141,17168340,766982,164330,1000000,599683,0.9795316
13,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,965696.0,8066.0,111924,41.715,0.0407,1.902,19.998,15.995,20.003,730034,1648556,4792417,10001566,17172573,767674,164873,1000000,599240,0.97964644
14,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,959384.0,8177.0,631789,41.701,0.03722,1.901,19.997,15.998,20.0,729259,1650685,4789440,10000146,17169530,767103,165094,1000000,598763,0.9795346
15,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,956409.0,7976.0,989678,41.711,0.0357,1.902,20.0,16.005,20.0,730717,1640273,4801266,10000188,17172444,768228,164025,1000000,599980,0.97955996
16,ukraine,1000000,1000,2020-01-01,2020-12-31,hybrid,952914.0,7803.0,282513,41.727,0.03426,1.903,19.99,16.005,20.011,730698,1642499,4786076,10005576,17164849,767876,164335,1000000,598062,0.97977734
