,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,790455.0,919.0,751401,22.633,0.01632,3.936,19.996,15.997,19.995,1926317,3931608,3151540,9997696,19007161,978760,393236,1000000,394007,0.7324511
1,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,744029.0,855.0,831657,22.637,0.01444,3.935,19.993,16.004,19.996,1925698,3921080,3157702,9997855,19002335,978631,392253,1000000,394602,0.7325489
2,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,830692.0,1051.0,523306,22.649,0.01881,3.933,19.998,15.997,20.004,1924259,3923464,3158195,10002054,19007972,978509,392382,1000000,394839,0.73274535
3,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,708066.0,867.0,333957,22.668,0.01332,3.933,19.997,15.997,20.003,1924317,3917783,3161984,10001326,19005410,978644,391845,1000000,395313,0.7332519
4,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,858959.0,1037.0,780477,22.668,0.0211,3.936,20.004,16.0,20.005,1926707,3910497,3158669,10002519,18998392,979030,390963,1000000,394830,0.732907
5,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,736155.0,944.0,783341,22.648,0.01417,3.938,20.005,15.999,19.993,1927062,3919901,3156090,9996641,18999694,978803,391890,1000000,394539,0.7325365
6,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,677016.0,853.0,177802,22.661,0.01248,3.923,19.995,16.009,20.003,1919335,3920972,3159037,10001411,19000755,978619,392193,1000000,394655,0.73273236
7,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,757074.0,972.0,41130,22.643,0.0149,3.941,19.985,16.009,20.005,1928519,3916818,3163912,10002304,19011553,978632,391973,1000000,395279,0.73278546
8,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,878343.0,1128.0,251854,22.633,0.02312,3.943,20.001,16.003,19.997,1929845,3922670,3155545,9998654,19006714,978803,392253,1000000,394365,0.73262954
9,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,396929.0,533.0,771651,22.661,0.00827,3.931,20.003,15.997,20.0,1923943,3908691,3162018,9999753,18994405,978734,390818,1000000,395315,0.7331179
10,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,660983.0,878.0,755305,22.645,0.01206,3.933,20.005,16.001,19.999,1924504,3924146,3157154,9999465,19005269,978541,392326,1000000,394613,0.73278207
11,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,810020.0,1000.0,455932,22.659,0.01749,3.934,19.997,15.996,19.998,1925543,3917595,3161905,9998754,19003797,978836,391828,1000000,395347,0.73323035
