,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,948223.0,7890.0,903078,38.078,0.03405,2.142,19.997,16.003,20.001,890807,2216110,4336246,10000314,17443477,831862,221641,1000000,541942,0.9381715
1,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,895430.0,7337.0,843982,38.02,0.02299,2.141,19.984,15.999,19.994,890141,2221660,4327727,9996812,17436340,831514,222339,1000000,541004,0.93761826
2,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,944365.0,7803.0,645855,38.045,0.03281,2.138,20.006,16.0,19.997,888430,2217935,4334665,9998652,17439682,831266,221730,1000000,541839,0.93798316
3,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,884595.0,7399.0,74186,38.066,0.02174,2.141,19.997,15.987,20.0,890173,2221245,4325174,9999968,17436560,831696,222158,1000000,541096,0.93786746
4,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,900628.0,7532.0,914675,38.058,0.02358,2.143,20.003,15.998,19.997,890772,2221222,4328117,9998664,17438775,831283,222087,1000000,541079,0.9380634
5,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,914118.0,7609.0,728426,38.052,0.02564,2.143,20.004,15.998,20.002,890893,2216718,4335532,10000822,17443965,831373,221626,1000000,542017,0.9377492
6,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,919258.0,7590.0,900169,38.076,0.02649,2.142,20.008,15.987,20.001,890794,2219587,4325835,10000641,17436857,831647,221871,1000000,541154,0.93819374
7,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,935258.0,7801.0,228564,38.102,0.02995,2.142,19.997,15.997,20.0,890783,2215582,4334784,10000056,17441205,831587,221589,1000000,541965,0.9386288
8,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,921390.0,7792.0,269105,38.064,0.02709,2.143,20.002,15.992,20.0,891662,2218291,4327368,9999997,17437318,832108,221803,1000000,541187,0.93773115
9,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,924426.0,7621.0,377003,38.064,0.02752,2.143,20.008,16.001,19.996,890477,2213050,4335142,9998127,17436796,831183,221216,1000000,541852,0.93807656
10,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,898188.0,7282.0,550666,38.014,0.02326,2.145,20.007,16.006,20.0,891459,2223984,4328180,9999978,17443601,831220,222320,1000000,540806,0.9372131
11,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,931088.0,7694.0,257993,38.071,0.02904,2.146,19.993,16.006,19.999,892436,2207482,4335726,9999563,17435207,831660,220831,1000000,541768,0.93817806
12,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,886054.0,7358.0,426043,38.058,0.02194,2.138,20.012,15.998,20.004,888296,2217085,4330083,10001894,17437358,830849,221580,1000000,541321,0.9381749
13,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,930941.0,7553.0,197865,38.063,0.02898,2.143,20.015,15.997,20.005,890520,2217966,4332765,10002615,17443866,831068,221634,1000000,541714,0.93806773
14,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,949081.0,7842.0,139063,38.07,0.03452,2.146,20.018,16.0,19.999,891755,2218502,4335840,9999514,17445611,831211,221652,1000000,541964,0.9380052
15,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,899412.0,7366.0,631752,38.111,0.0234,2.142,19.99,15.998,20.003,891142,2207354,4333112,10001495,17433103,832024,220850,1000000,541695,0.93848073
16,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,942810.0,7882.0,654336,38.04,0.03242,2.138,19.988,15.999,20.005,887941,2221136,4331968,10002456,17443501,830761,222246,1000000,541532,0.93768907
