,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,961563.0,7854.0,290734,39.766,0.04037,1.923,19.994,15.999,19.998,744466,2039552,4430645,9999239,17213902,774250,204012,1000000,553869,0.9591295
1,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,958930.0,7949.0,459216,39.789,0.03902,1.925,20.0,15.994,19.996,745013,2041174,4427706,9997872,17211765,774153,204122,1000000,553682,0.95929986
2,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,960626.0,7746.0,575920,39.783,0.03994,1.925,20.009,16.007,20.002,746497,2038341,4430524,10001139,17216501,775462,203738,1000000,553579,0.9590015
3,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,958712.0,7775.0,4268,39.808,0.03877,1.926,20.003,16.0,19.996,746615,2035632,4432421,9998121,17212789,775483,203530,1000000,554064,0.9596341
4,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,946220.0,7687.0,536363,39.765,0.03349,1.922,19.994,15.995,20.004,744220,2035358,4429305,10001932,17210815,774384,203597,1000000,553843,0.9588601
5,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,942603.0,7500.0,281795,39.807,0.03206,1.921,20.026,15.996,20.004,744807,2035594,4431085,10001867,17213353,775269,203294,1000000,554026,0.959709
6,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,936667.0,7717.0,348633,39.783,0.03047,1.922,20.001,15.998,19.996,744287,2037286,4425949,9997787,17205309,774548,203717,1000000,553329,0.9591372
7,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,952224.0,7702.0,340089,39.829,0.03585,1.924,20.008,16.005,19.995,745536,2031909,4434537,9997677,17209659,775103,203112,1000000,554161,0.9598535
8,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,952941.0,7685.0,15258,39.796,0.03619,1.926,19.991,16.006,20.001,745928,2037305,4433099,10000643,17216975,774512,203823,1000000,553937,0.95909256
9,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,949591.0,7665.0,998556,39.78,0.03481,1.924,19.994,16.004,20.004,745538,2038874,4429404,10001784,17215600,774848,203947,1000000,553530,0.9594005
10,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,945774.0,7652.0,616095,39.797,0.03337,1.925,20.001,15.994,20.004,745857,2033040,4432072,10001831,17212800,774893,203297,1000000,554228,0.95940083
11,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,950124.0,7703.0,706747,39.761,0.03495,1.921,19.999,16.013,20.004,745157,2038280,4433302,10002224,17218963,775713,203840,1000000,553702,0.9589702
12,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,950377.0,7560.0,470506,39.815,0.03496,1.926,20.002,15.997,20.004,747105,2035364,4430006,10001752,17214227,775794,203519,1000000,553870,0.9594115
13,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,940904.0,7479.0,953123,39.83,0.03178,1.927,19.997,16.002,20.009,746490,2034001,4435416,10004454,17220361,774724,203432,1000000,554373,0.9600733
14,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,948134.0,7585.0,689145,39.76,0.0344,1.922,19.988,16.0,20.004,744744,2038409,4425445,10001980,17210578,775029,203966,1000000,553164,0.9587798
15,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,951619.0,7609.0,280828,39.751,0.03569,1.924,19.998,16.004,20.0,745110,2039572,4429569,10000109,17214360,774613,203982,1000000,553551,0.95856977
16,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,947462.0,7695.0,168277,39.76,0.03408,1.921,19.981,16.002,20.0,744202,2035655,4430791,9999754,17210402,774608,203760,1000000,553785,0.958997
17,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,946260.0,7640.0,724812,39.773,0.03357,1.924,19.988,15.991,20.002,745153,2037277,4427496,10000967,17210893,774661,203847,1000000,553763,0.95904523
18,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,959248.0,7811.0,588769,39.849,0.03912,1.927,19.983,16.008,20.003,747441,2029285,4429633,10001462,17207821,775748,203097,1000000,553429,0.95998114
19,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,952795.0,7751.0,819306,39.764,0.03633,1.919,20.01,16.002,19.999,743075,2037010,4432138,9999514,17211737,774540,203601,1000000,553965,0.9589679
20,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,956124.0,7825.0,974762,39.786,0.03775,1.924,20.016,16.004,20.004,745194,2041534,4428217,10001956,17216901,774517,203995,1000000,553377,0.9591849
21,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,940699.0,7598.0,703681,39.788,0.03179,1.923,20.005,16.002,19.998,744712,2038303,4424766,9998961,17206742,774584,203775,1000000,553027,0.959211
22,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,915999.0,7187.0,563121,39.835,0.02604,1.926,19.998,15.993,20.0,747006,2025998,4434332,9999844,17207180,775591,202618,1000000,554521,0.96000725
23,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,929380.0,7472.0,134994,39.831,0.02877,1.926,19.999,15.997,19.999,745396,2029928,4432882,9999675,17207881,773870,203008,1000000,554214,0.95979846
24,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,948673.0,7547.0,461552,39.745,0.03442,1.92,19.994,16.0,20.001,743392,2039342,4424804,10000712,17208250,774528,204000,1000000,553114,0.95872873
25,usa,1000000,1000,2020-01-01,2020-12-31,hybrid,947668.0,7547.0,796558,39.78,0.03418,1.927,19.994,16.005,19.994,745488,2039213,4427607,9997079,17209387,773819,203982,1000000,553263,0.95900416
