,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,901644.0,2145.0,296999,29.835,0.01975,4.299,19.986,16.003,19.989,2118048,2781426,4381350,9994686,19275510,985469,278344,1000000,547571,0.8399648
1,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,900153.0,2106.0,880704,29.814,0.01958,4.305,19.99,15.993,19.996,2121246,2789229,4373032,9997879,19281386,985513,279069,1000000,546884,0.83951104
2,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,860898.0,2063.0,940036,29.798,0.01626,4.298,20.0,16.002,20.004,2118311,2782468,4379333,10002249,19282361,985705,278247,1000000,547356,0.8393116
3,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,884177.0,2104.0,334169,29.756,0.01808,4.3,20.008,15.998,19.995,2118885,2795847,4367069,9997497,19279298,985459,279478,1000000,545960,0.8385786
4,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,829819.0,1969.0,680569,29.793,0.01449,4.3,19.989,15.993,19.992,2119136,2784422,4376513,9996133,19276204,985602,278594,1000000,547287,0.83943844
5,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,788280.0,1829.0,348190,29.795,0.01277,4.297,19.994,16.0,19.999,2117369,2793553,4378281,9999706,19288909,985570,279441,1000000,547292,0.8394333
6,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,893317.0,2076.0,215723,29.78,0.01902,4.291,20.002,16.006,19.992,2114168,2792557,4370340,9996144,19273209,985414,279233,1000000,546073,0.83879507
7,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,901352.0,2150.0,954348,29.804,0.01972,4.309,19.98,15.989,19.994,2123492,2777961,4375272,9996871,19273596,985648,278081,1000000,547287,0.8392141
8,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,829674.0,1951.0,152323,29.781,0.01445,4.301,19.986,15.989,19.997,2119475,2782650,4372016,9998624,19272765,985639,278460,1000000,546868,0.8392276
9,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,889102.0,2157.0,360511,29.8,0.01846,4.306,19.992,15.991,20.004,2122109,2792232,4372312,10002077,19288730,985546,279334,1000000,546833,0.83966154
10,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,832972.0,1938.0,942405,29.779,0.01462,4.312,20.002,15.991,20.0,2124715,2782356,4380032,10000175,19287278,985528,278210,1000000,547827,0.839356
11,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,851302.0,2011.0,887805,29.742,0.01573,4.304,20.0,16.005,20.003,2120771,2799343,4366296,10001596,19288006,985507,279935,1000000,545620,0.83852106
12,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,907209.0,2177.0,108128,29.827,0.02031,4.311,20.0,15.994,20.01,2124750,2789521,4368522,10005112,19287905,985637,278951,1000000,546281,0.83946794
13,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,866941.0,2075.0,891075,29.818,0.01663,4.301,19.988,15.999,19.997,2119983,2785099,4379670,9998567,19283319,985723,278682,1000000,547499,0.8395935
14,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,811407.0,1877.0,915283,29.79,0.01368,4.292,20.0,16.006,19.992,2115654,2792096,4379272,9996230,19283252,985812,279204,1000000,547203,0.8393423
15,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,807236.0,1894.0,787784,29.804,0.01349,4.297,19.991,16.001,20.001,2117355,2794234,4369466,10000605,19281660,985613,279547,1000000,546142,0.8392859
16,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,907386.0,2123.0,272806,29.818,0.02043,4.312,20.009,16.002,20.001,2124746,2786493,4377660,10000697,19289596,985599,278527,1000000,547153,0.83966744
17,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,898748.0,2191.0,643434,29.823,0.01945,4.299,20.004,15.998,20.01,2118702,2788119,4377532,10004766,19289119,985610,278756,1000000,547246,0.8396325
18,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,701867.0,1621.0,574206,29.815,0.01051,4.306,20.007,16.003,19.996,2122421,2786896,4380558,9998064,19287939,985718,278599,1000000,547483,0.8398428
19,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,691244.0,1601.0,578124,29.765,0.01026,4.307,19.996,16.006,20.0,2122584,2787776,4375588,10000114,19286062,985727,278835,1000000,546730,0.83891684
20,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,862465.0,2041.0,865762,29.804,0.01632,4.307,20.007,16.002,19.999,2122684,2787173,4379996,9999480,19289333,985682,278626,1000000,547445,0.839223
21,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,912548.0,2148.0,525500,29.831,0.02098,4.302,19.999,15.996,19.999,2119706,2791547,4374990,9999743,19285986,985510,279174,1000000,547026,0.8396212
22,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,861790.0,2053.0,479011,29.794,0.01623,4.302,19.989,16.009,19.998,2119622,2786337,4381418,9998871,19286248,985449,278791,1000000,547382,0.8391982
23,uzbekistan,1000000,1000,2020-01-01,2020-12-31,hybrid,928666.0,2147.0,831649,29.791,0.02368,4.301,20.0,15.998,19.997,2119369,2786202,4379070,9998484,19283125,985526,278614,1000000,547442,0.8393754
