,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,919468.0,3924.0,695681,33.974,0.02392,2.972,20.01,15.997,20.004,1393618,2354312,4671857,10002100,18421887,937892,235315,1000000,584100,0.8891861
1,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,910825.0,3849.0,237907,34.028,0.02257,2.961,20.0,15.995,20.004,1389681,2342215,4679237,10001907,18413040,938586,234225,1000000,585094,0.8898033
2,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,853865.0,3526.0,341789,33.971,0.01718,2.969,19.997,15.993,20.002,1392638,2351954,4673968,10001065,18419625,938148,235232,1000000,584506,0.88933635
3,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,825037.0,3448.0,831572,33.948,0.01555,2.958,20.005,16.005,20.003,1386989,2345530,4678183,10001586,18412288,937697,234497,1000000,584590,0.8891541
4,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,815858.0,3461.0,663729,34.014,0.01506,2.966,19.998,15.997,20.005,1391314,2348019,4668437,10002743,18410513,938184,234826,1000000,583666,0.88975227
5,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,844031.0,3508.0,153548,33.961,0.01658,2.97,20.018,15.992,19.991,1392890,2355737,4667500,9995426,18411553,937971,235365,1000000,583713,0.8892136
6,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,740859.0,3093.0,832153,34.01,0.01241,2.965,19.995,16.002,19.997,1391032,2343158,4675431,9998532,18408153,938144,234374,1000000,584339,0.88969946
7,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,793769.0,3285.0,831628,33.985,0.01417,2.963,19.981,15.996,19.996,1389901,2345942,4673719,9998145,18407707,938133,234815,1000000,584354,0.889494
8,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,840774.0,3556.0,172725,34.028,0.01627,2.97,20.0,15.994,19.999,1393006,2345516,4677639,9999703,18415864,938109,234557,1000000,584940,0.89004976
9,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,794582.0,3324.0,192693,33.991,0.0141,2.964,20.003,15.999,19.993,1390159,2351353,4673573,9996702,18411787,937898,235098,1000000,584244,0.88971674
10,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,813490.0,3434.0,291655,33.982,0.01496,2.961,19.992,15.998,20.003,1388435,2349417,4669015,10001372,18408239,937799,235036,1000000,583712,0.8894053
11,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,913187.0,3841.0,336225,34.018,0.02297,2.967,20.005,16.002,20.002,1391681,2344761,4679579,10000834,18416855,938230,234421,1000000,584873,0.8896339
12,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,878650.0,3674.0,288848,34.022,0.01899,2.963,20.0,15.998,20.002,1389998,2344754,4676072,10001146,18411970,938173,234473,1000000,584581,0.88967514
13,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,804025.0,3317.0,966559,34.007,0.01448,2.966,20.005,15.993,19.997,1391084,2347319,4676911,9998552,18413866,938060,234673,1000000,584884,0.8896464
14,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,838205.0,3622.0,545785,33.969,0.01623,2.969,19.998,16.004,19.996,1393192,2350250,4670443,9997986,18411871,938370,235043,1000000,583652,0.8891453
15,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,871232.0,3630.0,860881,33.989,0.01841,2.964,20.007,15.998,19.998,1390293,2345874,4677758,9999193,18413118,938254,234510,1000000,584811,0.88951135
16,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,843962.0,3559.0,664138,33.98,0.01652,2.969,19.999,15.999,19.999,1391996,2346740,4671842,9999637,18410215,937762,234680,1000000,584018,0.8892447
17,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,887852.0,3709.0,628315,33.986,0.01992,2.966,19.991,15.995,20.005,1391404,2350793,4669283,10002727,18414207,938165,235187,1000000,583859,0.88946533
18,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,816285.0,3421.0,331110,34.017,0.01501,2.965,19.997,15.999,19.999,1390979,2345063,4675304,9999641,18410987,938349,234543,1000000,584432,0.8899748
19,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,812692.0,3462.0,759579,33.97,0.01488,2.967,20.012,15.995,20.011,1391717,2353154,4675289,10005333,18425493,938241,235172,1000000,584576,0.8894937
20,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,883912.0,3652.0,830185,33.983,0.01951,2.968,20.004,15.999,20.004,1391860,2352959,4671046,10001880,18417745,938053,235243,1000000,583918,0.8895646
21,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,735650.0,2979.0,420901,33.975,0.01227,2.972,20.011,15.998,19.996,1393585,2353615,4675631,9997908,18420739,937957,235234,1000000,584520,0.8894642
22,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,621690.0,2551.0,987875,33.992,0.01002,2.966,20.016,16.007,19.991,1390870,2347930,4674921,9995743,18409464,937991,234609,1000000,584121,0.88934207
23,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,791688.0,3427.0,501215,33.994,0.01403,2.964,20.005,15.998,19.995,1390498,2353536,4668312,9997501,18409847,938294,235292,1000000,583608,0.88943696
24,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,861815.0,3603.0,301674,33.981,0.01771,2.965,19.989,16.006,20.003,1390921,2344603,4676157,10001655,18413336,938087,234588,1000000,584291,0.88925725
25,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,821379.0,3377.0,241740,33.992,0.0153,2.964,19.989,15.995,19.999,1390426,2352184,4671075,9999442,18413127,938069,235347,1000000,584049,0.88948727
26,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,882223.0,3700.0,2589,33.992,0.01934,2.964,19.995,15.987,20.0,1390082,2349470,4671100,10000085,18410737,938066,235011,1000000,584380,0.88975966
27,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,799063.0,3307.0,628575,34.031,0.01425,2.965,20.004,16.0,20.001,1391280,2342918,4681917,10000347,18416462,938349,234243,1000000,585225,0.89014417
28,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,868547.0,3661.0,856718,34.017,0.01809,2.971,19.996,15.995,20.001,1392876,2346621,4674287,10000336,18414120,937766,234714,1000000,584457,0.88994265
29,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,889507.0,3786.0,761641,33.973,0.02004,2.962,20.002,15.995,19.995,1389125,2354008,4670720,9997259,18411112,938061,235372,1000000,584012,0.88937974
