,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,949128.0,1199.0,152825,23.82,0.02877,5.686,20.003,15.999,19.998,2833082,3724966,3476187,9998949,20033184,996510,372446,1000000,434554,0.7626535
1,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,929626.0,1180.0,655837,23.842,0.02391,5.698,19.998,16.003,19.997,2839151,3725347,3473529,9998433,20036460,996514,372573,1000000,434112,0.7625234
2,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,946435.0,1259.0,253484,23.844,0.02792,5.69,19.995,15.995,20.004,2835110,3719794,3474654,10002152,20031710,996568,372071,1000000,434454,0.7627716
3,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,952693.0,1180.0,238735,23.833,0.02985,5.692,19.989,16.011,20.007,2836121,3723325,3478339,10003528,20041313,996571,372545,1000000,434507,0.76264614
4,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,964214.0,1297.0,339455,23.786,0.03467,5.691,20.006,16.005,19.999,2835671,3730970,3467618,9999271,20033530,996586,372976,1000000,433316,0.76169586
5,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,932198.0,1201.0,280588,23.842,0.02448,5.681,20.007,16.001,19.991,2830548,3726578,3477131,9995580,20029837,996563,372524,1000000,434616,0.7627405
6,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,941626.0,1213.0,319019,23.805,0.02664,5.686,20.007,15.998,20.001,2833100,3726007,3474618,10000585,20034310,996524,372473,1000000,434383,0.7620976
7,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,939306.0,1296.0,766434,23.837,0.02597,5.686,19.992,15.999,19.999,2833385,3720983,3473755,9999682,20027805,996628,372251,1000000,434241,0.76274055
8,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,932305.0,1214.0,232853,23.816,0.02453,5.69,19.997,15.997,19.999,2835198,3729520,3469822,9999645,20034185,996568,373009,1000000,433801,0.7625051
9,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,948948.0,1259.0,762340,23.81,0.0285,5.685,20.013,16.002,20.002,2832440,3730437,3471002,10001141,20035020,996531,372803,1000000,433832,0.76254123
10,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,935008.0,1167.0,967982,23.816,0.02512,5.687,20.016,15.999,20.003,2833915,3725458,3478068,10001267,20038708,996625,372247,1000000,434794,0.7626301
11,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,930074.0,1213.0,152183,23.819,0.02418,5.696,19.99,15.995,20.002,2838035,3721538,3466730,10001155,20027458,996485,372340,1000000,433465,0.7622204
12,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,942805.0,1249.0,148089,23.855,0.02695,5.698,19.992,15.996,19.998,2839198,3724752,3471016,9998833,20033799,996580,372630,1000000,433981,0.76307094
13,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,938159.0,1206.0,103789,23.805,0.02589,5.689,19.995,15.997,20.002,2834844,3727846,3471074,10001020,20034784,996579,372873,1000000,433958,0.76232433
14,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,940843.0,1193.0,227903,23.825,0.02645,5.687,20.003,15.987,19.998,2833626,3724870,3471172,9999025,20028693,996476,372438,1000000,434254,0.7626357
15,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,959534.0,1199.0,571997,23.817,0.03256,5.683,20.007,16.005,19.999,2831327,3728787,3476689,9999567,20036370,996477,372741,1000000,434449,0.762511
16,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,935185.0,1206.0,876597,23.82,0.02506,5.694,20.019,15.99,20.003,2836744,3722846,3474400,10001646,20035636,996450,371922,1000000,434574,0.7626234
17,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,927515.0,1202.0,800959,23.802,0.02369,5.686,20.004,16.006,19.999,2833548,3731649,3467570,9999682,20032449,996662,373091,1000000,433284,0.76215357
18,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,937462.0,1162.0,388719,23.857,0.02558,5.691,20.008,15.996,20.0,2835921,3719529,3480071,9999919,20035440,996608,371799,1000000,435108,0.76306814
19,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,963769.0,1219.0,627498,23.844,0.03399,5.709,19.991,16.01,20.002,2844612,3725976,3473470,10000797,20044855,996583,372774,1000000,433913,0.76264006
20,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,943776.0,1198.0,356981,23.825,0.02722,5.696,20.003,16.009,19.997,2838097,3725862,3476160,9998314,20038433,996522,372528,1000000,434271,0.7626314
21,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,965454.0,1148.0,367944,23.829,0.03515,5.685,19.992,15.99,20.001,2832540,3728717,3470192,10000465,20031914,996517,373024,1000000,434032,0.7623781
22,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,944194.0,1194.0,761027,23.836,0.02732,5.689,20.006,15.998,20.005,2834732,3730981,3472876,10002687,20041276,996532,372986,1000000,434156,0.7626157
23,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,925652.0,1246.0,214765,23.835,0.02337,5.684,19.987,16.002,20.004,2832190,3720173,3477057,10002148,20031568,996498,372253,1000000,434590,0.7628416
24,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,929487.0,1245.0,987362,23.84,0.02403,5.679,19.999,16.007,20.014,2830091,3714739,3481748,10006970,20033548,996654,371495,1000000,435025,0.7627532
25,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,956813.0,1263.0,542236,23.843,0.03129,5.679,19.995,16.002,19.996,2829436,3729325,3475390,9997760,20031911,996522,373021,1000000,434356,0.7628004
26,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,941169.0,1249.0,486796,23.823,0.02644,5.689,19.997,15.99,20.004,2834889,3725722,3472019,10001796,20034426,996576,372636,1000000,434262,0.76255995
27,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,943615.0,1259.0,36134,23.844,0.02715,5.691,20.006,15.988,19.995,2835597,3725564,3468921,9997343,20027425,996601,372451,1000000,433950,0.76291263
28,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,928763.0,1243.0,739193,23.825,0.02384,5.684,19.997,15.995,19.995,2832153,3730554,3470003,9997690,20030400,996613,373105,1000000,433875,0.7625057
29,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,937318.0,1191.0,629770,23.802,0.02555,5.682,19.998,15.998,20.006,2831050,3731658,3468158,10002861,20033727,996475,373210,1000000,433562,0.7621323
