,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,918850.0,952.0,718527,21.833,0.02876,4.198,19.999,16.008,19.995,2064995,4048715,3093780,9997257,19204747,983890,404884,1000000,386520,0.7256267
1,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,947060.0,950.0,88192,21.858,0.03684,4.198,19.986,15.989,20.004,2065584,4053647,3091220,10001920,19212371,984010,405652,1000000,386663,0.72584015
2,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,932817.0,978.0,460336,21.868,0.03207,4.196,20.001,15.995,19.989,2064116,4054410,3089944,9994684,19203154,983875,405415,1000000,386369,0.7259528
3,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,922322.0,974.0,913222,21.888,0.02947,4.196,19.999,15.991,20.003,2064054,4053195,3096878,10001411,19215538,983857,405334,1000000,387328,0.72667813
4,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,924216.0,985.0,649774,21.857,0.03004,4.198,19.999,15.995,20.0,2065077,4053394,3089828,10000063,19208362,983862,405365,1000000,386353,0.72598594
5,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,929226.0,913.0,419312,21.846,0.03111,4.203,20.002,16.005,19.996,2067364,4058642,3091344,9997981,19215331,983871,405833,1000000,386299,0.72580504
6,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,924711.0,917.0,123486,21.864,0.0302,4.194,20.0,15.993,20.001,2063126,4044337,3094241,10000427,19202131,983805,404427,1000000,386946,0.72598165
7,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,904177.0,974.0,148226,21.875,0.02597,4.197,20.003,15.998,19.997,2064796,4050866,3095372,9998475,19209509,983824,405027,1000000,386975,0.72653216
8,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,933961.0,949.0,644265,21.89,0.03239,4.191,19.996,16.005,19.999,2062481,4055001,3094099,9999517,19211098,984239,405575,1000000,386651,0.7263306
9,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,892420.0,907.0,696462,21.877,0.02421,4.188,20.004,16.003,20.003,2060330,4044582,3100509,10001251,19206672,984019,404380,1000000,387495,0.7264478
10,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,942458.0,923.0,881075,21.873,0.03505,4.202,20.008,15.992,20.009,2067819,4055001,3092621,10004363,19219804,984101,405336,1000000,386782,0.72640294
11,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,937921.0,876.0,310173,21.854,0.034,4.201,19.992,16.001,19.997,2066910,4042087,3099274,9998507,19206778,984019,404373,1000000,387386,0.7262415
12,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,936769.0,991.0,744666,21.829,0.03346,4.188,20.013,16.001,20.002,2060028,4054200,3087922,10001196,19203346,983825,405163,1000000,385958,0.725317
13,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,935113.0,909.0,622800,21.857,0.0328,4.199,20.01,15.994,20.009,2065819,4051976,3090523,10004702,19213020,983906,404988,1000000,386469,0.72599685
14,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,921244.0,884.0,819369,21.853,0.02914,4.197,20.005,15.998,19.993,2064686,4050602,3095933,9996358,19207579,983976,404962,1000000,387034,0.72592574
15,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,934684.0,896.0,581842,21.866,0.03262,4.201,19.991,16.005,20.007,2066749,4059902,3094972,10003493,19225116,983850,406167,1000000,386748,0.72617036
16,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,938938.0,928.0,622521,21.852,0.034,4.192,20.0,16.012,19.991,2062205,4058073,3092643,9995424,19208345,983796,405809,1000000,386292,0.7260149
17,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,929639.0,925.0,553740,21.841,0.03145,4.192,19.993,16.003,19.995,2062353,4049309,3085603,9997465,19194730,983858,405073,1000000,385639,0.72567993
18,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,952573.0,978.0,648244,21.86,0.03941,4.2,19.997,15.997,20.003,2066586,4056110,3090422,10001563,19214681,984109,405664,1000000,386385,0.72587705
19,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,943452.0,882.0,258696,21.865,0.03554,4.195,20.005,16.013,19.995,2063829,4057264,3095922,9997460,19214475,984019,405628,1000000,386683,0.7262409
20,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,938088.0,918.0,787567,21.881,0.03393,4.198,20.001,16.005,19.998,2065078,4056746,3094183,9999002,19215009,983780,405664,1000000,386642,0.7260479
21,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,931743.0,961.0,291250,21.861,0.03188,4.192,19.996,15.996,19.999,2062595,4054151,3091004,9999695,19207445,984112,405490,1000000,386476,0.72605956
22,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,933554.0,961.0,919861,21.858,0.03239,4.197,19.997,15.998,20.0,2064919,4052218,3092507,10000043,19209687,983963,405290,1000000,386600,0.7261616
23,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,939701.0,913.0,902642,21.867,0.03428,4.198,20.001,15.998,20.003,2065431,4060607,3089014,10001285,19216337,983997,406041,1000000,386178,0.7263598
24,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,937863.0,987.0,352897,21.854,0.03386,4.19,19.999,16.007,20.007,2061285,4057805,3086479,10003464,19209033,983980,405797,1000000,385652,0.7256837
25,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,933110.0,961.0,919809,21.85,0.03222,4.197,19.991,16.009,20.003,2064673,4044654,3093566,10001434,19204327,983972,404641,1000000,386482,0.725734
26,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,951486.0,976.0,674075,21.852,0.03913,4.199,19.993,15.993,19.999,2065814,4045981,3087791,9999606,19199192,983867,404733,1000000,386132,0.72552544
27,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,934356.0,904.0,676868,21.839,0.03254,4.199,20.002,16.014,20.002,2065644,4052426,3092495,10001194,19211759,983809,405201,1000000,386228,0.72573555
28,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,942077.0,921.0,885623,21.846,0.03519,4.2,19.999,16.016,20.007,2066094,4051042,3095121,10003460,19215717,983766,405123,1000000,386498,0.72586256
29,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,947792.0,941.0,997968,21.861,0.03735,4.201,20.015,15.997,20.001,2066915,4055833,3096126,10000579,19219453,984004,405288,1000000,387086,0.726195
