,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,848782.0,1282.0,928782,23.242,0.02145,3.228,20.003,15.998,20.006,1539322,3894594,3233782,10003061,18670759,953856,389402,1000000,404280,0.7445844
1,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,885265.0,1270.0,560218,23.236,0.02561,3.218,19.988,16.01,19.994,1534543,3893847,3233700,9996958,18659048,953714,389620,1000000,403969,0.74445975
2,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,896405.0,1338.0,963141,23.257,0.02743,3.223,19.999,15.995,19.992,1537289,3894912,3235735,9996233,18664169,953828,389507,1000000,404591,0.7446072
3,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,865488.0,1254.0,36229,23.256,0.02307,3.221,20.0,16.008,19.993,1536590,3893318,3241565,9996467,18667940,953991,389340,1000000,404990,0.74477977
4,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,887216.0,1249.0,936265,23.263,0.02589,3.226,19.998,15.998,19.994,1538667,3886656,3243995,9996996,18666314,953826,388707,1000000,405539,0.7450624
5,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,798445.0,1160.0,166081,23.269,0.01772,3.229,19.989,16.008,20.003,1540019,3886019,3242539,10001424,18670001,953751,388807,1000000,405107,0.7450052
6,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,922423.0,1293.0,734002,23.257,0.03291,3.227,20.008,16.004,19.996,1539106,3885725,3245130,9998186,18668147,953884,388420,1000000,405537,0.7447699
7,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,864194.0,1210.0,589841,23.253,0.02297,3.225,19.991,16.004,19.994,1538074,3883476,3242087,9997012,18660649,953780,388532,1000000,405159,0.7447574
8,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,903862.0,1233.0,113822,23.272,0.02863,3.23,20.01,16.012,20.003,1541166,3892714,3243132,10001469,18678481,954221,389071,1000000,405094,0.74487954
9,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,872656.0,1253.0,574330,23.253,0.02394,3.226,20.01,16.0,20.009,1539079,3901003,3234797,10004452,18679331,954084,389914,1000000,404361,0.74472314
