,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,934147.0,5921.0,847579,37.232,0.02681,2.754,19.99,15.997,20.003,1268276,2086354,4623736,10001572,17979938,1268276,2086354,10001572,4623736,0.9263488
1,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,925934.0,5770.0,19704,37.294,0.02499,2.759,19.994,16.005,19.995,1271092,2086878,4622112,9997329,17977411,1271092,2086878,9997329,4622112,0.9271434
2,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,939085.0,5980.0,760565,37.257,0.02789,2.757,20.007,15.997,20.0,1270273,2086162,4626490,10000189,17983114,1270273,2086162,10000189,4626490,0.9268615
3,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,941665.0,5908.0,187429,37.233,0.02864,2.754,19.989,16.008,19.995,1267731,2086777,4626242,9997610,17978360,1267731,2086777,9997610,4626242,0.92636454
4,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,934462.0,5823.0,318520,37.27,0.02678,2.758,20.003,16.004,19.999,1269658,2087184,4625400,9999421,17981663,1269658,2087184,9999421,4625400,0.9270009
5,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,931092.0,5743.0,495502,37.266,0.02598,2.763,20.005,15.997,20.008,1272675,2087213,4620188,10004135,17984211,1272675,2087213,10004135,4620188,0.9269089
6,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,927848.0,5830.0,834736,37.251,0.02546,2.755,19.996,15.997,20.001,1268687,2082866,4618973,10000569,17971095,1268687,2082866,10000569,4618973,0.9267066
7,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,924719.0,5779.0,683460,37.289,0.02474,2.756,20.003,16.007,20.005,1269665,2081957,4624486,10002375,17978483,1269665,2081957,10002375,4624486,0.9273134
8,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,928158.0,5814.0,275345,37.247,0.02546,2.755,19.972,16.0,20.006,1269048,2087574,4616652,10003138,17976412,1269048,2087574,10003138,4616652,0.92655164
9,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,929328.0,5889.0,783019,37.281,0.02563,2.763,19.997,16.004,20.002,1272665,2082939,4621688,10001127,17978419,1272665,2082939,10001127,4621688,0.9270407
10,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,935499.0,5768.0,6308,37.263,0.02716,2.761,20.005,15.994,20.003,1272317,2077506,4623200,10001577,17974600,1272317,2077506,10001577,4623200,0.9268522
11,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,918205.0,5679.0,358542,37.224,0.02366,2.76,19.995,16.0,20.002,1271348,2094208,4615842,10000788,17982186,1271348,2094208,10000788,4615842,0.92617255
