,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,938863.0,5732.0,28605,40.01,0.02819,2.225,20.009,16.002,19.991,944116,2033232,4616239,9995272,17588859,944116,2033232,9995272,4616239,0.95672536
1,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,919921.0,5736.0,967290,40.037,0.02432,2.227,20.006,15.996,20.001,945004,2033707,4607387,10000374,17586472,945004,2033707,10000374,4607387,0.9570818
2,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,916175.0,5512.0,606257,39.997,0.02376,2.223,19.997,16.0,20.003,943630,2031594,4613601,10001561,17590386,943630,2031594,10001561,4613601,0.95650655
3,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,939019.0,5726.0,854349,40.022,0.02818,2.225,20.017,15.993,19.999,943310,2032720,4618594,9999440,17594064,943310,2032720,9999440,4618594,0.95686746
4,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,940593.0,5808.0,93092,40.069,0.02861,2.227,20.006,16.002,19.994,945188,2028443,4619188,9996823,17589642,945188,2028443,9996823,4619188,0.9572688
5,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,938075.0,5736.0,218207,40.05,0.0279,2.228,19.994,16.005,20.009,945814,2027309,4620507,10004606,17598236,945814,2027309,10004606,4620507,0.9570969
6,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,934874.0,5673.0,610578,40.02,0.0273,2.223,19.995,15.997,20.003,943107,2026363,4616589,10001656,17587715,943107,2026363,10001656,4616589,0.95692545
7,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,943766.0,5777.0,294267,40.001,0.02952,2.226,19.988,15.994,20.002,944364,2030893,4613665,10000768,17589690,944364,2030893,10000768,4613665,0.95645154
8,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,935291.0,5750.0,591896,40.011,0.02735,2.226,19.994,15.999,19.997,943881,2034349,4617630,9998346,17594206,943881,2034349,9998346,4617630,0.9566424
9,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,945626.0,5925.0,407971,40.064,0.02994,2.227,19.993,16.005,19.992,944733,2031621,4615223,9996213,17587790,944733,2031621,9996213,4615223,0.95730215
10,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,914399.0,5688.0,919830,40.03,0.02347,2.226,20.009,16.0,19.996,945122,2036559,4613482,9997833,17592996,945122,2036559,9997833,4613482,0.9569666
11,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,918486.0,5676.0,94345,40.025,0.02421,2.232,20.009,15.995,19.999,947394,2032996,4613768,9999456,17593614,947394,2032996,9999456,4613768,0.95678043
12,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,916726.0,5651.0,224361,40.055,0.0238,2.23,19.996,15.998,19.994,946954,2034170,4615155,9996814,17593093,946954,2034170,9996814,4615155,0.95718914
13,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,937234.0,5761.0,374253,40.036,0.02786,2.229,20.005,15.994,19.993,945981,2035203,4609366,9996561,17587111,945981,2035203,9996561,4609366,0.9568115
14,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,932093.0,5763.0,542960,40.034,0.02653,2.227,19.979,16.001,19.998,945359,2027061,4618254,9998823,17589497,945359,2027061,9998823,4618254,0.9570447
15,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,940991.0,5895.0,331785,40.021,0.0288,2.229,19.986,16.004,19.999,946059,2029286,4622840,9999609,17597794,946059,2029286,9999609,4622840,0.9567753
16,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,933271.0,5728.0,863944,40.026,0.02683,2.226,20.001,16.0,20.002,944979,2036687,4612033,10000904,17594603,944979,2036687,10000904,4612033,0.9566548
17,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,932353.0,5750.0,424774,40.031,0.02669,2.224,19.995,15.999,20.005,943854,2029094,4618658,10002417,17594023,943854,2029094,10002417,4618658,0.9570637
18,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,937265.0,5664.0,122688,40.062,0.02767,2.229,20.007,16.007,19.995,946838,2029146,4624032,9997710,17597726,946838,2029146,9997710,4624032,0.95731765
