,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,bahamas,1000000,1000,2020-01-01,2020-12-31,hybrid,952371.0,3331.0,98159,34.252,0.03225,2.64,20.002,15.994,19.999,1200114,2512584,4650560,9999639,18362897,1200114,2512584,9999639,4650560,0.89659864
1,bahamas,1000000,1000,2020-01-01,2020-12-31,hybrid,959690.0,3501.0,80122,34.264,0.03525,2.639,19.995,15.993,20.006,1198988,2506684,4656489,10002862,18365023,1198988,2506684,10002862,4656489,0.89662635
2,bahamas,1000000,1000,2020-01-01,2020-12-31,hybrid,963246.0,3533.0,733360,34.222,0.03737,2.635,20.014,16.0,20.006,1197688,2512862,4655958,10003179,18369687,1197688,2512862,10003179,4655958,0.89639026
3,bahamas,1000000,1000,2020-01-01,2020-12-31,hybrid,954950.0,3484.0,596876,34.221,0.03331,2.636,20.014,16.008,19.999,1197685,2509225,4659670,9999655,18366235,1197685,2509225,9999655,4659670,0.89640236
4,bahamas,1000000,1000,2020-01-01,2020-12-31,hybrid,951005.0,3409.0,120755,34.222,0.0317,2.64,20.018,16.003,19.997,1200225,2507659,4658831,9998539,18365254,1200225,2507659,9998539,4658831,0.89622915
5,bahamas,1000000,1000,2020-01-01,2020-12-31,hybrid,951052.0,3440.0,284969,34.211,0.03168,2.632,19.985,15.998,19.998,1195413,2506318,4657117,9998992,18357840,1195413,2506318,9998992,4657117,0.8963318
6,bahamas,1000000,1000,2020-01-01,2020-12-31,hybrid,950426.0,3314.0,685512,34.236,0.03133,2.634,19.994,16.001,20.007,1196734,2504189,4666119,10003266,18370308,1196734,2504189,10003266,4666119,0.89655554
7,bahamas,1000000,1000,2020-01-01,2020-12-31,hybrid,954552.0,3442.0,905770,34.242,0.03302,2.636,20.009,16.003,20.002,1197746,2503246,4667993,10000951,18369936,1197746,2503246,10000951,4667993,0.8965891
8,bahamas,1000000,1000,2020-01-01,2020-12-31,hybrid,949165.0,3377.0,708070,34.232,0.03099,2.636,20.006,16.0,19.995,1197597,2509442,4657975,9997575,18362589,1197597,2509442,9997575,4657975,0.89638144
9,bahamas,1000000,1000,2020-01-01,2020-12-31,hybrid,960284.0,3461.0,745152,34.266,0.0357,2.64,19.995,15.998,19.995,1199459,2503878,4665768,9997514,18366619,1199459,2503878,9997514,4665768,0.8972871
