,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,834156.0,941.0,883429,22.154,0.01702,4.966,20.001,15.998,20.003,2464454,3995209,3085896,10001543,19547102,2464454,3995209,10001543,3085896,0.7263987
1,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,831366.0,924.0,468595,22.154,0.01692,4.961,19.993,16.015,19.993,2462398,3989813,3097508,9996334,19546053,2462398,3989813,9996334,3097508,0.7265791
2,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,855204.0,958.0,552401,22.156,0.01856,4.959,20.006,15.988,20.002,2461540,4000175,3086511,10001110,19549336,2461540,4000175,10001110,3086511,0.72643197
3,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,811829.0,912.0,1698,22.149,0.01586,4.96,20.002,16.007,19.998,2462411,3995351,3086494,9999152,19543408,2462411,3995351,9999152,3086494,0.72637135
4,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,842380.0,929.0,368631,22.113,0.01777,4.963,19.99,15.998,19.999,2463557,3989139,3087763,9999262,19539721,2463557,3989139,9999262,3087763,0.7257501
5,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,780491.0,879.0,680372,22.166,0.01445,4.957,20.001,16.012,20.002,2460216,3995331,3089917,10000954,19546418,2460216,3995331,10000954,3089917,0.726427
6,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,787513.0,887.0,907974,22.18,0.01469,4.963,20.003,16.0,20.004,2463474,3993534,3095691,10002074,19554773,2463474,3993534,10002074,3095691,0.7267077
7,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,853573.0,911.0,369780,22.16,0.01851,4.96,20.006,15.999,20.003,2461901,3993827,3088233,10001560,19545521,2461901,3993827,10001560,3088233,0.7262314
8,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,844130.0,932.0,724072,22.139,0.0178,4.964,20.0,16.005,20.002,2464334,3991798,3088594,10000971,19545697,2464334,3991798,10000971,3088594,0.7260816
9,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,797017.0,889.0,954847,22.149,0.01513,4.965,20.009,15.998,20.007,2464093,3996789,3088207,10003333,19552422,2464093,3996789,10003333,3088207,0.72645235
