,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,753474.0,858.0,740597,22.145,0.01344,4.952,20.007,16.01,19.999,2457934,4004970,3086541,9999524,19548969,2457934,4004970,9999524,3086541,0.7262416
1,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,867503.0,1001.0,958905,22.148,0.0197,4.954,20.0,16.004,20.001,2459315,3995973,3086512,10000547,19542347,2459315,3995973,10000547,3086512,0.7263295
2,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,846509.0,1000.0,480656,22.156,0.01794,4.965,19.998,16.01,19.998,2464295,3997297,3088583,9999199,19549374,2464295,3997297,9999199,3088583,0.7263763
3,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,788048.0,926.0,352030,22.15,0.01475,4.961,19.996,16.0,20.004,2462886,3991706,3087650,10002234,19544476,2462886,3991706,10002234,3087650,0.7263881
4,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,817216.0,891.0,787036,22.135,0.0162,4.959,20.009,15.999,20.005,2461508,4003525,3083118,10002721,19550872,2461508,4003525,10002721,3083118,0.7260085
5,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,688845.0,788.0,513645,22.146,0.0116,4.962,20.0,16.011,19.998,2462810,4001820,3085648,9998929,19549207,2462810,4001820,9998929,3085648,0.72625643
6,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,851447.0,992.0,93258,22.149,0.01835,4.961,19.994,15.999,20.007,2462083,3999544,3083702,10003387,19548716,2462083,3999544,10003387,3083702,0.726204
7,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,744125.0,880.0,617123,22.156,0.01312,4.954,20.004,15.999,20.0,2459133,3995951,3083761,9999780,19538625,2459133,3995951,9999780,3083761,0.7263513
8,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,844245.0,926.0,385902,22.149,0.01783,4.955,20.006,16.001,20.003,2459705,3991578,3091341,10001438,19544062,2459705,3991578,10001438,3091341,0.7263879
9,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,794155.0,879.0,657057,22.163,0.015,4.957,20.007,16.018,19.995,2460560,3992930,3092096,9997252,19542838,2460560,3992930,9997252,3092096,0.72638845
10,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,866928.0,957.0,83994,22.112,0.01968,4.964,20.009,16.007,19.998,2463986,3996700,3087016,9999088,19546790,2463986,3996700,9999088,3087016,0.7256273
11,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,801984.0,915.0,209656,22.141,0.01535,4.949,19.991,16.0,20.008,2456455,3996173,3090082,10004136,19546846,2456455,3996173,10004136,3090082,0.7261705
12,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,744252.0,876.0,365483,22.139,0.01311,4.956,20.007,15.997,20.004,2459736,3992885,3088866,10002202,19543689,2459736,3992885,10002202,3088866,0.7259937
13,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,884356.0,967.0,406591,22.162,0.02124,4.965,20.002,16.002,20.003,2464384,4000440,3085937,10001522,19552283,2464384,4000440,10001522,3085937,0.7263759
14,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,754277.0,853.0,493691,22.163,0.01343,4.97,19.99,15.994,20.009,2466897,3990844,3089294,10004586,19551621,2466897,3990844,10004586,3089294,0.72646487
15,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,859159.0,954.0,829690,22.157,0.01883,4.959,20.008,16.001,19.999,2461231,3996180,3088170,9999476,19545057,2461231,3996180,9999476,3088170,0.72618794
16,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,780548.0,924.0,966858,22.128,0.01448,4.952,19.994,16.002,20.004,2457891,4004182,3083071,10002114,19547258,2457891,4004182,10002114,3083071,0.72582287
17,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,874803.0,889.0,219520,22.105,0.02034,4.961,20.004,16.006,19.995,2462604,4000129,3080754,9997468,19540955,2462604,4000129,9997468,3080754,0.7257965
18,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,805113.0,900.0,866112,22.141,0.01555,4.965,20.001,15.993,19.996,2464836,3998229,3086794,9997774,19547633,2464836,3998229,9997774,3086794,0.72622263
19,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,810266.0,922.0,381838,22.145,0.01589,4.943,19.995,16.015,19.997,2453677,3993736,3089004,9998672,19535089,2453677,3993736,9998672,3089004,0.7259644
20,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,861295.0,842.0,921393,22.129,0.01909,4.953,19.994,16.0,19.996,2458419,3990124,3087759,9998091,19534393,2458419,3990124,9998091,3087759,0.7261491
21,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,788287.0,917.0,924176,22.15,0.01473,4.957,20.001,15.996,20.005,2460370,4004567,3086301,10002630,19553868,2460370,4004567,10002630,3086301,0.72643244
22,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,788030.0,943.0,198285,22.159,0.01473,4.968,19.99,16.0,20.002,2465758,3995268,3088831,10000977,19550834,2465758,3995268,10000977,3088831,0.7265322
23,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,832978.0,974.0,684336,22.162,0.01707,4.958,19.995,15.995,20.012,2461129,3991955,3089274,10006158,19548516,2461129,3991955,10006158,3089274,0.72657585
24,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,829929.0,926.0,697519,22.145,0.01685,4.972,20.013,15.993,20.002,2467915,4004796,3080828,10001155,19554694,2467915,4004796,10001155,3080828,0.7260327
25,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,809367.0,937.0,315240,22.141,0.01574,4.958,19.993,15.992,19.998,2460587,3996185,3087347,9999170,19543289,2460587,3996185,9999170,3087347,0.7261219
26,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,856118.0,924.0,220836,22.136,0.01865,4.964,20.002,15.989,20.003,2464119,3992478,3084216,10001501,19542314,2464119,3992478,10001501,3084216,0.7259773
27,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,805415.0,877.0,253596,22.182,0.01559,4.961,19.991,15.996,19.997,2462207,3984606,3094710,9998636,19540159,2462207,3984606,9998636,3094710,0.7266412
28,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,828163.0,906.0,24610,22.165,0.01672,4.957,20.001,16.01,19.994,2460465,3999853,3090600,9996807,19547725,2460465,3999853,9996807,3090600,0.7265417
