,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,759453.0,942.0,680727,23.911,0.01541,3.426,19.999,16.002,19.992,1650594,3753148,3366950,9995756,18766448,1650594,3753148,9995756,3366950,0.748523
1,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,779290.0,1043.0,905424,23.903,0.01624,3.427,20.013,16.004,20.002,1650735,3753667,3369641,10001217,18775260,1650735,3753667,10001217,3369641,0.748369
2,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,768459.0,1003.0,15306,23.926,0.01574,3.435,20.01,15.992,19.996,1654358,3750466,3376230,9998008,18779062,1654358,3750466,9998008,3376230,0.74919677
3,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,830914.0,1106.0,15537,23.895,0.01935,3.438,19.993,16.009,19.994,1655971,3744770,3373273,9996952,18770966,1655971,3744770,9996952,3373273,0.7483284
4,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,819347.0,1084.0,120731,23.92,0.01854,3.435,20.002,16.006,20.004,1654757,3746422,3373398,10001908,18776485,1654757,3746422,10001908,3373398,0.74885356
5,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,774588.0,998.0,874683,23.945,0.01602,3.437,19.994,16.009,19.991,1655764,3745342,3378253,9995417,18774776,1655764,3745342,9995417,3378253,0.7491091
6,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,776355.0,1061.0,815089,23.947,0.01604,3.428,19.993,16.0,20.002,1651135,3750046,3374370,10000850,18776401,1651135,3750046,10000850,3374370,0.74914604
7,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,780028.0,1026.0,751445,23.901,0.01625,3.433,20.002,16.006,20.003,1653769,3754580,3372895,10001319,18782563,1653769,3754580,10001319,3372895,0.7483964
8,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,727601.0,1022.0,288521,23.921,0.01422,3.438,20.01,15.998,20.006,1656315,3745763,3378419,10002798,18783295,1656315,3745763,10002798,3378419,0.74873924
9,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,831698.0,1087.0,546429,23.91,0.01932,3.431,20.006,16.002,19.995,1652423,3752843,3367916,9997711,18770893,1652423,3752843,9997711,3367916,0.7486245
10,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,733132.0,997.0,657965,23.9,0.01449,3.43,19.992,15.994,20.005,1652107,3753672,3366014,10002533,18774326,1652107,3753672,10002533,3366014,0.7484692
11,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,852591.0,1140.0,338614,23.907,0.0211,3.437,19.991,16.001,20.003,1655833,3752920,3365385,10001443,18775581,1655833,3752920,10001443,3365385,0.74858195
12,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,799943.0,1081.0,955273,23.925,0.0173,3.434,19.996,16.01,19.998,1654021,3748620,3374207,9999089,18775937,1654021,3748620,9999089,3374207,0.74885446
13,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,791016.0,1076.0,868377,23.898,0.01687,3.437,19.986,16.001,19.993,1655448,3749313,3367416,9996651,18768828,1655448,3749313,9996651,3367416,0.74861616
14,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,739298.0,974.0,815054,23.914,0.01461,3.434,20.006,15.992,20.004,1654297,3745559,3374095,10002046,18775997,1654297,3745559,10002046,3374095,0.74894243
15,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,762325.0,1012.0,835777,23.917,0.01552,3.437,20.012,16.003,20.003,1655696,3754031,3372266,10001531,18783524,1655696,3754031,10001531,3372266,0.7487859
16,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,787608.0,1039.0,505435,23.933,0.01659,3.435,19.998,16.002,20.003,1654395,3755451,3375062,10001347,18786255,1654395,3755451,10001347,3375062,0.7489429
17,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,795985.0,1093.0,732574,23.913,0.01709,3.436,19.999,16.011,19.997,1654824,3751688,3374978,9998701,18780191,1654824,3751688,9998701,3374978,0.7486301
18,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,681573.0,960.0,28890,23.952,0.0128,3.441,19.981,16.013,20.009,1657381,3742380,3377707,10004713,18782181,1657381,3742380,10004713,3377707,0.7491309
19,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,735706.0,988.0,308431,23.926,0.01449,3.436,19.993,16.002,20.006,1654212,3746350,3368902,10002752,18772216,1654212,3746350,10002752,3368902,0.7488498
20,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,553923.0,755.0,697324,23.914,0.01039,3.427,20.008,16.01,20.003,1650012,3750017,3375538,10001407,18776974,1650012,3750017,10001407,3375538,0.7487416
21,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,836121.0,1142.0,193078,23.888,0.01971,3.43,20.007,16.004,20.0,1652250,3749214,3368209,10000008,18769681,1652250,3749214,10000008,3368209,0.74823123
22,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,793026.0,1033.0,245886,23.857,0.01695,3.436,20.008,15.994,19.999,1654758,3764334,3359967,9999263,18778322,1654758,3764334,9999263,3359967,0.74794465
23,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,723551.0,944.0,677716,23.945,0.01404,3.439,20.005,15.999,19.996,1657046,3754303,3377919,9998134,18787402,1657046,3754303,9998134,3377919,0.7493858
24,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,829800.0,1048.0,916923,23.923,0.01928,3.429,19.991,16.0,20.01,1651868,3747176,3370314,10004936,18774294,1651868,3747176,10004936,3370314,0.7485864
25,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,824117.0,1019.0,214486,23.888,0.01892,3.423,20.007,15.999,20.006,1648658,3749807,3367983,10002775,18769223,1648658,3749807,10002775,3367983,0.7480953
26,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,714070.0,939.0,173078,23.919,0.01379,3.432,20.002,16.018,19.991,1653312,3753533,3373715,9995286,18775846,1653312,3753533,9995286,3373715,0.7486309
27,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,772190.0,1044.0,357023,23.928,0.0159,3.434,19.994,15.995,20.002,1654347,3748610,3374280,10000771,18778008,1654347,3748610,10000771,3374280,0.7490898
