,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,940415.0,7553.0,731311,41.279,0.02698,2.425,19.988,15.997,19.999,1068672,1768156,4784978,9999466,17621272,1068672,1768156,9999466,4784978,0.9699759
1,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,932036.0,7349.0,244423,41.277,0.02506,2.423,19.989,15.997,20.006,1068363,1769086,4786745,10002833,17627027,1068363,1769086,10002833,4786745,0.970173
2,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,940304.0,7285.0,959699,41.238,0.02706,2.421,19.992,16.003,19.999,1067784,1774276,4785438,9999604,17627102,1067784,1774276,9999604,4785438,0.9696897
3,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,944683.0,7485.0,202725,41.225,0.02807,2.421,20.011,16.006,19.991,1066941,1778413,4786447,9995516,17627317,1066941,1778413,9995516,4786447,0.96933436
4,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,935011.0,7219.0,20638,41.235,0.02579,2.422,19.992,15.988,20.01,1068390,1771069,4784608,10005100,17629167,1068390,1771069,10005100,4784608,0.96937746
5,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,938864.0,7439.0,678045,41.246,0.02671,2.418,19.999,16.008,20.003,1066317,1775926,4787295,10001334,17630872,1066317,1775926,10001334,4787295,0.96952987
6,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,946689.0,7518.0,517068,41.267,0.02864,2.418,20.004,16.002,20.012,1066351,1772281,4785232,10005838,17629702,1066351,1772281,10005838,4785232,0.97018284
7,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,939564.0,7309.0,195395,41.261,0.02679,2.42,20.017,16.002,20.008,1067154,1770044,4792370,10003861,17633429,1067154,1770044,10003861,4792370,0.9698898
8,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,944850.0,7421.0,988596,41.247,0.02815,2.42,20.001,16.005,19.995,1066951,1783205,4780365,9997378,17627899,1066951,1783205,9997378,4780365,0.9696209
9,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,919248.0,7105.0,746846,41.225,0.023,2.422,20.02,15.997,19.998,1068015,1780901,4784980,9999010,17632906,1068015,1780901,9999010,4784980,0.9695528
