,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,815431.0,6881.0,63872,42.944,0.01657,1.855,20.001,15.995,19.996,697712,1613833,4608884,9997933,16918362,697712,1613833,9997933,4608884,0.9935682
1,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,736279.0,6253.0,605434,42.946,0.01365,1.853,20.01,16.002,20.003,697141,1614827,4606793,10001391,16920152,697141,1614827,10001391,4606793,0.9934447
2,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,791117.0,6806.0,703459,42.913,0.01553,1.857,20.01,16.006,20.008,698466,1613100,4614887,10004166,16930619,698466,1613100,10004166,4614887,0.993114
3,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,760199.0,6489.0,491120,42.924,0.01442,1.854,19.995,16.002,19.999,697480,1613530,4611436,9999342,16921788,697480,1613530,9999342,4611436,0.99323833
4,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,784021.0,6776.0,26936,42.911,0.01518,1.855,20.005,16.009,20.003,697965,1615306,4613709,10001596,16928576,697965,1615306,10001596,4613709,0.9931589
5,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,870593.0,7578.0,448048,42.913,0.02022,1.857,20.015,16.001,20.003,698355,1610738,4620177,10001495,16930765,698355,1610738,10001495,4620177,0.99279696
6,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,780750.0,6696.0,224960,42.9,0.01511,1.854,20.002,16.002,20.002,696682,1610725,4613232,10001142,16921781,696682,1610725,10001142,4613232,0.99286485
7,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,792696.0,6723.0,909651,42.89,0.01567,1.853,20.008,16.004,19.999,696860,1611392,4618679,9999305,16926236,696860,1611392,9999305,4618679,0.99272573
8,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,820316.0,7052.0,276107,42.91,0.01686,1.853,20.002,16.002,19.991,697074,1609256,4619636,9995612,16921578,697074,1609256,9995612,4619636,0.993032
9,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,714354.0,6083.0,582764,42.893,0.01308,1.854,19.989,16.003,19.996,696831,1609396,4615853,9998021,16920101,696831,1609396,9998021,4615853,0.99280876
