,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,939893.0,3537.0,822742,31.201,0.03088,2.969,20.006,16.008,20.0,1392515,2853558,4192539,9999840,18438452,1392515,2853558,9999840,4192539,0.8567974
1,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,941178.0,3437.0,615111,31.162,0.03125,2.965,20.001,15.989,20.012,1390036,2854538,4190079,10005836,18440489,1390036,2854538,10005836,4190079,0.85625666
2,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,950028.0,3648.0,284947,31.173,0.03449,2.962,19.997,15.996,20.0,1388779,2858116,4185475,9999839,18432209,1388779,2858116,9999839,4185475,0.85643464
3,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,938991.0,3511.0,824130,31.232,0.03063,2.965,20.006,16.009,19.995,1389904,2845253,4198247,9997278,18430682,1389904,2845253,9997278,4198247,0.8572104
4,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,951782.0,3606.0,637632,31.195,0.03518,2.964,19.996,16.004,20.001,1390072,2850780,4200487,10000440,18441779,1390072,2850780,10000440,4200487,0.8568067
5,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,942899.0,3594.0,529725,31.186,0.03181,2.964,19.997,15.994,19.998,1389808,2853920,4190975,9998998,18433701,1389808,2853920,9998998,4190975,0.85646427
6,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,941735.0,3668.0,186241,31.206,0.03139,2.958,19.999,16.003,20.0,1387198,2849871,4195102,10000130,18432301,1387198,2849871,10000130,4195102,0.85689086
7,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,953723.0,3424.0,676235,31.164,0.03595,2.966,20.002,16.001,20.004,1391068,2854261,4194055,10001850,18441234,1391068,2854261,10001850,4194055,0.85641694
8,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,943609.0,3556.0,990404,31.217,0.03199,2.965,20.0,16.001,19.995,1390628,2857170,4187303,9997671,18432772,1390628,2857170,9997671,4187303,0.8569677
9,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,950470.0,3476.0,912374,31.216,0.03469,2.965,19.995,15.997,19.996,1390428,2840485,4197880,9997806,18426599,1390428,2840485,9997806,4197880,0.85698086
