,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,942027.0,10016.0,47135,42.796,0.03222,1.785,19.998,16.001,19.998,647855,1686104,4495576,9999002,16828537,647855,1686104,9999002,4495576,0.9906575
1,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,948406.0,10422.0,908889,42.839,0.03432,1.788,20.013,16.005,19.994,650079,1686784,4499721,9997187,16833771,650079,1686784,9997187,4499721,0.99148095
2,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,953508.0,10253.0,536264,42.827,0.0364,1.788,20.006,15.999,20.003,649603,1684301,4492469,10001592,16827965,649603,1684301,10001592,4492469,0.9910869
3,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,955378.0,10411.0,201239,42.833,0.03709,1.786,20.009,16.001,19.995,648989,1690966,4489288,9997269,16826512,648989,1690966,9997269,4489288,0.9909088
4,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,944141.0,10391.0,249142,42.816,0.0329,1.786,20.005,15.996,20.011,649201,1689673,4489960,10005362,16834196,649201,1689673,10005362,4489960,0.9910055
5,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,951457.0,10313.0,706531,42.833,0.03546,1.786,20.012,16.005,19.988,649058,1687472,4503107,9993772,16833409,649058,1687472,9993772,4503107,0.9913938
6,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,949402.0,10168.0,695535,42.857,0.03446,1.786,19.992,16.004,19.997,648948,1687021,4491510,9998253,16825732,648948,1687021,9998253,4491510,0.99155694
7,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,956262.0,10294.0,559806,42.822,0.03748,1.787,20.007,16.002,19.997,649440,1685430,4498112,9998729,16831711,649440,1685430,9998729,4498112,0.9911803
8,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,944029.0,10212.0,801251,42.846,0.0329,1.786,19.998,16.002,20.003,649078,1685775,4495118,10001717,16831688,649078,1685775,10001717,4495118,0.99156284
9,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,945786.0,9980.0,232321,42.809,0.03346,1.783,19.98,16.002,19.995,647256,1689601,4486546,9997537,16820940,647256,1689601,9997537,4486546,0.9908745
10,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,948559.0,10173.0,420313,42.817,0.03443,1.788,19.984,15.994,20.001,649187,1682131,4499508,10000596,16831422,649187,1682131,10000596,4499508,0.9910598
11,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,939771.0,10062.0,875450,42.805,0.03158,1.786,19.99,16.003,20.001,648789,1685279,4497092,10000273,16831433,648789,1685279,10000273,4497092,0.9910497
12,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,947096.0,10210.0,657298,42.844,0.03393,1.783,20.0,15.999,20.003,648316,1682744,4498591,10001555,16831206,648316,1682744,10001555,4498591,0.9913643
13,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,954898.0,10323.0,742445,42.775,0.03704,1.781,20.011,16.001,19.99,646150,1691867,4494899,9995195,16828111,646150,1691867,9995195,4494899,0.99049944
14,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,956923.0,10221.0,479198,42.798,0.03791,1.784,20.0,16.001,19.998,648092,1690371,4498174,9998871,16835508,648092,1690371,9998871,4498174,0.9908655
