,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,france,1000000,1000,2020-01-01,2020-12-31,hybrid,943836.0,10650.0,792456,42.38,0.03402,1.729,19.98,15.993,20.0,609691,1897001,4250223,9999978,16756893,609691,1897001,9999978,4250223,0.98252654
1,france,1000000,1000,2020-01-01,2020-12-31,hybrid,950816.0,10667.0,368788,42.423,0.0365,1.734,19.992,15.994,19.992,612139,1888764,4256526,9995921,16753350,612139,1888764,9995921,4256526,0.98314345
2,france,1000000,1000,2020-01-01,2020-12-31,hybrid,934994.0,10495.0,721199,42.37,0.03131,1.732,19.997,15.997,19.995,610950,1899300,4253526,9997559,16761335,610950,1899300,9997559,4253526,0.98257226
3,france,1000000,1000,2020-01-01,2020-12-31,hybrid,937335.0,10304.0,931974,42.405,0.03201,1.729,19.998,15.988,19.997,609874,1893837,4259322,9998286,16761319,609874,1893837,9998286,4259322,0.9831428
4,france,1000000,1000,2020-01-01,2020-12-31,hybrid,940769.0,10408.0,718797,42.397,0.03311,1.73,19.983,15.996,20.001,610085,1899285,4251713,10000629,16761712,610085,1899285,10000629,4251713,0.98320127
5,france,1000000,1000,2020-01-01,2020-12-31,hybrid,938619.0,10593.0,306406,42.44,0.03228,1.734,20.016,15.992,20.002,612153,1894372,4254662,10000871,16762058,612153,1894372,10000871,4254662,0.98340815
6,france,1000000,1000,2020-01-01,2020-12-31,hybrid,936649.0,10357.0,907871,42.418,0.03189,1.735,20.0,15.997,20.0,612181,1891594,4260261,9999871,16763907,612181,1891594,9999871,4260261,0.9832074
7,france,1000000,1000,2020-01-01,2020-12-31,hybrid,938938.0,10543.0,79111,42.406,0.03255,1.733,19.984,16.002,20.002,611948,1884115,4269810,10000861,16766734,611948,1884115,10000861,4269810,0.98312753
8,france,1000000,1000,2020-01-01,2020-12-31,hybrid,932325.0,10359.0,390655,42.365,0.03072,1.735,19.979,15.997,19.999,611867,1890614,4261265,9999744,16763490,611867,1890614,9999744,4261265,0.98269594
9,france,1000000,1000,2020-01-01,2020-12-31,hybrid,947450.0,10356.0,541224,42.376,0.03533,1.73,20.002,16.0,19.991,609613,1894078,4257283,9995428,16756402,609613,1894078,9995428,4257283,0.98271835
10,france,1000000,1000,2020-01-01,2020-12-31,hybrid,932951.0,10420.0,564291,42.376,0.03087,1.733,19.999,15.994,19.995,611394,1900880,4253290,9997548,16763112,611394,1900880,9997548,4253290,0.9828457
11,france,1000000,1000,2020-01-01,2020-12-31,hybrid,948082.0,10589.0,89564,42.379,0.03568,1.73,20.002,16.006,20.007,610459,1896772,4255094,10003298,16765623,610459,1896772,10003298,4255094,0.9827128
12,france,1000000,1000,2020-01-01,2020-12-31,hybrid,940278.0,10446.0,224169,42.405,0.033,1.731,19.995,15.993,20.002,610323,1889849,4259454,10000947,16760573,610323,1889849,10000947,4259454,0.9829384
13,france,1000000,1000,2020-01-01,2020-12-31,hybrid,925106.0,10230.0,218762,42.385,0.02904,1.731,19.993,15.999,19.997,609680,1890810,4265403,9998589,16764482,609680,1890810,9998589,4265403,0.98280007
14,france,1000000,1000,2020-01-01,2020-12-31,hybrid,945504.0,10587.0,120816,42.359,0.03474,1.73,19.978,16.006,19.992,610099,1896331,4260559,9996231,16763220,610099,1896331,9996231,4260559,0.9825934
15,france,1000000,1000,2020-01-01,2020-12-31,hybrid,933934.0,10489.0,244356,42.417,0.0309,1.736,19.998,15.993,19.994,612308,1891492,4261649,9997075,16762524,612308,1891492,9997075,4261649,0.9833701
16,france,1000000,1000,2020-01-01,2020-12-31,hybrid,932488.0,10302.0,717801,42.388,0.03088,1.733,19.984,15.994,19.99,611523,1888911,4260532,9994838,16755804,611523,1888911,9994838,4260532,0.98274046
17,france,1000000,1000,2020-01-01,2020-12-31,hybrid,942839.0,10402.0,191664,42.339,0.03386,1.733,20.01,16.003,20.002,610360,1901095,4261970,10000916,16774341,610360,1901095,10000916,4261970,0.982234
18,france,1000000,1000,2020-01-01,2020-12-31,hybrid,939993.0,10440.0,629825,42.383,0.03294,1.731,20.01,16.006,20.003,609734,1898409,4259340,10001564,16769047,609734,1898409,10001564,4259340,0.9827364
19,france,1000000,1000,2020-01-01,2020-12-31,hybrid,928995.0,10235.0,589770,42.4,0.02992,1.733,19.999,16.007,20.003,611383,1892725,4264675,10001308,16770091,611383,1892725,10001308,4264675,0.9830998
20,france,1000000,1000,2020-01-01,2020-12-31,hybrid,944371.0,10578.0,23328,42.382,0.03417,1.731,19.998,16.002,20.005,609637,1892079,4260917,10002299,16764932,609637,1892079,10002299,4260917,0.9830498
21,france,1000000,1000,2020-01-01,2020-12-31,hybrid,955290.0,10720.0,151945,42.387,0.03896,1.729,19.997,15.997,19.989,609848,1889628,4265182,9994400,16759058,609848,1889628,9994400,4265182,0.9826677
22,france,1000000,1000,2020-01-01,2020-12-31,hybrid,927268.0,10399.0,562627,42.415,0.0295,1.734,20.0,16.008,19.996,611735,1886651,4268290,9998239,16764915,611735,1886651,9998239,4268290,0.9831984
23,france,1000000,1000,2020-01-01,2020-12-31,hybrid,937547.0,10397.0,181577,42.368,0.03209,1.734,20.017,16.001,19.996,612188,1893451,4258163,9998218,16762020,612188,1893451,9998218,4258163,0.98249626
24,france,1000000,1000,2020-01-01,2020-12-31,hybrid,944815.0,10620.0,730144,42.414,0.0342,1.736,19.986,15.994,20.001,612763,1892687,4257945,10000543,16763938,612763,1892687,10000543,4257945,0.98318297
25,france,1000000,1000,2020-01-01,2020-12-31,hybrid,921977.0,10289.0,859068,42.388,0.02838,1.734,19.988,16.0,19.997,612015,1890738,4261980,9998347,16763080,612015,1890738,9998347,4261980,0.9826031
26,france,1000000,1000,2020-01-01,2020-12-31,hybrid,941084.0,10328.0,322451,42.378,0.0332,1.73,20.009,15.999,19.998,608518,1892885,4262004,9998834,16762241,608518,1892885,9998834,4262004,0.9828824
27,france,1000000,1000,2020-01-01,2020-12-31,hybrid,945306.0,10800.0,957230,42.385,0.03457,1.734,20.006,15.997,19.995,611810,1895842,4257836,9997678,16763166,611810,1895842,9997678,4257836,0.9828186
28,france,1000000,1000,2020-01-01,2020-12-31,hybrid,943451.0,10373.0,250970,42.384,0.0339,1.728,19.989,15.994,19.999,609051,1895844,4256570,9999277,16760742,609051,1895844,9999277,4256570,0.9828994
29,france,1000000,1000,2020-01-01,2020-12-31,hybrid,943726.0,10539.0,577589,42.41,0.03408,1.73,19.989,15.998,20.003,610511,1892327,4262672,10001325,16766835,610511,1892327,10001325,4262672,0.98299915
