,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,942504.0,3242.0,420754,30.877,0.03189,2.975,19.997,16.003,19.997,1396483,2972540,4111845,9998683,18479551,1396483,2972540,9998683,4111845,0.8508655
1,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,938476.0,3259.0,510001,30.879,0.03041,2.977,20.019,16.004,19.992,1397111,2973844,4120278,9996007,18487240,1397111,2973844,9996007,4120278,0.85079944
2,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,948959.0,3298.0,622245,30.894,0.034,2.977,19.996,15.999,20.002,1397135,2967694,4119399,10000826,18485054,1397135,2967694,10000826,4119399,0.8512004
3,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,943433.0,3306.0,927623,30.883,0.03197,2.98,20.002,16.001,19.99,1399298,2968097,4115464,9994947,18477806,1399298,2968097,9994947,4115464,0.8508459
4,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,951505.0,3279.0,978508,30.914,0.03527,2.976,19.991,16.005,20.0,1397746,2967139,4121546,10000003,18486434,1397746,2967139,10000003,4121546,0.85129833
5,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,946033.0,3261.0,169476,30.906,0.03326,2.975,19.994,15.992,20.001,1396331,2965858,4115636,10000661,18478486,1396331,2965858,10000661,4115636,0.8513195
6,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,929749.0,3246.0,510010,30.904,0.02792,2.986,20.014,16.004,19.999,1401576,2975584,4114615,9999605,18491380,1401576,2975584,9999605,4114615,0.8510755
7,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,935729.0,3282.0,256868,30.904,0.02958,2.978,20.003,16.005,19.999,1398527,2968186,4118950,9999359,18485022,1398527,2968186,9999359,4118950,0.8517504
8,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,931068.0,3121.0,656476,30.916,0.02847,2.981,20.003,15.992,19.999,1399692,2960592,4122723,9999626,18482633,1399692,2960592,9999626,4122723,0.8514414
9,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,949405.0,3280.0,937108,30.888,0.03439,2.976,20.001,15.999,20.003,1397207,2974393,4114860,10001271,18487731,1397207,2974393,10001271,4114860,0.85089827
10,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,938571.0,3332.0,530701,30.917,0.03053,2.976,20.005,16.0,20.003,1397443,2960483,4122527,10001565,18482018,1397443,2960483,10001565,4122527,0.8515804
11,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,953271.0,3327.0,184399,30.903,0.03584,2.978,20.003,15.997,19.992,1397995,2964247,4124648,9995859,18482749,1397995,2964247,9995859,4124648,0.8513879
12,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,944674.0,3304.0,630627,30.854,0.03265,2.972,19.996,15.99,20.001,1395013,2967600,4117054,10000306,18479973,1395013,2967600,10000306,4117054,0.8506198
