,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,943361.0,6454.0,33588,38.38,0.0326,2.127,20.01,15.994,19.996,881214,2131661,4460092,9997844,17470811,881214,2131661,9997844,4460092,0.9352748
1,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,953520.0,6547.0,218479,38.422,0.03642,2.134,20.005,16.01,19.994,884825,2125277,4466171,9996902,17473175,884825,2125277,9996902,4466171,0.93569404
2,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,941045.0,6493.0,598530,38.428,0.03167,2.13,20.004,15.995,20.006,882669,2128754,4459124,10002895,17473442,882669,2128754,10002895,4459124,0.93583465
3,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,952008.0,6732.0,185030,38.417,0.03573,2.132,19.996,16.009,20.0,883736,2123302,4467596,10000245,17474879,883736,2123302,10000245,4467596,0.93552274
4,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,949201.0,6764.0,322727,38.404,0.03438,2.131,19.988,15.998,20.004,883549,2128331,4461730,10001772,17475382,883549,2128331,10001772,4461730,0.93549037
5,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,937923.0,6570.0,756593,38.425,0.03078,2.131,20.019,16.0,19.994,883973,2127232,4464297,9996836,17472338,883973,2127232,9996836,4464297,0.93559355
6,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,954174.0,6629.0,163254,38.387,0.03677,2.125,20.004,16.004,20.001,880453,2135056,4459444,10000348,17475301,880453,2135056,10000348,4459444,0.93523836
7,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,953096.0,6589.0,114570,38.393,0.03624,2.128,19.999,16.001,20.004,882176,2131307,4460856,10002159,17476498,882176,2131307,10002159,4460856,0.9351843
8,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,955990.0,6561.0,260982,38.422,0.03726,2.133,19.977,16.015,20.002,884110,2125787,4473142,10001073,17484112,884110,2125787,10001073,4473142,0.93552864
9,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,941717.0,6530.0,801523,38.402,0.03173,2.13,19.989,16.0,19.999,883496,2126856,4468668,9999725,17478745,883496,2126856,9999725,4468668,0.93556994
10,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,943918.0,6426.0,864683,38.432,0.03241,2.134,19.989,16.005,20.004,884755,2121364,4468459,10001866,17476444,884755,2121364,10001866,4468459,0.9359218
11,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,949644.0,6460.0,227979,38.436,0.03469,2.131,19.997,15.997,20.002,883482,2117963,4473322,10001000,17475767,883482,2117963,10001000,4473322,0.935879
12,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,945518.0,6564.0,855710,38.388,0.03323,2.136,19.996,16.011,19.99,885561,2129523,4468291,9994961,17478336,885561,2129523,9994961,4468291,0.935395
13,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,951650.0,6599.0,335095,38.438,0.03547,2.127,19.986,16.008,20.001,882002,2124344,4462097,10000276,17468719,882002,2124344,10000276,4462097,0.935736
14,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,956431.0,6596.0,441468,38.383,0.03778,2.13,20.01,15.993,20.003,882654,2134899,4459784,10001471,17478808,882654,2134899,10001471,4459784,0.93513983
15,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,951630.0,6526.0,628384,38.395,0.03547,2.132,20.004,15.996,19.998,883922,2130496,4459042,9998975,17472435,883922,2130496,9998975,4459042,0.9352489
16,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,953121.0,6543.0,636597,38.403,0.03641,2.131,19.99,15.994,19.997,882818,2127933,4457402,9998519,17466672,882818,2127933,9998519,4457402,0.9354105
17,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,940336.0,6565.0,768385,38.411,0.03149,2.133,20.011,16.002,20.002,883845,2133436,4467517,10001009,17485807,883845,2133436,10001009,4467517,0.9353091
18,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,950439.0,6767.0,459693,38.416,0.03492,2.13,20.01,16.002,20.001,883141,2131937,4464055,10000345,17479478,883141,2131937,10000345,4464055,0.9358688
19,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,953435.0,6599.0,295913,38.427,0.03628,2.128,20.012,15.994,20.0,882524,2134026,4456718,10000118,17473386,882524,2134026,10000118,4456718,0.93605363
20,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,947772.0,6473.0,694451,38.402,0.03391,2.133,19.993,15.992,19.995,884576,2125884,4461659,9997719,17469838,884576,2125884,9997719,4461659,0.93525237
21,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,951391.0,6651.0,447217,38.394,0.03545,2.127,19.995,15.993,19.997,881555,2128433,4453070,9998426,17461484,881555,2128433,9998426,4453070,0.93501073
22,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,943876.0,6446.0,270242,38.41,0.03262,2.132,19.999,16.011,19.995,884666,2126716,4464551,9997734,17473667,884666,2126716,9997734,4464551,0.93541706
23,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,956155.0,6662.0,581905,38.386,0.03784,2.133,20.003,16.001,20.005,883953,2127881,4463959,10002563,17478356,883953,2127881,10002563,4463959,0.9352763
24,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,947508.0,6503.0,238925,38.454,0.03369,2.129,20.015,15.993,20.003,883360,2125086,4472240,10001729,17482415,883360,2125086,10001729,4472240,0.9360656
25,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,954852.0,6649.0,19174,38.372,0.037,2.132,19.996,16.011,20.008,884071,2125930,4468178,10003800,17481979,884071,2125930,10003800,4468178,0.9350053
26,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,952380.0,6653.0,945496,38.359,0.03596,2.129,19.995,16.0,19.991,881629,2128317,4462135,9995334,17467415,881629,2128317,9995334,4462135,0.93487
27,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,949254.0,6647.0,559076,38.422,0.03466,2.133,19.998,15.998,20.009,883885,2125927,4461271,10004604,17475687,883885,2125927,10004604,4461271,0.9355383
28,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,949006.0,6615.0,683499,38.399,0.03455,2.131,19.993,15.999,20.0,883151,2121941,4463830,10000019,17468941,883151,2121941,10000019,4463830,0.93527335
29,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,953939.0,6506.0,194294,38.433,0.03657,2.132,20.006,16.001,19.993,883607,2129493,4466033,9996414,17475547,883607,2129493,9996414,4466033,0.93599814
