,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,897650.0,4115.0,930299,33.629,0.02313,2.36,19.989,16.001,19.999,1029926,2550631,4430272,9999696,18010525,1029926,2550631,9999696,4430272,0.88988364
1,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,906698.0,4114.0,773831,33.674,0.02434,2.359,20.012,15.994,20.003,1029563,2549696,4436907,10001687,18017853,1029563,2549696,10001687,4436907,0.8905622
2,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,906632.0,4005.0,125185,33.642,0.02444,2.362,20.002,16.002,20.001,1030139,2551705,4435460,10000747,18018051,1030139,2551705,10000747,4435460,0.8899623
3,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,923166.0,4173.0,538768,33.637,0.02732,2.366,19.996,16.006,19.999,1032485,2550729,4434024,9999439,18016677,1032485,2550729,9999439,4434024,0.8902202
4,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,921968.0,4315.0,309996,33.679,0.02706,2.365,19.991,16.004,19.993,1032011,2551498,4433238,9996478,18013225,1032011,2551498,9996478,4433238,0.89035416
5,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,915026.0,4065.0,419523,33.641,0.02582,2.363,19.997,15.998,20.003,1030646,2551279,4433930,10001496,18017351,1030646,2551279,10001496,4433930,0.89002407
6,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,924262.0,4198.0,873130,33.651,0.02753,2.362,20.008,15.996,19.998,1030119,2549453,4433538,9999110,18012220,1030119,2549453,9999110,4433538,0.8902487
7,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,930391.0,4192.0,715077,33.674,0.02898,2.362,19.999,15.996,20.01,1030616,2554668,4432054,10005222,18022560,1030616,2554668,10005222,4432054,0.89018214
8,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,921199.0,4129.0,120792,33.682,0.02702,2.358,19.999,16.0,19.996,1029370,2549804,4434026,9997913,18011113,1029370,2549804,9997913,4434026,0.8906867
9,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,919266.0,4077.0,223053,33.636,0.02658,2.364,20.008,16.006,20.003,1031339,2550604,4435060,10001407,18018410,1031339,2550604,10001407,4435060,0.890072
10,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,901586.0,4128.0,106180,33.648,0.02374,2.357,20.002,16.005,20.008,1028138,2552023,4434366,10003836,18018363,1028138,2552023,10003836,4434366,0.88981515
11,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,914764.0,4109.0,572739,33.657,0.02569,2.364,20.0,15.996,19.998,1032031,2553236,4428141,9999141,18012549,1032031,2553236,9999141,4428141,0.8902096
12,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,911215.0,4015.0,54274,33.658,0.02508,2.361,19.987,16.0,20.005,1029960,2546797,4436537,10002712,18016006,1029960,2546797,10002712,4436537,0.8902096
13,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,915428.0,4127.0,136564,33.665,0.02575,2.363,20.002,15.991,19.994,1031244,2549438,4433691,9997234,18011607,1031244,2549438,9997234,4433691,0.89013845
14,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,887250.0,4023.0,550115,33.675,0.02194,2.362,19.989,16.0,19.997,1031145,2545388,4436503,9998647,18011683,1031145,2545388,9998647,4436503,0.8903302
15,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,926945.0,4273.0,377724,33.662,0.02831,2.359,20.013,15.999,19.998,1029395,2542254,4438521,9998795,18008965,1029395,2542254,9998795,4438521,0.89033085
16,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,902677.0,4113.0,661973,33.651,0.02369,2.364,20.0,16.003,19.999,1030898,2548684,4436289,9999707,18015578,1030898,2548684,9999707,4436289,0.8902774
17,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,921565.0,4119.0,720005,33.653,0.02694,2.359,20.008,15.999,20.0,1028200,2556650,4436383,9999785,18021018,1028200,2556650,9999785,4436383,0.8901152
18,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,918105.0,4073.0,746220,33.636,0.0263,2.359,19.997,16.005,20.002,1029449,2551809,4441038,10001178,18023474,1029449,2551809,10001178,4441038,0.88987994
19,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,936305.0,4263.0,191409,33.646,0.03069,2.361,19.996,16.013,20.002,1029870,2546197,4435730,10001153,18012950,1029870,2546197,10001153,4435730,0.89006686
20,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,934984.0,4308.0,997564,33.658,0.03008,2.365,20.015,16.007,20.005,1032614,2554384,4431961,10002739,18021698,1032614,2554384,10002739,4431961,0.8902446
21,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,915958.0,4154.0,298380,33.651,0.02609,2.356,19.991,16.0,19.996,1027774,2552827,4433018,9998106,18011725,1027774,2552827,9998106,4433018,0.8900305
22,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,924751.0,4155.0,635277,33.662,0.02765,2.363,19.994,16.003,19.993,1030978,2544674,4441582,9996431,18013665,1030978,2544674,9996431,4441582,0.89031875
