,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,936168.0,1797.0,280989,27.211,0.02839,3.816,20.001,16.008,19.996,1861565,3363364,3932743,9997762,19155434,1861565,3363364,9997762,3932743,0.8067261
1,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,928097.0,1829.0,331180,27.217,0.02657,3.805,19.995,15.998,20.002,1856052,3364291,3925478,10000890,19146711,1856052,3364291,10000890,3925478,0.8066764
2,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,938003.0,1830.0,365589,27.236,0.02895,3.81,19.999,16.01,20.0,1858591,3356432,3931989,9999970,19146982,1858591,3356432,9999970,3931989,0.8068779
3,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,919903.0,1803.0,986956,27.253,0.02478,3.817,19.996,15.995,19.997,1862086,3360151,3925894,9998267,19146398,1862086,3360151,9998267,3925894,0.8071141
4,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,943121.0,1841.0,255532,27.193,0.03053,3.811,19.989,16.015,19.995,1859295,3363218,3925957,9997688,19146158,1859295,3363218,9997688,3925957,0.8062532
5,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,935377.0,1791.0,793545,27.226,0.02836,3.804,19.983,15.999,20.0,1856102,3352341,3930825,9999769,19139037,1856102,3352341,9999769,3930825,0.80685437
6,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,909009.0,1762.0,279473,27.244,0.02302,3.81,20.007,15.996,19.997,1858471,3360080,3929916,9998347,19146814,1858471,3360080,9998347,3929916,0.8068636
7,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,933678.0,1901.0,938119,27.227,0.02779,3.822,20.007,15.997,20.002,1864366,3354357,3929845,10001195,19149763,1864366,3354357,10001195,3929845,0.8066977
8,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,923323.0,1768.0,698966,27.203,0.02554,3.802,20.008,16.003,19.997,1854676,3361314,3930450,9998620,19145060,1854676,3361314,9998620,3930450,0.80648077
9,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,924329.0,1783.0,190443,27.245,0.02554,3.805,19.998,16.005,20.0,1856733,3353257,3936735,10000106,19146831,1856733,3353257,10000106,3936735,0.80718154
10,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,923513.0,1807.0,144389,27.21,0.02556,3.813,20.0,16.001,20.008,1860246,3363872,3924498,10003770,19152386,1860246,3363872,10003770,3924498,0.8064865
11,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,923564.0,1783.0,15128,27.224,0.02557,3.811,20.007,15.995,19.999,1859865,3357945,3925395,9999297,19142502,1859865,3357945,9999297,3925395,0.8067233
12,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,943215.0,1807.0,599697,27.196,0.03052,3.816,19.998,16.002,20.002,1861720,3371766,3918009,10001109,19152604,1861720,3371766,10001109,3918009,0.8063535
13,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,941563.0,1852.0,640316,27.229,0.03,3.813,19.985,16.003,19.998,1860161,3353547,3932713,9998969,19145390,1860161,3353547,9998969,3932713,0.806882
14,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,929000.0,1766.0,224372,27.228,0.02683,3.808,20.003,15.996,19.998,1857762,3353835,3923875,9998899,19134371,1857762,3353835,9998899,3923875,0.8066272
15,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,924933.0,1774.0,860433,27.218,0.02573,3.814,20.01,16.003,19.999,1861156,3355022,3928859,9999565,19144602,1861156,3355022,9999565,3928859,0.80655867
16,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,935708.0,1814.0,625323,27.202,0.02844,3.798,20.0,16.003,19.999,1852202,3362875,3924495,9999548,19139120,1852202,3362875,9999548,3924495,0.80620456
17,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,934624.0,1812.0,783633,27.231,0.02798,3.818,19.991,16.01,20.001,1862750,3359254,3930935,10000602,19153541,1862750,3359254,10000602,3930935,0.8067842
18,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,936188.0,1821.0,267133,27.223,0.02844,3.818,20.002,16.001,20.006,1862433,3361466,3931473,10002829,19158201,1862433,3361466,10002829,3931473,0.8067066
19,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,925989.0,1868.0,552192,27.253,0.02625,3.802,19.995,15.989,19.996,1854936,3355760,3929000,9998118,19137814,1854936,3355760,9998118,3929000,0.8071746
20,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,931356.0,1862.0,603279,27.234,0.02734,3.809,19.988,16.002,20.001,1858115,3353759,3931918,10000464,19144256,1858115,3353759,10000464,3931918,0.8066162
21,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,937594.0,1823.0,268945,27.198,0.02894,3.807,20.001,16.014,20.001,1857402,3365478,3930361,10000455,19153696,1857402,3365478,10000455,3930361,0.8063735
22,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,923352.0,1710.0,807896,27.198,0.02549,3.812,20.002,16.002,19.993,1859781,3361447,3930872,9996417,19148517,1859781,3361447,9996417,3930872,0.8065598
23,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,920114.0,1823.0,812548,27.209,0.02492,3.81,19.989,16.0,19.998,1858723,3354182,3930330,9998974,19142209,1858723,3354182,9998974,3930330,0.80682254
24,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,938708.0,1860.0,52803,27.233,0.0291,3.813,19.991,16.004,20.006,1859996,3357939,3930735,10002815,19151485,1859996,3357939,10002815,3930735,0.80680203
25,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,917640.0,1803.0,620646,27.214,0.02447,3.805,20.009,15.998,19.997,1856013,3361290,3926169,9998431,19141903,1856013,3361290,9998431,3926169,0.8066553
26,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,938583.0,1830.0,124584,27.218,0.02909,3.815,20.011,15.994,20.004,1861313,3355729,3932381,10001808,19151231,1861313,3355729,10001808,3932381,0.80682385
27,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,929132.0,1772.0,52122,27.247,0.02656,3.811,19.993,15.999,19.999,1859430,3352369,3933251,9999399,19144449,1859430,3352369,9999399,3933251,0.80706435
28,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,917777.0,1782.0,148631,27.228,0.02443,3.818,19.988,15.997,19.996,1862874,3358337,3931321,9998063,19150595,1862874,3358337,9998063,3931321,0.8069194
29,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,936407.0,1841.0,757751,27.218,0.02857,3.802,20.0,15.999,19.999,1854506,3360280,3928003,9999587,19142376,1854506,3360280,9999587,3928003,0.80666655
