,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,korea,1000000,1000,2020-01-01,2020-12-31,hybrid,962976.0,7427.0,632123,42.864,0.03503,1.951,19.99,16.004,20.003,764102,1511902,5049736,10001733,17327473,764102,1511902,10001733,5049736,0.9959681
1,korea,1000000,1000,2020-01-01,2020-12-31,hybrid,963596.0,7484.0,779182,42.818,0.03528,1.953,20.018,16.001,20.002,765319,1521963,5044060,10001128,17332470,765319,1521963,10001128,5044060,0.9954094
2,korea,1000000,1000,2020-01-01,2020-12-31,hybrid,968035.0,7490.0,129599,42.843,0.03795,1.953,19.998,16.003,19.999,764226,1514261,5055130,9999626,17333243,764226,1514261,9999626,5055130,0.9954651
3,korea,1000000,1000,2020-01-01,2020-12-31,hybrid,961132.0,7305.0,119230,42.807,0.0343,1.952,20.002,15.996,20.0,764367,1522993,5050073,9999798,17337231,764367,1522993,9999798,5050073,0.9952127
4,korea,1000000,1000,2020-01-01,2020-12-31,hybrid,956249.0,7530.0,275801,42.898,0.03215,1.95,20.005,15.998,19.995,764280,1513382,5046006,9997417,17321085,764280,1513382,9997417,5046006,0.99615526
5,korea,1000000,1000,2020-01-01,2020-12-31,hybrid,962238.0,7413.0,492973,42.875,0.03443,1.95,20.003,15.999,19.998,763336,1507124,5056134,9999243,17325837,763336,1507124,9999243,5056134,0.99591166
6,korea,1000000,1000,2020-01-01,2020-12-31,hybrid,963747.0,7427.0,37717,42.861,0.03525,1.953,19.999,15.992,20.006,764450,1510180,5055699,10002993,17333322,764450,1510180,10002993,5055699,0.99564964
7,korea,1000000,1000,2020-01-01,2020-12-31,hybrid,966068.0,7534.0,144590,42.878,0.03664,1.952,19.987,16.0,19.999,764372,1511558,5052540,9999477,17327947,764372,1511558,9999477,5052540,0.9956386
8,korea,1000000,1000,2020-01-01,2020-12-31,hybrid,961621.0,7454.0,132079,42.877,0.03437,1.954,19.999,15.992,19.997,764996,1509303,5051593,9998502,17324394,764996,1509303,9998502,5051593,0.99596685
9,korea,1000000,1000,2020-01-01,2020-12-31,hybrid,968347.0,7534.0,647217,42.85,0.03802,1.95,19.992,16.0,20.003,763453,1512842,5055360,10001490,17333145,763453,1512842,10001490,5055360,0.9956821
10,korea,1000000,1000,2020-01-01,2020-12-31,hybrid,957889.0,7297.0,316351,42.878,0.03277,1.951,20.002,16.0,19.994,764348,1509580,5056519,9997200,17327647,764348,1509580,9997200,5056519,0.99597853
