,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,767345.0,1831.0,971723,28.577,0.01423,3.358,19.997,16.009,19.996,1611518,2959155,4085096,9997954,18653723,1611518,2959155,9997954,4085096,0.81479394
1,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,810943.0,1964.0,491006,28.588,0.01614,3.355,20.0,15.995,19.994,1609807,2956329,4085607,9996752,18648495,1609807,2956329,9996752,4085607,0.81498307
2,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,729218.0,1744.0,595289,28.58,0.01303,3.351,19.991,15.996,20.0,1607843,2953234,4082391,10000144,18643612,1607843,2953234,10000144,4082391,0.8148095
3,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,814538.0,1973.0,485467,28.559,0.01634,3.348,20.001,16.004,20.001,1606467,2958028,4083668,10000406,18648569,1606467,2958028,10000406,4083668,0.8146437
4,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,857330.0,2018.0,189362,28.578,0.01924,3.353,19.996,15.995,20.002,1609075,2952247,4086154,10001205,18648681,1609075,2952247,10001205,4086154,0.8148603
5,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,799785.0,1939.0,266096,28.575,0.01563,3.349,20.007,15.996,20.008,1607788,2961750,4080365,10004144,18654047,1607788,2961750,10004144,4080365,0.8149029
6,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,783986.0,1943.0,701078,28.564,0.01492,3.353,19.991,15.992,19.992,1608734,2951605,4081927,9995952,18638218,1608734,2951605,9995952,4081927,0.81453514
7,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,818938.0,1947.0,429333,28.526,0.01671,3.346,19.98,15.987,20.002,1606020,2958099,4080739,10000755,18645613,1606020,2958099,10000755,4080739,0.8143876
8,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,828364.0,1969.0,292151,28.569,0.01718,3.347,20.022,16.008,19.993,1606506,2962312,4082230,9996405,18647453,1606506,2962312,9996405,4082230,0.8145732
9,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,789432.0,1895.0,859472,28.591,0.01522,3.347,20.008,16.004,20.006,1606100,2963729,4083355,10002939,18656123,1606100,2963729,10002939,4083355,0.8151599
10,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,765534.0,1869.0,346934,28.569,0.01419,3.35,19.993,15.996,20.005,1607740,2957948,4086653,10002284,18654625,1607740,2957948,10002284,4086653,0.81501645
11,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,821491.0,1929.0,78405,28.557,0.01677,3.343,19.998,15.999,20.0,1604376,2961616,4079731,10000109,18645832,1604376,2961616,10000109,4079731,0.8142589
12,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,831105.0,1971.0,489868,28.546,0.01742,3.352,19.993,15.994,20.003,1608879,2961424,4081264,10001486,18653053,1608879,2961424,10001486,4081264,0.8146687
13,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,860768.0,2103.0,147506,28.564,0.01947,3.352,20.0,15.998,20.008,1608373,2956800,4082970,10003992,18652135,1608373,2956800,10003992,4082970,0.81451726
14,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,808182.0,1917.0,21926,28.565,0.01604,3.346,20.0,15.995,20.008,1605290,2960392,4084507,10003818,18654007,1605290,2960392,10003818,4084507,0.8148766
15,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,779154.0,1826.0,400768,28.588,0.01475,3.347,19.994,16.005,20.006,1606044,2960599,4083459,10002759,18652861,1606044,2960599,10002759,4083459,0.8150705
16,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,777611.0,1849.0,126533,28.593,0.01467,3.346,20.008,15.987,19.991,1605962,2957426,4083210,9995634,18642232,1605962,2957426,9995634,4083210,0.8150028
17,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,851642.0,2102.0,974215,28.592,0.01877,3.345,20.003,16.001,20.0,1604554,2961787,4083249,9999759,18649349,1604554,2961787,9999759,4083249,0.8151091
18,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,804288.0,1858.0,125781,28.56,0.01593,3.349,20.004,16.002,19.998,1607249,2958298,4079532,9998868,18643947,1607249,2958298,9998868,4079532,0.81447285
19,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,751672.0,1808.0,940128,28.538,0.01374,3.35,19.998,16.008,20.013,1608118,2958318,4083254,10006690,18656380,1608118,2958318,10006690,4083254,0.81441796
20,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,757803.0,1825.0,259144,28.553,0.01396,3.353,19.99,15.99,19.996,1609122,2969257,4077246,9997936,18653561,1609122,2969257,9997936,4077246,0.81457883
