,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,962812.0,10061.0,837435,43.356,0.03928,1.99,19.995,16.0,19.996,788990,1641228,4488472,9997950,16916640,788990,1641228,9997950,4488472,0.992981
1,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,950467.0,10271.0,684489,43.385,0.03376,1.985,20.008,16.009,19.995,787259,1639239,4488497,9997260,16912255,787259,1639239,9997260,4488497,0.9931529
2,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,952422.0,10111.0,986595,43.349,0.03451,1.989,20.01,16.001,20.005,788148,1642321,4479896,10002539,16912904,788148,1642321,10002539,4479896,0.9928939
3,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,953389.0,10201.0,175012,43.396,0.03478,1.988,19.989,15.997,19.989,788367,1637645,4486256,9994696,16906964,788367,1637645,9994696,4486256,0.99335074
4,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,952192.0,10098.0,706399,43.362,0.03433,1.986,20.002,15.992,20.0,787992,1644108,4475029,10000060,16907189,787992,1644108,10000060,4475029,0.99288917
5,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,959576.0,10181.0,41397,43.412,0.03757,1.99,20.011,15.995,20.0,789637,1639852,4485705,9999945,16915139,789637,1639852,9999945,4485705,0.9936809
6,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,964150.0,10656.0,22125,43.416,0.04009,1.993,20.021,15.994,19.991,790801,1634704,4483649,9995382,16904536,790801,1634704,9995382,4483649,0.9935532
7,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,957192.0,10227.0,61940,43.393,0.03641,1.992,19.992,15.998,19.998,790595,1642212,4475366,9999237,16907410,790595,1642212,9999237,4475366,0.99323374
8,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,957784.0,10398.0,214406,43.412,0.03666,1.988,19.988,15.996,19.995,788828,1637389,4484669,9997327,16908213,788828,1637389,9997327,4484669,0.993813
9,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,950409.0,10107.0,840679,43.403,0.03373,1.984,19.989,15.993,20.001,786190,1638759,4485718,10000459,16911126,786190,1638759,10000459,4485718,0.99322635
10,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,959528.0,10353.0,750343,43.38,0.0376,1.987,20.017,16.005,20.0,787806,1640859,4485213,9999810,16913688,787806,1640859,9999810,4485213,0.9930398
11,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,952262.0,10273.0,848463,43.433,0.03428,1.989,20.017,16.005,20.002,789544,1640701,4487068,10000770,16918083,789544,1640701,10000770,4487068,0.9936862
12,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,950554.0,10239.0,781396,43.462,0.0336,1.988,20.017,15.993,20.0,790017,1635317,4486495,9999803,16911632,790017,1635317,9999803,4486495,0.9940912
13,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,953143.0,10158.0,337835,43.404,0.03463,1.984,19.996,15.994,19.997,786664,1637005,4481719,9998690,16904078,786664,1637005,9998690,4481719,0.99346524
14,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,955913.0,10225.0,587782,43.429,0.03581,1.986,19.975,16.001,19.998,788417,1635224,4482852,9999125,16905618,788417,1635224,9999125,4482852,0.9936857
15,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,953905.0,10176.0,727812,43.423,0.03513,1.988,20.014,16.0,20.003,789126,1634656,4486472,10001468,16911722,789126,1634656,10001468,4486472,0.9938134
16,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,949178.0,10171.0,757422,43.402,0.03327,1.99,20.017,16.006,19.999,789250,1644094,4479194,9999726,16912264,789250,1644094,9999726,4479194,0.9935039
17,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,961659.0,10338.0,135193,43.402,0.03863,1.989,19.977,15.99,19.997,788782,1641906,4473970,9998425,16903083,788782,1641906,9998425,4473970,0.99338126
18,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,951289.0,9995.0,897576,43.401,0.03393,1.987,19.998,16.0,20.0,788408,1640378,4487010,10000068,16915864,788408,1640378,10000068,4487010,0.9934637
