,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,941645.0,1405.0,739734,24.105,0.03376,4.024,19.982,15.996,20.006,1972843,3768296,3348489,10003036,19092664,1972843,3768296,10003036,3348489,0.7551276
1,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,935963.0,1386.0,708033,24.073,0.03201,4.029,20.01,15.983,20.001,1974481,3788363,3338264,10000654,19101762,1974481,3788363,10000654,3338264,0.7546421
2,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,951822.0,1422.0,796286,24.098,0.03776,4.018,19.998,16.005,19.999,1969915,3770494,3346856,9999319,19086584,1969915,3770494,9999319,3346856,0.7551216
3,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,940056.0,1320.0,265233,24.123,0.03324,4.02,19.988,15.991,19.994,1971225,3769284,3345925,9997097,19083531,1971225,3769284,9997097,3345925,0.75553876
4,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,954757.0,1368.0,263541,24.107,0.03901,4.022,20.0,15.998,20.008,1972106,3773629,3347267,10003843,19096845,1972106,3773629,10003843,3347267,0.755243
5,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,946986.0,1418.0,828976,24.104,0.03585,4.018,19.991,16.005,20.002,1969638,3764868,3346544,10000976,19082026,1969638,3764868,10000976,3346544,0.75506914
6,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,941759.0,1331.0,68122,24.099,0.03358,4.023,20.003,15.998,20.004,1972842,3783730,3346764,10001810,19105146,1972842,3783730,10001810,3346764,0.7553328
7,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,944560.0,1380.0,287632,24.126,0.03485,4.018,19.992,16.013,19.994,1969873,3767692,3351927,9997145,19086637,1969873,3767692,9997145,3351927,0.75534844
8,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,949175.0,1383.0,116479,24.116,0.03639,4.022,19.996,15.997,19.999,1971982,3771402,3352346,9999441,19095171,1971982,3771402,9999441,3352346,0.75554633
9,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,942775.0,1444.0,890450,24.065,0.03427,4.015,19.996,16.014,19.996,1968762,3785780,3337015,9997882,19089439,1968762,3785780,9997882,3337015,0.7544215
10,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,946397.0,1346.0,400575,24.096,0.03542,4.032,20.014,15.996,20.002,1977404,3780998,3345199,10001107,19104708,1977404,3780998,10001107,3345199,0.75504804
