,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,903551.0,1004.0,403020,21.387,0.02498,4.856,20.001,15.981,20.005,2407890,4127658,2887749,10002502,19425799,2407890,4127658,10002502,2887749,0.71084225
1,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,914026.0,997.0,659500,21.345,0.02681,4.839,20.004,16.001,20.005,2400004,4123865,2886681,10002602,19413152,2400004,4123865,10002602,2886681,0.7102747
2,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,924665.0,1020.0,903896,21.359,0.02903,4.848,20.006,16.005,19.998,2404050,4128208,2886789,9998952,19417999,2404050,4128208,9998952,2886789,0.71057606
3,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,930310.0,948.0,58198,21.335,0.03042,4.85,19.996,16.002,19.997,2405553,4124670,2886639,9998301,19415163,2405553,4124670,9998301,2886639,0.71013457
4,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,907647.0,941.0,443956,21.403,0.02565,4.842,19.988,15.998,20.0,2401470,4104649,2899973,9999757,19405849,2401470,4104649,9999757,2899973,0.7111919
5,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,892680.0,943.0,15510,21.36,0.02349,4.85,19.988,15.997,20.003,2405193,4128729,2887449,10001700,19423071,2405193,4128729,10001700,2887449,0.7106569
6,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,912475.0,939.0,647899,21.332,0.02653,4.847,20.0,15.998,19.994,2404060,4135619,2877829,9997054,19414562,2404060,4135619,9997054,2877829,0.7099532
7,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,913130.0,957.0,670915,21.377,0.02657,4.839,19.995,15.996,20.0,2399496,4126791,2886462,9999784,19412533,2399496,4126791,9999784,2886462,0.7106513
8,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,917981.0,988.0,298953,21.376,0.02743,4.86,20.007,15.994,19.994,2410226,4122825,2891292,9996976,19421319,2410226,4122825,9996976,2891292,0.7108051
9,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,922015.0,980.0,473122,21.368,0.02828,4.855,19.996,15.987,20.0,2407884,4130898,2887117,9999985,19425884,2407884,4130898,9999985,2887117,0.71072924
10,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,891864.0,976.0,545290,21.357,0.02332,4.845,20.001,16.004,19.998,2402814,4129836,2887357,9998782,19418789,2402814,4129836,9998782,2887357,0.7105564
11,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,913950.0,978.0,732493,21.335,0.0269,4.846,20.016,16.002,19.998,2403188,4125709,2885877,9998775,19413549,2403188,4125709,9998775,2885877,0.7101355
12,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,892319.0,918.0,55839,21.339,0.02347,4.85,20.0,15.996,19.995,2405111,4122695,2887148,9997317,19412271,2405111,4122695,9997317,2887148,0.71037537
