,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,943286.0,1985.0,861897,25.209,0.03727,3.255,19.999,15.987,19.994,1554865,3728255,3404929,9996882,18684931,1554865,3728255,9996882,3404929,0.7697383
1,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,944391.0,1942.0,528458,25.206,0.03766,3.251,20.009,16.002,20.001,1552927,3737108,3401001,10000503,18691539,1552927,3737108,10000503,3401001,0.7696369
2,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,928988.0,1951.0,770640,25.229,0.03243,3.247,20.004,16.0,20.001,1550412,3733250,3409536,10000416,18693614,1550412,3733250,10000416,3409536,0.769811
3,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,934107.0,2075.0,470747,25.213,0.03397,3.247,20.002,16.001,19.997,1550629,3735012,3405744,9998728,18690113,1550629,3735012,9998728,3405744,0.7697481
4,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,938114.0,2008.0,319422,25.22,0.03514,3.25,19.992,16.002,19.998,1551493,3731909,3408368,9999173,18690943,1551493,3731909,9999173,3408368,0.7700824
5,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,941239.0,2074.0,215080,25.171,0.03653,3.245,19.995,16.0,19.998,1549339,3739471,3394602,9999128,18682540,1549339,3739471,9999128,3394602,0.76884633
6,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,938789.0,2022.0,387022,25.241,0.03561,3.251,20.007,16.011,20.004,1552602,3735309,3409658,10002157,18699726,1552602,3735309,10002157,3409658,0.77025044
7,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,932960.0,1986.0,615644,25.223,0.03377,3.248,20.005,15.995,19.997,1551200,3728059,3401272,9998618,18679149,1551200,3728059,9998618,3401272,0.7698591
8,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,946843.0,2018.0,592986,25.234,0.03884,3.253,19.995,16.005,19.998,1553382,3726025,3410000,9998985,18688392,1553382,3726025,9998985,3410000,0.76997644
9,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,940209.0,1878.0,592460,25.222,0.03589,3.251,19.996,16.009,20.008,1552299,3729732,3409508,10004130,18695669,1552299,3729732,10004130,3409508,0.7699023
10,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,943350.0,2034.0,828786,25.247,0.03699,3.247,19.992,15.999,19.998,1550725,3732066,3407382,9998877,18689050,1550725,3732066,9998877,3407382,0.77005434
11,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,936215.0,1970.0,597829,25.208,0.0345,3.246,20.0,15.999,19.994,1550639,3740803,3404938,9996931,18693311,1550639,3740803,9996931,3404938,0.76969075
12,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,930595.0,1989.0,45142,25.239,0.03273,3.253,19.998,15.995,20.007,1553224,3732239,3405873,10003602,18694938,1553224,3732239,10003602,3405873,0.7702179
13,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,926755.0,1944.0,155243,25.229,0.03197,3.249,19.996,16.004,19.992,1551606,3725189,3411674,9996043,18684512,1551606,3725189,9996043,3411674,0.77001715
14,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,931751.0,1935.0,751245,25.202,0.03337,3.245,20.008,16.013,20.004,1549055,3741246,3401267,10001993,18693561,1549055,3741246,10001993,3401267,0.7693886
15,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,939233.0,1978.0,868967,25.211,0.03554,3.252,19.999,16.008,20.001,1552870,3738910,3403214,10000362,18695356,1552870,3738910,10000362,3403214,0.7696962
16,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,944000.0,2110.0,307521,25.21,0.0378,3.245,19.991,16.002,19.994,1549174,3730039,3407122,9997035,18683370,1549174,3730039,9997035,3407122,0.7695841
17,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,937674.0,2005.0,841172,25.191,0.03517,3.25,20.015,16.002,19.989,1551651,3747274,3391538,9994528,18684991,1551651,3747274,9994528,3391538,0.76928574
18,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,944151.0,1986.0,419197,25.211,0.03743,3.251,20.006,16.0,19.998,1552649,3739688,3403063,9999035,18694435,1552649,3739688,9999035,3403063,0.76978797
19,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,937326.0,2008.0,691234,25.201,0.03493,3.244,20.006,15.994,19.997,1548838,3741502,3399392,9998649,18688381,1548838,3741502,9998649,3399392,0.76983845
20,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,939254.0,2018.0,2805,25.26,0.03567,3.247,20.001,16.001,20.0,1550407,3730528,3409340,9999967,18690242,1550407,3730528,9999967,3409340,0.7703264
21,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,940475.0,1955.0,341796,25.252,0.03609,3.248,19.999,15.996,19.998,1550438,3730282,3413041,9999069,18692830,1550438,3730282,9999069,3413041,0.7703017
22,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,932660.0,2030.0,738857,25.229,0.03357,3.249,20.008,16.009,20.007,1551608,3739190,3401208,10003550,18695556,1551608,3739190,10003550,3401208,0.7696759
23,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,941962.0,2104.0,890485,25.228,0.03673,3.251,20.004,16.007,19.997,1552501,3736735,3404966,9998436,18692638,1552501,3736735,9998436,3404966,0.7700625
24,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,943217.0,2005.0,304397,25.201,0.03723,3.24,19.992,15.995,20.002,1547215,3730747,3400053,10001211,18679226,1547215,3730747,10001211,3400053,0.7693339
25,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,931458.0,1989.0,900217,25.178,0.03338,3.244,20.002,15.997,19.998,1548936,3735349,3404739,9999160,18688184,1548936,3735349,9999160,3404739,0.76927614
26,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,931833.0,2035.0,247788,25.233,0.0332,3.245,20.0,16.007,19.998,1549749,3731592,3408368,9998914,18688623,1549749,3731592,9998914,3408368,0.77010906
27,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,934390.0,1963.0,785810,25.224,0.03403,3.254,20.008,15.997,20.005,1553819,3745480,3401777,10002252,18703328,1553819,3745480,10002252,3401777,0.7695727
28,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,937765.0,2083.0,796646,25.229,0.0353,3.257,20.001,16.003,19.991,1555462,3732304,3409992,9995630,18693388,1555462,3732304,9995630,3409992,0.77008927
29,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,950105.0,2107.0,995386,25.229,0.03986,3.251,19.998,16.012,20.003,1552386,3737392,3403719,10001674,18695171,1552386,3737392,10001674,3403719,0.76997656
