,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,927496.0,1605.0,676813,25.396,0.03095,3.371,20.011,15.999,20.001,1619907,3479306,3671888,10000635,18771736,1619907,3479306,10000635,3671888,0.7804937
1,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,928845.0,1660.0,539602,25.376,0.03141,3.37,19.999,16.0,19.989,1618806,3474539,3675510,9994710,18763565,1618806,3474539,9994710,3675510,0.7800462
2,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,941731.0,1694.0,673464,25.394,0.03534,3.372,19.996,15.995,20.004,1619858,3464030,3682684,10001758,18768330,1619858,3464030,10001758,3682684,0.78056836
3,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,936898.0,1533.0,417590,25.42,0.03354,3.374,20.007,16.003,19.999,1620485,3471755,3682343,9999420,18774003,1620485,3471755,9999420,3682343,0.7808207
4,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,917852.0,1655.0,139693,25.34,0.0287,3.37,19.991,16.01,19.999,1618311,3477902,3668360,9999668,18764241,1618311,3477902,9999668,3668360,0.7794508
5,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,930636.0,1590.0,150007,25.4,0.03179,3.369,20.003,16.003,20.003,1617824,3470890,3678911,10001308,18768933,1617824,3470890,10001308,3678911,0.78079045
6,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,929738.0,1605.0,527031,25.371,0.03159,3.364,20.006,16.01,20.0,1616022,3471017,3674975,10000246,18762260,1616022,3471017,10000246,3674975,0.7798957
7,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,932683.0,1626.0,874802,25.371,0.03233,3.368,20.005,15.993,20.003,1618115,3481705,3671905,10001618,18773343,1618115,3481705,10001618,3671905,0.7802289
8,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,934453.0,1656.0,349303,25.392,0.03285,3.374,20.009,16.005,20.002,1620805,3472774,3677048,10000999,18771626,1620805,3472774,10000999,3677048,0.7805337
9,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,931785.0,1570.0,797722,25.381,0.03211,3.373,20.003,15.99,20.0,1620436,3478692,3668523,9999935,18767586,1620436,3478692,9999935,3668523,0.78009
10,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,925497.0,1568.0,24306,25.416,0.03036,3.375,19.998,15.992,19.997,1621167,3468357,3679070,9998540,18767134,1621167,3468357,9998540,3679070,0.7805916
11,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,920875.0,1637.0,882336,25.33,0.0294,3.363,19.996,16.002,19.998,1615255,3483245,3663738,9999203,18761441,1615255,3483245,9999203,3663738,0.7794741
12,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,934948.0,1572.0,612914,25.337,0.03313,3.372,19.993,15.998,19.992,1619165,3473970,3670069,9995993,18759197,1619165,3473970,9995993,3670069,0.77979344
13,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,929843.0,1617.0,20862,25.381,0.03149,3.373,20.0,15.998,19.999,1620260,3476467,3670727,9999605,18767059,1620260,3476467,9999605,3670727,0.780249
14,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,938352.0,1565.0,556372,25.342,0.03429,3.368,20.004,15.989,20.002,1617325,3481183,3666738,10000911,18766157,1617325,3481183,10000911,3666738,0.779635
15,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,939460.0,1573.0,334292,25.342,0.03456,3.37,19.992,15.999,20.001,1619384,3476751,3665231,10000303,18761669,1619384,3476751,10000303,3665231,0.77965194
16,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,942379.0,1672.0,383126,25.37,0.03568,3.367,20.001,15.999,20.002,1618110,3477090,3672430,10000997,18768627,1618110,3477090,10000997,3672430,0.7800287
17,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,935580.0,1671.0,401691,25.357,0.03324,3.367,20.009,16.007,20.002,1617461,3471226,3671964,10001225,18761876,1617461,3471226,10001225,3671964,0.77983624
18,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,927958.0,1584.0,262826,25.357,0.03117,3.371,19.996,16.006,19.997,1618929,3470060,3679352,9998612,18766953,1618929,3470060,9998612,3679352,0.78009427
19,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,932187.0,1654.0,949626,25.346,0.03236,3.372,20.006,16.007,20.005,1619790,3477144,3669173,10002361,18768468,1619790,3477144,10002361,3669173,0.7797042
20,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,933864.0,1575.0,343490,25.346,0.0329,3.362,20.007,15.989,20.002,1614452,3476347,3666723,10001023,18758545,1614452,3476347,10001023,3666723,0.779482
21,namibia,1000000,1000,2020-01-01,2020-12-31,hybrid,939054.0,1591.0,509711,25.324,0.03446,3.37,19.993,15.992,19.997,1618687,3478479,3662881,9998654,18758701,1618687,3478479,9998654,3662881,0.7797688
