,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,810073.0,1251.0,89931,24.536,0.01522,4.526,19.994,16.004,20.007,2236930,3619408,3541336,10003274,19400948,2236930,3619408,10003274,3541336,0.768466
1,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,833725.0,1295.0,72489,24.532,0.01644,4.535,19.994,16.011,19.998,2241199,3626127,3543918,9998855,19410099,2241199,3626127,9998855,3543918,0.7681404
2,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,778757.0,1205.0,667184,24.513,0.01386,4.528,19.992,15.991,20.004,2237694,3615569,3538878,10001808,19393949,2237694,3615569,10001808,3538878,0.76804006
3,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,870137.0,1364.0,781279,24.558,0.01905,4.529,19.998,15.992,20.008,2238378,3614524,3543092,10003859,19399853,2238378,3614524,10003859,3543092,0.76837325
4,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,810913.0,1315.0,687512,24.512,0.01521,4.532,19.996,16.0,20.0,2240150,3621402,3544736,10000062,19406350,2240150,3621402,10000062,3544736,0.76797694
5,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,890182.0,1325.0,505465,24.517,0.02107,4.53,19.996,15.995,20.0,2239567,3624433,3543886,10000111,19407997,2239567,3624433,10000111,3543886,0.768379
6,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,802935.0,1255.0,34486,24.517,0.01489,4.528,20.007,15.99,20.006,2237762,3615813,3542191,10002906,19398672,2237762,3615813,10002906,3542191,0.7680129
7,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,853936.0,1323.0,524384,24.533,0.01773,4.529,19.995,15.987,20.001,2238420,3618343,3541691,10000462,19398916,2238420,3618343,10000462,3541691,0.7682714
8,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,813799.0,1248.0,933908,24.519,0.01533,4.521,20.013,15.995,20.001,2234530,3624160,3538021,10000394,19397105,2234530,3624160,10000394,3538021,0.7680581
9,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,808678.0,1286.0,192423,24.526,0.01508,4.532,19.992,16.004,19.999,2240155,3621337,3543898,9999387,19404777,2240155,3621337,9999387,3543898,0.76821846
10,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,840301.0,1312.0,302394,24.536,0.01679,4.531,19.986,16.0,19.994,2239924,3616961,3547842,9996812,19401539,2239924,3616961,9996812,3547842,0.76832485
11,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,857911.0,1342.0,706874,24.51,0.01801,4.532,20.005,16.009,19.997,2240445,3625223,3540649,9998558,19404875,2240445,3625223,9998558,3540649,0.768054
12,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,816560.0,1308.0,39985,24.521,0.01546,4.535,20.003,15.992,20.004,2242133,3627253,3540376,10001935,19411697,2242133,3627253,10001935,3540376,0.76815754
13,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,856154.0,1307.0,302674,24.496,0.01796,4.537,19.997,16.003,19.997,2242736,3624895,3537578,9998505,19403714,2242736,3624895,9998505,3537578,0.7676676
14,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,856084.0,1324.0,722641,24.504,0.01792,4.53,19.997,16.002,19.995,2239167,3623238,3540859,9997745,19401009,2239167,3623238,9997745,3540859,0.76782376
15,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,853717.0,1413.0,299689,24.518,0.01767,4.523,20.006,15.994,20.005,2235409,3620705,3542761,10002370,19401245,2235409,3620705,10002370,3542761,0.7680354
16,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,816321.0,1261.0,301066,24.532,0.01542,4.526,20.014,15.999,20.006,2237575,3623223,3540735,10002883,19404416,2237575,3623223,10002883,3540735,0.7683322
17,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,791934.0,1328.0,743464,24.52,0.01432,4.53,20.004,16.0,19.999,2239284,3624735,3542627,9999705,19406351,2239284,3624735,9999705,3542627,0.7683
18,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,841780.0,1312.0,894880,24.558,0.01691,4.528,20.014,15.993,19.998,2237935,3621070,3543607,9998752,19401364,2237935,3621070,9998752,3543607,0.76845956
19,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,843208.0,1360.0,708200,24.488,0.01708,4.524,20.002,16.011,20.007,2236676,3626773,3540269,10003689,19407407,2236676,3626773,10003689,3540269,0.76768863
20,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,862131.0,1341.0,931588,24.516,0.01844,4.53,19.995,15.999,20.001,2239592,3620051,3541983,10000474,19402100,2239592,3620051,10000474,3541983,0.7680751
