,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,956711.0,3132.0,445071,29.759,0.03387,3.733,20.005,16.016,19.997,1816701,3013546,4095002,9998493,18923742,1816701,3013546,9998493,4095002,0.84415376
1,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,959051.0,3033.0,960288,29.716,0.03497,3.732,20.004,16.016,20.004,1817312,3019216,4090905,10001771,18929204,1817312,3019216,10001771,4090905,0.84344757
2,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,951008.0,3055.0,206307,29.752,0.03153,3.73,19.998,15.994,20.001,1815977,3024222,4081083,10000480,18921762,1815977,3024222,10000480,4081083,0.84400386
3,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,948823.0,3069.0,888407,29.767,0.03069,3.734,20.0,16.008,19.997,1817838,3015636,4091971,9998324,18923769,1817838,3015636,9998324,4091971,0.8442497
4,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,952565.0,3032.0,598618,29.686,0.03232,3.732,20.005,15.999,19.991,1816423,3022627,4077589,9995627,18912266,1816423,3022627,9995627,4077589,0.8432968
5,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,953622.0,2974.0,987846,29.727,0.03263,3.728,19.999,16.0,19.998,1814328,3017380,4087916,9999196,18918820,1814328,3017380,9999196,4087916,0.8436951
6,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,947325.0,3025.0,560409,29.731,0.03036,3.729,20.008,15.988,20.005,1815587,3021582,4083551,10002625,18923345,1815587,3021582,10002625,4083551,0.8439214
7,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,955336.0,2941.0,516067,29.704,0.03321,3.736,19.99,15.997,20.002,1818291,3017855,4086162,10000794,18923102,1818291,3017855,10000794,4086162,0.8434597
8,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,954718.0,3090.0,661992,29.726,0.03287,3.73,20.002,15.995,20.003,1815707,3019330,4083941,10001500,18920478,1815707,3019330,10001500,4083941,0.8438397
9,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,951523.0,2961.0,825913,29.687,0.03177,3.726,19.994,15.996,20.003,1813580,3014344,4086313,10001591,18915828,1813580,3014344,10001591,4086313,0.84325445
10,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,951776.0,3041.0,30548,29.712,0.03185,3.731,20.005,16.006,20.013,1816011,3025054,4084377,10006632,18932074,1816011,3025054,10006632,4084377,0.8434413
11,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,953806.0,3075.0,442864,29.728,0.03255,3.74,20.004,15.998,19.999,1819644,3019426,4083171,9999298,18921539,1819644,3019426,9999298,4083171,0.8436523
12,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,955592.0,3034.0,933459,29.718,0.03323,3.732,20.006,16.006,19.996,1816922,3017115,4095463,9998134,18927634,1816922,3017115,9998134,4095463,0.8437048
13,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,950365.0,3073.0,258401,29.722,0.03127,3.729,20.002,15.996,20.002,1815555,3023756,4088293,10001025,18928629,1815555,3023756,10001025,4088293,0.84368557
14,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,952690.0,3001.0,846419,29.745,0.03213,3.733,20.0,15.996,20.007,1817159,3017428,4086994,10003580,18925161,1817159,3017428,10003580,4086994,0.8440984
15,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,948526.0,3047.0,577001,29.748,0.03069,3.73,19.994,16.006,19.992,1815719,3013948,4086796,9996196,18912659,1815719,3013948,9996196,4086796,0.84389365
16,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,959378.0,3094.0,9547,29.724,0.03507,3.73,19.983,16.001,20.002,1815408,3015469,4091499,10001028,18923404,1815408,3015469,10001028,4091499,0.8437367
17,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,954629.0,3087.0,363646,29.716,0.0329,3.737,19.993,16.001,20.008,1819440,3023978,4084496,10004216,18932130,1819440,3023978,10004216,4084496,0.8435733
18,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,950616.0,3022.0,404704,29.722,0.0314,3.735,20.007,15.99,19.995,1818092,3020084,4081307,9997408,18916891,1818092,3020084,9997408,4081307,0.8436285
19,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,950249.0,2977.0,520090,29.7,0.03132,3.725,19.996,16.0,20.0,1812389,3024269,4078514,9999959,18915131,1812389,3024269,9999959,4078514,0.8434041
20,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,955967.0,3002.0,804129,29.701,0.03346,3.728,19.996,16.01,19.998,1814918,3028020,4085089,9999015,18927042,1814918,3028020,9999015,4085089,0.84360814
21,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,956600.0,3030.0,438734,29.697,0.03379,3.734,19.999,15.994,19.995,1817262,3026181,4082071,9997575,18923089,1817262,3026181,9997575,4082071,0.84330946
22,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,956598.0,3123.0,305611,29.725,0.03383,3.734,20.007,15.994,19.997,1817418,3024224,4086170,9998360,18926172,1817418,3024224,9998360,4086170,0.84367573
23,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,955120.0,2989.0,853299,29.725,0.03331,3.735,20.004,15.997,19.998,1817724,3019284,4083730,9998937,18919675,1817724,3019284,9998937,4083730,0.8438436
24,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,956511.0,3072.0,699814,29.732,0.03372,3.741,20.007,15.999,20.005,1820763,3019558,4082769,10002508,18925598,1820763,3019558,10002508,4082769,0.84368205
25,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,953429.0,3074.0,304445,29.745,0.03239,3.728,20.014,16.003,20.0,1814332,3024451,4085729,10000247,18924759,1814332,3024451,10000247,4085729,0.84390193
26,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,954252.0,3066.0,136784,29.726,0.03292,3.727,19.981,15.999,19.998,1814506,3014137,4086189,9999238,18914070,1814506,3014137,9999238,4086189,0.84392357
27,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,958056.0,3116.0,183112,29.728,0.03447,3.734,20.013,15.999,20.0,1818007,3020979,4085532,10000075,18924593,1818007,3020979,10000075,4085532,0.8436408
28,paraguay,1000000,1000,2020-01-01,2020-12-31,hybrid,952987.0,3022.0,434623,29.693,0.03229,3.735,20.007,16.006,19.994,1818788,3024827,4082561,9996958,18923134,1818788,3024827,9996958,4082561,0.84318155
