,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,862355.0,6417.0,770470,42.858,0.01793,1.95,19.993,15.989,20.003,763619,1508032,5050169,10001415,17323235,763619,1508032,10001415,5050169,0.99586827
1,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,877085.0,6682.0,321167,42.89,0.01899,1.953,19.994,16.0,20.0,764721,1510290,5054985,9999926,17329922,764721,1510290,9999926,5054985,0.9959199
2,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,816432.0,5901.0,257736,42.869,0.01541,1.949,20.012,16.0,20.003,763503,1517081,5044013,10001397,17325994,763503,1517081,10001397,5044013,0.9957592
3,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,814330.0,5890.0,383088,42.814,0.01531,1.952,19.996,16.005,20.0,764094,1518018,5054403,10000160,17336675,764094,1518018,10000160,5054403,0.9955456
4,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,863743.0,6573.0,582440,42.884,0.01788,1.955,20.026,16.01,20.0,766226,1510884,5053521,10000067,17330698,766226,1510884,10000067,5053521,0.99602526
5,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,776567.0,5651.0,526269,42.858,0.0139,1.947,20.009,15.997,20.001,761902,1516019,5050554,10000466,17328941,761902,1516019,10000466,5050554,0.9955709
6,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,851082.0,6261.0,659415,42.909,0.01708,1.952,20.007,15.989,19.998,764911,1513879,5041068,9999034,17318892,764911,1513879,9999034,5041068,0.9963133
7,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,846261.0,6317.0,552395,42.875,0.01682,1.957,20.001,16.001,20.001,766093,1516976,5048835,10000371,17332275,766093,1516976,10000371,5048835,0.99575263
8,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,855854.0,6441.0,970725,42.854,0.01754,1.951,19.999,16.003,20.007,763751,1514299,5052417,10003539,17334006,763751,1514299,10003539,5052417,0.9957686
9,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,848310.0,6221.0,352196,42.881,0.01695,1.95,19.98,16.007,20.008,762693,1514044,5050915,10003835,17331487,762693,1514044,10003835,5050915,0.99615294
10,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,892954.0,6786.0,147654,42.879,0.0203,1.952,19.997,16.003,19.994,764460,1516743,5048265,9997164,17326632,764460,1516743,9997164,5048265,0.9959701
11,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,742015.0,5358.0,811525,42.83,0.01293,1.946,20.013,16.0,19.995,761758,1516359,5052141,9997436,17327694,761758,1516359,9997436,5052141,0.9952214
12,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,822934.0,6116.0,75028,42.872,0.01571,1.953,19.983,15.998,20.006,765419,1509178,5048211,10002888,17325696,765419,1509178,10002888,5048211,0.9959334
13,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,784692.0,5591.0,645786,42.898,0.01414,1.956,20.001,15.999,19.995,766684,1505233,5058589,9997600,17328106,766684,1505233,9997600,5058589,0.9961817
14,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,869798.0,6457.0,412642,42.898,0.01841,1.949,20.0,16.007,19.998,763086,1513553,5052709,9999245,17328593,763086,1513553,9999245,5052709,0.9962799
15,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,837179.0,6216.0,378570,42.845,0.01635,1.949,19.997,15.993,19.996,763608,1509731,5052015,9998099,17323453,763608,1509731,9998099,5052015,0.99568844
16,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,877671.0,6547.0,645691,42.848,0.01907,1.95,19.973,15.995,19.999,763122,1512147,5049630,9999365,17324264,763122,1512147,9999365,5049630,0.9954944
17,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,741743.0,5396.0,801213,42.9,0.01287,1.953,19.995,16.01,19.999,764863,1506634,5054288,9999439,17325224,764863,1506634,9999439,5054288,0.9964222
18,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,878479.0,6590.0,466259,42.86,0.01896,1.949,20.013,15.998,19.995,763049,1506644,5057910,9997556,17325159,763049,1506644,9997556,5057910,0.995717
19,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,785992.0,5638.0,785321,42.849,0.01421,1.953,19.995,16.0,19.996,764598,1511581,5050550,9997774,17324503,764598,1511581,9997774,5050550,0.99543995
20,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,826970.0,6152.0,685678,42.874,0.01591,1.95,20.001,15.997,20.002,763328,1510273,5053188,10000955,17327744,763328,1510273,10000955,5053188,0.9959176
21,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,803470.0,5974.0,35176,42.854,0.01487,1.953,19.995,15.999,19.997,764407,1517408,5050005,9998291,17330111,764407,1517408,9998291,5050005,0.995774
22,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,849546.0,6487.0,894645,42.894,0.01713,1.953,20.002,15.995,20.002,765085,1510870,5053143,10001188,17330286,765085,1510870,10001188,5053143,0.99611926
23,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,825867.0,5980.0,246389,42.843,0.01583,1.951,19.985,16.007,20.003,763681,1511678,5055547,10001616,17332522,763681,1511678,10001616,5055547,0.99553883
