,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,870108.0,5332.0,156832,36.962,0.02115,2.038,20.004,16.002,19.994,820887,2404945,4311045,9997024,17533901,820887,2404945,9997024,4311045,0.91383755
1,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,916392.0,5549.0,620186,36.976,0.02728,2.041,19.993,15.991,19.995,823783,2398160,4314927,9997527,17534397,823783,2398160,9997527,4314927,0.9138976
2,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,929358.0,5757.0,341215,37.009,0.0302,2.035,19.986,16.001,20.001,820815,2399257,4314132,10000641,17534845,820815,2399257,10000641,4314132,0.9140868
3,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,923981.0,5688.0,605538,36.975,0.02893,2.035,20.023,15.998,19.993,820735,2407508,4306093,9996669,17531005,820735,2407508,9996669,4306093,0.9137129
4,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,919020.0,5548.0,720301,36.941,0.02782,2.032,20.01,15.999,20.002,818237,2409254,4308634,10001182,17537307,818237,2409254,10001182,4308634,0.91347045
5,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,905738.0,5544.0,267045,36.986,0.02545,2.039,20.0,16.01,20.007,821944,2396306,4316839,10003547,17538636,821944,2396306,10003547,4316839,0.9138026
6,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,913015.0,5614.0,340807,36.947,0.02666,2.032,19.997,15.999,19.999,818762,2411642,4306791,9999283,17536478,818762,2411642,9999283,4306791,0.9131752
7,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,913097.0,5631.0,295629,36.98,0.0266,2.034,20.003,16.0,20.005,820429,2405974,4312943,10002260,17541606,820429,2405974,10002260,4312943,0.91395104
8,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,908935.0,5730.0,136579,37.012,0.0259,2.036,20.016,16.001,19.99,821518,2402251,4304490,9994971,17523230,821518,2402251,9994971,4304490,0.9142779
9,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,907145.0,5664.0,945287,36.997,0.02568,2.036,20.0,15.989,19.99,822354,2399921,4308438,9994805,17525518,822354,2399921,9994805,4308438,0.9141843
10,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,908366.0,5593.0,818437,36.996,0.02594,2.037,19.999,16.014,19.996,821693,2399524,4315451,9998092,17534760,821693,2399524,9998092,4315451,0.9139315
11,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,908503.0,5743.0,665685,36.987,0.02597,2.033,20.008,16.003,19.999,820395,2408886,4305736,9999384,17534401,820395,2408886,9999384,4305736,0.9138378
12,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,909672.0,5583.0,822191,37.005,0.02602,2.038,20.01,16.001,20.004,822690,2408453,4308908,10002093,17542144,822690,2408453,10002093,4308908,0.9141925
13,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,905867.0,5413.0,347285,36.958,0.02556,2.039,20.009,15.998,20.004,821891,2411717,4308753,10001751,17544112,821891,2411717,10001751,4308753,0.91365314
14,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,922523.0,5835.0,743562,36.95,0.02863,2.031,20.006,15.999,19.992,819170,2413470,4303863,9995967,17532470,819170,2413470,9995967,4303863,0.91321045
15,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,896143.0,5677.0,976683,37.012,0.02405,2.035,20.005,15.99,19.995,821409,2407460,4309277,9997496,17535642,821409,2407460,9997496,4309277,0.91423947
16,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,905272.0,5549.0,885873,36.982,0.02547,2.034,20.008,15.999,19.993,820359,2407139,4308780,9996663,17532941,820359,2407139,9996663,4308780,0.9141293
17,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,929360.0,5768.0,217072,36.961,0.03011,2.036,19.995,16.01,19.998,820759,2407723,4311646,9998855,17538983,820759,2407723,9998855,4311646,0.9137159
18,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,922046.0,5727.0,584439,36.98,0.02844,2.034,20.002,16.008,19.998,819952,2411192,4309147,9998986,17539277,819952,2411192,9998986,4309147,0.91385925
19,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,903672.0,5511.0,326050,36.989,0.02506,2.034,20.004,16.0,20.0,819140,2411454,4306749,10000154,17537497,819140,2411454,10000154,4306749,0.91403174
20,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,898581.0,5663.0,413282,36.956,0.02442,2.038,19.997,15.996,19.996,821541,2415364,4297242,9998046,17532193,821541,2415364,9998046,4297242,0.91352195
21,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,914669.0,5634.0,401175,36.97,0.02695,2.037,20.001,16.002,19.998,820922,2403802,4311935,9998912,17535571,820922,2403802,9998912,4311935,0.91398156
22,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,910696.0,5677.0,837557,36.963,0.02635,2.035,19.987,16.004,20.002,821073,2404965,4316761,10001044,17543843,821073,2404965,10001044,4316761,0.9137328
23,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,915050.0,5551.0,878290,36.972,0.02711,2.035,19.997,15.992,20.004,820672,2407520,4307736,10001959,17537887,820672,2407520,10001959,4307736,0.91375285
24,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,918561.0,5777.0,972365,36.993,0.02772,2.037,19.993,15.997,20.0,821372,2401082,4312815,10000230,17535499,821372,2401082,10000230,4312815,0.914158
25,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,933193.0,5847.0,941863,36.969,0.03117,2.036,19.971,16.003,19.996,821713,2402027,4311560,9998028,17533328,821713,2402027,9998028,4311560,0.9137688
26,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,911015.0,5563.0,252224,36.942,0.02634,2.034,19.999,16.002,20.003,820136,2409895,4308596,10001746,17540373,820136,2409895,10001746,4308596,0.91336834
27,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,869848.0,5241.0,747274,36.958,0.02124,2.035,19.987,16.0,19.997,820121,2404858,4307826,9998590,17531395,820121,2404858,9998590,4307826,0.9135198
28,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,901832.0,5573.0,226394,36.986,0.02489,2.035,19.996,15.995,19.998,821270,2399709,4315978,9999108,17536065,821270,2399709,9999108,4315978,0.9139456
29,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,899102.0,5627.0,322916,36.981,0.02461,2.04,20.004,16.011,19.995,822627,2405109,4307123,9997472,17532331,822627,2405109,9997472,4307123,0.913706
