,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,891985.0,1370.0,802221,23.728,0.0272,3.012,19.993,15.997,20.003,1417503,3908749,3233596,10001470,18561318,1417503,3908749,10001470,3233596,0.7463883
1,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,899523.0,1407.0,588869,23.762,0.02851,3.017,20.0,15.992,20.0,1419926,3918877,3228526,10000232,18567561,1419926,3918877,10000232,3228526,0.74659187
2,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,896962.0,1412.0,798530,23.742,0.02794,3.015,20.01,15.999,19.992,1419435,3918325,3230631,9995828,18564219,1419435,3918325,9995828,3230631,0.74638224
3,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,882146.0,1380.0,523530,23.761,0.02577,3.013,20.0,15.992,19.997,1417808,3916283,3229948,9998444,18562483,1417808,3916283,9998444,3229948,0.7466355
4,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,904429.0,1407.0,93407,23.733,0.02955,3.008,19.995,15.99,20.004,1415780,3912118,3226688,10002151,18556737,1415780,3912118,10002151,3226688,0.74602556
5,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,883575.0,1450.0,883378,23.758,0.02589,3.009,20.005,16.008,19.996,1416281,3911028,3238030,9998002,18563341,1416281,3911028,9998002,3238030,0.7469055
6,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,890990.0,1407.0,918599,23.745,0.02695,3.015,20.018,15.992,20.005,1419972,3919034,3225417,10002401,18566824,1419972,3919034,10002401,3225417,0.7464887
7,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,873889.0,1350.0,555504,23.724,0.02466,3.012,19.997,16.004,19.997,1417904,3918161,3230723,9998733,18565521,1417904,3918161,9998733,3230723,0.7461836
8,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,875580.0,1376.0,230860,23.748,0.02498,3.016,20.002,15.998,20.001,1418872,3916492,3226598,10000742,18562704,1418872,3916492,10000742,3226598,0.7462954
9,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,891998.0,1352.0,20398,23.749,0.02729,3.012,19.996,16.005,20.0,1417791,3914725,3231614,10000149,18564279,1417791,3914725,10000149,3231614,0.74634385
10,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,903539.0,1383.0,753374,23.726,0.02924,3.008,19.992,15.991,19.998,1415456,3912174,3230096,9998937,18556663,1415456,3912174,9998937,3230096,0.7464931
11,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,882888.0,1365.0,943537,23.731,0.02584,3.013,20.003,16.008,20.0,1418135,3914582,3230285,10000020,18563022,1418135,3914582,10000020,3230285,0.7461488
12,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,894494.0,1361.0,62783,23.719,0.02769,3.009,19.998,15.999,19.999,1415702,3907427,3229335,9999632,18552096,1415702,3907427,9999632,3229335,0.7461711
13,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,884983.0,1329.0,153113,23.736,0.02599,3.012,19.997,15.998,20.011,1416905,3915942,3227665,10005409,18565921,1416905,3915942,10005409,3227665,0.7463532
14,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,859507.0,1337.0,991946,23.766,0.02292,3.013,20.003,16.0,20.005,1417729,3906008,3237307,10002643,18563687,1417729,3906008,10002643,3237307,0.74677
15,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,885568.0,1370.0,395657,23.743,0.02629,3.012,19.996,16.006,20.0,1417505,3912045,3228292,10000069,18557911,1417505,3912045,10000069,3228292,0.7463164
16,sao tome and principe,1000000,1000,2020-01-01,2020-12-31,hybrid,899122.0,1384.0,943322,23.767,0.02848,3.011,20.003,15.995,19.992,1417477,3914182,3234366,9995906,18561931,1417477,3914182,9995906,3234366,0.74691457
