,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,964068.0,5692.0,649325,41.642,0.0312,2.547,19.976,15.987,19.993,1145367,1474288,5296167,9996714,17912536,1145367,1474288,9996714,5296167,0.9844441
1,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,969010.0,5489.0,92166,41.658,0.03348,2.549,19.996,16.001,20.001,1145832,1475837,5302716,10000351,17924736,1145832,1475837,10000351,5302716,0.98453945
2,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,973828.0,5483.0,8319,41.631,0.0366,2.556,20.009,16.001,19.998,1147708,1477039,5298876,9998942,17922565,1147708,1477039,9998942,5298876,0.98431027
3,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,965785.0,5629.0,968311,41.654,0.03199,2.55,20.0,15.996,20.0,1145247,1475608,5296545,9999819,17917219,1145247,1475608,9999819,5296545,0.9846032
4,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,965236.0,5478.0,63797,41.609,0.03175,2.55,19.996,16.002,19.999,1146491,1485524,5292003,9999333,17923351,1146491,1485524,9999333,5292003,0.9842136
5,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,959893.0,5605.0,546706,41.61,0.02966,2.553,20.011,16.0,19.999,1147550,1475727,5293928,9999412,17916617,1147550,1475727,9999412,5293928,0.9842307
6,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,971037.0,5485.0,345559,41.607,0.03504,2.554,19.991,16.004,19.994,1148385,1472289,5301929,9997219,17919822,1148385,1472289,9997219,5301929,0.9843958
7,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,969078.0,5569.0,504358,41.612,0.03401,2.547,19.998,16.002,20.001,1144598,1477579,5298996,10000660,17921833,1144598,1477579,10000660,5298996,0.9842437
8,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,967536.0,5685.0,606776,41.649,0.03281,2.547,20.006,16.01,20.002,1145522,1478430,5297681,10001096,17922729,1145522,1478430,10001096,5297681,0.98467124
9,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,965166.0,5513.0,989093,41.65,0.03183,2.551,19.987,16.001,19.997,1146879,1472055,5298459,9998739,17916132,1146879,1472055,9998739,5298459,0.9849466
10,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,970968.0,5383.0,763719,41.649,0.03478,2.552,20.014,16.003,19.995,1146816,1477525,5298068,9997450,17919859,1146816,1477525,9997450,5298068,0.9848576
11,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,966609.0,5599.0,886517,41.632,0.03231,2.547,19.996,15.993,20.003,1144650,1474397,5300677,10001486,17921210,1144650,1474397,10001486,5300677,0.9845449
12,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,967949.0,5517.0,129820,41.627,0.03327,2.545,19.986,15.991,19.996,1143745,1475759,5297119,9997984,17914607,1143745,1475759,9997984,5297119,0.9843566
13,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,973395.0,5598.0,847326,41.627,0.03627,2.549,20.017,16.0,19.999,1145944,1480293,5298951,9999622,17924810,1145944,1480293,9999622,5298951,0.9844053
14,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,970606.0,5522.0,157255,41.608,0.0347,2.556,20.001,16.002,19.998,1148680,1479206,5293490,9998829,17920205,1148680,1479206,9998829,5293490,0.98406655
15,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,970170.0,5638.0,552209,41.626,0.03437,2.548,19.995,16.001,19.999,1144709,1476369,5295570,9999542,17916190,1144709,1476369,9999542,5295570,0.98406184
16,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,969622.0,5613.0,343240,41.581,0.03432,2.544,19.99,16.005,20.008,1143133,1480560,5293950,10004237,17921880,1143133,1480560,10004237,5293950,0.9840041
17,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,969531.0,5649.0,216296,41.607,0.03425,2.548,20.0,15.996,20.001,1144424,1481794,5288148,10000344,17914710,1144424,1481794,10000344,5288148,0.9840648
18,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,963994.0,5509.0,871792,41.614,0.03138,2.547,19.99,15.997,20.002,1144540,1475781,5296667,10000974,17917962,1144540,1475781,10000974,5296667,0.98425275
19,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,968669.0,5629.0,176521,41.63,0.03358,2.547,19.993,15.994,20.003,1145173,1473162,5301296,10001264,17920895,1145173,1473162,10001264,5301296,0.98437333
20,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,963936.0,5501.0,336030,41.6,0.03119,2.545,19.986,16.007,20.007,1144035,1478114,5298534,10003661,17924344,1144035,1478114,10003661,5298534,0.9840253
21,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,965578.0,5719.0,655448,41.618,0.03206,2.55,20.03,15.998,20.005,1146482,1478225,5289015,10002579,17916301,1146482,1478225,10002579,5289015,0.9844313
22,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,964768.0,5608.0,133205,41.629,0.0316,2.548,19.984,15.992,20.0,1145770,1474311,5293244,10000188,17913513,1145770,1474311,10000188,5293244,0.9845346
23,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,969268.0,5536.0,850253,41.586,0.03388,2.549,19.994,15.997,20.004,1144696,1481257,5287122,10001906,17914981,1144696,1481257,10001906,5287122,0.98382825
24,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,961539.0,5576.0,235608,41.601,0.03027,2.544,19.989,15.994,19.996,1142946,1473890,5294329,9997946,17909111,1142946,1473890,9997946,5294329,0.9843773
25,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,966000.0,5579.0,722404,41.636,0.03202,2.552,19.985,16.001,19.994,1147412,1476246,5294747,9997143,17915548,1147412,1476246,9997143,5294747,0.9842987
26,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,970147.0,5547.0,830455,41.639,0.03446,2.557,19.98,15.997,19.998,1148745,1470465,5293166,9999242,17911618,1148745,1470465,9999242,5293166,0.98446
27,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,971751.0,5650.0,547001,41.646,0.03538,2.551,20.003,15.999,19.997,1146869,1478459,5295448,9998646,17919422,1146869,1478459,9998646,5295448,0.9843856
28,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,970180.0,5454.0,632863,41.652,0.03441,2.549,20.003,15.994,19.997,1146342,1475547,5297643,9998621,17918153,1146342,1475547,9998621,5297643,0.9846263
29,singapore,1000000,1000,2020-01-01,2020-12-31,hybrid,963220.0,5528.0,503862,41.632,0.03087,2.545,19.984,15.997,20.003,1144318,1467737,5303332,10001674,17917061,1144318,1467737,10001674,5303332,0.9844194
