,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,920158.0,3222.0,768647,31.855,0.02498,3.096,19.999,16.008,19.995,1465796,2789578,4298683,9997668,18551725,1465796,2789578,9997668,4298683,0.86069655
1,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,939480.0,3317.0,322217,31.88,0.02928,3.107,20.012,16.003,20.003,1471961,2783162,4305402,10001426,18561951,1471961,2783162,10001426,4305402,0.8610967
2,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,914965.0,3188.0,652498,31.867,0.02405,3.104,19.997,15.998,20.001,1469773,2781628,4301756,10000276,18553433,1469773,2781628,10000276,4301756,0.8607141
3,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,935435.0,3229.0,825950,31.885,0.02825,3.102,19.986,16.013,19.998,1469450,2780619,4309486,9999103,18558658,1469450,2780619,9999103,4309486,0.86112535
4,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,921283.0,3263.0,644332,31.878,0.02506,3.107,19.993,15.989,19.999,1471622,2782429,4298922,9999297,18552270,1471622,2782429,9999297,4298922,0.86077
5,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,936670.0,3329.0,940659,31.876,0.02859,3.104,19.985,16.005,19.995,1470113,2784966,4298825,9997731,18551635,1470113,2784966,9997731,4298825,0.86095184
6,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,934691.0,3085.0,510117,31.884,0.02804,3.111,20.003,16.013,20.005,1473808,2785651,4306467,10002566,18568492,1473808,2785651,10002566,4306467,0.8609547
7,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,925996.0,3227.0,692789,31.876,0.02616,3.094,20.006,16.003,19.995,1465035,2781959,4307505,9997721,18552220,1465035,2781959,9997721,4307505,0.86109275
8,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,940375.0,3227.0,294069,31.869,0.02959,3.105,19.987,16.0,20.013,1470767,2780258,4305307,10006579,18562911,1470767,2780258,10006579,4305307,0.8610138
9,suriname,1000000,1000,2020-01-01,2020-12-31,hybrid,920900.0,3228.0,53737,31.854,0.02515,3.107,20.008,15.995,20.005,1471934,2786461,4299725,10002334,18560454,1471934,2786461,10002334,4299725,0.8608894
