,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,956728.0,1547.0,638531,25.78,0.03394,5.024,20.006,16.003,20.002,2494920,3305464,3762859,10000934,19564177,2494920,3305464,10000934,3762859,0.77733266
1,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,952151.0,1507.0,120336,25.794,0.03191,5.029,20.004,16.008,19.996,2497202,3291130,3769776,9997852,19555960,2497202,3291130,9997852,3769776,0.7776822
2,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,966373.0,1447.0,716978,25.793,0.03859,5.037,19.997,16.001,19.991,2501305,3300784,3770416,9995533,19568038,2501305,3300784,9995533,3770416,0.7777542
3,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,953755.0,1479.0,388360,25.752,0.03269,5.018,20.002,15.992,20.0,2491600,3300556,3756478,9999847,19548481,2491600,3300556,9999847,3756478,0.7771043
4,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,965361.0,1521.0,390214,25.798,0.03799,5.033,20.005,15.997,19.993,2499330,3297374,3767677,9996420,19560801,2499330,3297374,9996420,3767677,0.77789587
5,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,957376.0,1381.0,266029,25.757,0.03417,5.021,20.0,16.002,20.006,2493401,3311370,3759416,10002836,19567023,2493401,3311370,10002836,3759416,0.77713627
6,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,959758.0,1484.0,211479,25.763,0.03521,5.034,20.002,16.004,20.002,2500118,3301019,3764261,10000819,19566217,2500118,3301019,10000819,3764261,0.77713275
7,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,962963.0,1531.0,519305,25.783,0.03683,5.021,20.003,16.002,20.009,2493092,3297708,3766877,10004376,19562053,2493092,3297708,10004376,3766877,0.77770066
8,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,959286.0,1487.0,821118,25.772,0.03498,5.025,20.0,16.007,20.001,2495429,3306148,3763652,10000653,19565882,2495429,3306148,10000653,3763652,0.7773265
9,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,959758.0,1544.0,220063,25.771,0.03532,5.031,19.991,16.004,19.992,2498692,3297555,3760107,9995957,19552311,2498692,3297555,9995957,3760107,0.7772736
