,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,941125.0,1197.0,152825,23.82,0.02653,5.686,20.003,15.999,19.998,2833082,3724966,3476187,9998949,20033184,2833082,3724966,9998949,3476187,0.7626535
1,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,943808.0,1207.0,655837,23.842,0.02709,5.698,19.998,16.003,19.997,2839151,3725347,3473529,9998433,20036460,2839151,3725347,9998433,3473529,0.7625234
2,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,941364.0,1224.0,253484,23.844,0.02646,5.69,19.995,15.995,20.004,2835110,3719794,3474654,10002152,20031710,2835110,3719794,10002152,3474654,0.7627716
3,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,944463.0,1232.0,238735,23.833,0.02738,5.692,19.989,16.011,20.007,2836121,3723325,3478339,10003528,20041313,2836121,3723325,10003528,3478339,0.76264614
4,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,923497.0,1254.0,339455,23.786,0.02308,5.691,20.006,16.005,19.999,2835671,3730970,3467618,9999271,20033530,2835671,3730970,9999271,3467618,0.76169586
5,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,924507.0,1180.0,280588,23.842,0.02305,5.681,20.007,16.001,19.991,2830548,3726578,3477131,9995580,20029837,2830548,3726578,9995580,3477131,0.7627405
6,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,953828.0,1211.0,319019,23.805,0.0302,5.686,20.007,15.998,20.001,2833100,3726007,3474618,10000585,20034310,2833100,3726007,10000585,3474618,0.7620976
7,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,945324.0,1190.0,766434,23.837,0.02753,5.686,19.992,15.999,19.999,2833385,3720983,3473755,9999682,20027805,2833385,3720983,9999682,3473755,0.76274055
8,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,942957.0,1253.0,232853,23.816,0.02686,5.69,19.997,15.997,19.999,2835198,3729520,3469822,9999645,20034185,2835198,3729520,9999645,3469822,0.7625051
9,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,935970.0,1179.0,762340,23.81,0.02527,5.685,20.013,16.002,20.002,2832440,3730437,3471002,10001141,20035020,2832440,3730437,10001141,3471002,0.76254123
10,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,948511.0,1281.0,967982,23.816,0.02856,5.687,20.016,15.999,20.003,2833915,3725458,3478068,10001267,20038708,2833915,3725458,10001267,3478068,0.7626301
11,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,941962.0,1211.0,152183,23.819,0.02687,5.696,19.99,15.995,20.002,2838035,3721538,3466730,10001155,20027458,2838035,3721538,10001155,3466730,0.7622204
12,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,942783.0,1241.0,148089,23.855,0.02693,5.698,19.992,15.996,19.998,2839198,3724752,3471016,9998833,20033799,2839198,3724752,9998833,3471016,0.76307094
13,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,922680.0,1221.0,103789,23.805,0.02284,5.689,19.995,15.997,20.002,2834844,3727846,3471074,10001020,20034784,2834844,3727846,10001020,3471074,0.76232433
14,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,921363.0,1260.0,227903,23.825,0.02268,5.687,20.003,15.987,19.998,2833626,3724870,3471172,9999025,20028693,2833626,3724870,9999025,3471172,0.7626357
15,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,950638.0,1245.0,571997,23.817,0.02913,5.683,20.007,16.005,19.999,2831327,3728787,3476689,9999567,20036370,2831327,3728787,9999567,3476689,0.762511
16,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,934381.0,1281.0,876597,23.82,0.02492,5.694,20.019,15.99,20.003,2836744,3722846,3474400,10001646,20035636,2836744,3722846,10001646,3474400,0.7626234
17,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,931716.0,1249.0,800959,23.802,0.02444,5.686,20.004,16.006,19.999,2833548,3731649,3467570,9999682,20032449,2833548,3731649,9999682,3467570,0.76215357
18,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,941875.0,1274.0,388719,23.857,0.02658,5.691,20.008,15.996,20.0,2835921,3719529,3480071,9999919,20035440,2835921,3719529,9999919,3480071,0.76306814
19,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,946254.0,1268.0,627498,23.844,0.02769,5.709,19.991,16.01,20.002,2844612,3725976,3473470,10000797,20044855,2844612,3725976,10000797,3473470,0.76264006
20,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,926881.0,1235.0,356981,23.825,0.02348,5.696,20.003,16.009,19.997,2838097,3725862,3476160,9998314,20038433,2838097,3725862,9998314,3476160,0.7626314
21,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,940413.0,1189.0,367944,23.829,0.02624,5.685,19.992,15.99,20.001,2832540,3728717,3470192,10000465,20031914,2832540,3728717,10000465,3470192,0.7623781
22,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,939993.0,1175.0,761027,23.836,0.0261,5.689,20.006,15.998,20.005,2834732,3730981,3472876,10002687,20041276,2834732,3730981,10002687,3472876,0.7626157
23,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,942651.0,1194.0,214765,23.835,0.02694,5.684,19.987,16.002,20.004,2832190,3720173,3477057,10002148,20031568,2832190,3720173,10002148,3477057,0.7628416
24,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,932692.0,1229.0,987362,23.84,0.02469,5.679,19.999,16.007,20.014,2830091,3714739,3481748,10006970,20033548,2830091,3714739,10006970,3481748,0.7627532
25,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,952178.0,1265.0,542236,23.843,0.02968,5.679,19.995,16.002,19.996,2829436,3729325,3475390,9997760,20031911,2829436,3729325,9997760,3475390,0.7628004
26,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,947479.0,1201.0,486796,23.823,0.02821,5.689,19.997,15.99,20.004,2834889,3725722,3472019,10001796,20034426,2834889,3725722,10001796,3472019,0.76255995
27,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,946160.0,1243.0,36134,23.844,0.02791,5.691,20.006,15.988,19.995,2835597,3725564,3468921,9997343,20027425,2835597,3725564,9997343,3468921,0.76291263
28,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,931791.0,1198.0,739193,23.825,0.02434,5.684,19.997,15.995,19.995,2832153,3730554,3470003,9997690,20030400,2832153,3730554,9997690,3470003,0.7625057
29,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,930528.0,1180.0,629770,23.802,0.02427,5.682,19.998,15.998,20.006,2831050,3731658,3468158,10002861,20033727,2831050,3731658,10002861,3468158,0.7621323
