,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,879834.0,1048.0,366660,22.768,0.0161,7.044,20.006,16.001,19.994,3518786,4029863,3186917,9996910,20732476,3518786,4029863,9996910,3186917,0.7422833
1,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,873091.0,1053.0,28866,22.755,0.0156,7.043,20.001,15.994,20.001,3518538,4023321,3180780,10000530,20723169,3518538,4023321,10000530,3180780,0.74232215
2,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,912513.0,1094.0,807142,22.762,0.01918,7.059,19.994,16.002,19.997,3526475,4025831,3184623,9998328,20735257,3526475,4025831,9998328,3184623,0.7423051
3,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,931911.0,1010.0,496703,22.758,0.02209,7.032,20.009,15.998,19.997,3512862,4028954,3181083,9998446,20721345,3512862,4028954,9998446,3181083,0.74222106
4,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,908025.0,1125.0,120549,22.776,0.01873,7.037,20.009,16.003,20.004,3515498,4025589,3185553,10001933,20728573,3515498,4025589,10001933,3185553,0.74237835
5,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,919895.0,1122.0,255359,22.781,0.02011,7.039,19.993,16.005,20.0,3516628,4033106,3186753,9999759,20736246,3516628,4033106,9999759,3186753,0.7426123
6,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,914162.0,1050.0,277391,22.764,0.01942,7.03,19.997,16.005,19.999,3511825,4025566,3187035,9999393,20723819,3511825,4025566,9999393,3187035,0.74249166
7,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,910767.0,1050.0,824401,22.763,0.01899,7.026,20.009,15.993,19.995,3509738,4029528,3184336,9997339,20720941,3509738,4029528,9997339,3184336,0.7424045
8,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,796712.0,996.0,547736,22.744,0.01208,7.035,20.005,15.998,20.001,3514242,4029223,3180508,10000284,20724257,3514242,4029223,10000284,3180508,0.742049
9,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,857502.0,996.0,127613,22.743,0.01474,7.045,19.996,16.005,20.003,3519390,4024046,3185410,10001325,20730171,3519390,4024046,10001325,3185410,0.7420879
10,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,856665.0,999.0,92820,22.767,0.0146,7.048,20.007,15.999,20.0,3520854,4028885,3184117,10000058,20733914,3520854,4028885,10000058,3184117,0.7421741
11,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,876860.0,1103.0,888687,22.775,0.01596,7.051,19.994,15.993,19.998,3522178,4019435,3184351,9998902,20724866,3522178,4019435,9998902,3184351,0.7424143
12,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,874886.0,1091.0,58598,22.786,0.01581,7.045,20.0,15.999,20.0,3519640,4020237,3185407,9999793,20725077,3519640,4020237,9999793,3185407,0.742569
13,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,896436.0,1068.0,675417,22.77,0.01743,7.065,20.0,15.997,20.003,3529202,4027552,3184552,10001721,20743027,3529202,4027552,10001721,3184552,0.7425998
14,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,840125.0,1016.0,102938,22.805,0.01373,7.03,19.992,16.006,19.999,3511685,4016838,3194973,9999609,20723105,3511685,4016838,9999609,3194973,0.7429947
15,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,834990.0,1015.0,440560,22.79,0.01356,7.037,19.997,15.997,20.008,3515308,4021496,3187088,10004096,20727988,3515308,4021496,10004096,3187088,0.74267507
16,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,801505.0,1033.0,744991,22.753,0.01217,7.035,19.994,15.993,19.997,3514287,4024432,3182452,9998638,20719809,3514287,4024432,9998638,3182452,0.7422386
17,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,876885.0,1030.0,744230,22.785,0.01594,7.042,19.995,16.008,19.993,3517722,4020217,3192523,9996595,20727057,3517722,4020217,9996595,3192523,0.74239033
18,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,880298.0,1004.0,914139,22.766,0.01607,7.042,20.011,16.004,20.006,3517822,4035296,3183331,10003132,20739581,3517822,4035296,10003132,3183331,0.7424891
19,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,808871.0,963.0,186215,22.774,0.01246,7.039,20.004,15.999,20.006,3516648,4021149,3186274,10003021,20727092,3516648,4021149,10003021,3186274,0.74224424
