,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,951978.0,3185.0,570931,33.662,0.02945,3.658,20.01,16.001,20.003,1776089,2299092,4746298,10001739,18823218,1776089,2299092,10001739,4746298,0.88341874
1,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,944476.0,3233.0,498903,33.633,0.02723,3.655,20.006,16.001,19.994,1774576,2304202,4745228,9997240,18821246,1774576,2304202,9997240,4745228,0.88308305
2,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,945777.0,3315.0,216171,33.632,0.02746,3.65,19.992,15.995,20.003,1772848,2295770,4751812,10001720,18822150,1772848,2295770,10001720,4751812,0.8831843
3,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,925056.0,3153.0,842602,33.651,0.02303,3.653,20.009,15.998,20.003,1773444,2299302,4744751,10001490,18818987,1773444,2299302,10001490,4744751,0.8834981
4,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,914799.0,3107.0,992438,33.661,0.02131,3.65,19.979,15.997,20.0,1773181,2295386,4751314,9999822,18819703,1773181,2295386,9999822,4751314,0.8836014
5,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,950902.0,3208.0,294926,33.653,0.02901,3.651,20.015,15.996,20.001,1773258,2296028,4756753,10000425,18826464,1773258,2296028,10000425,4756753,0.88366675
6,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,953837.0,3370.0,171849,33.629,0.03035,3.648,19.999,16.002,19.999,1771794,2300059,4748876,9999440,18820169,1771794,2300059,9999440,4748876,0.88316387
7,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,939476.0,3237.0,16500,33.673,0.02584,3.65,19.996,16.003,19.993,1772830,2289499,4754825,9996617,18813771,1772830,2289499,9996617,4754825,0.8834944
8,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,951634.0,3303.0,362475,33.618,0.02952,3.644,20.002,15.994,19.992,1768694,2301685,4744749,9996015,18811143,1768694,2301685,9996015,4744749,0.88310885
9,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,936989.0,3230.0,880598,33.652,0.02535,3.646,19.989,15.998,19.999,1770785,2298857,4748048,9999443,18817133,1770785,2298857,9999443,4748048,0.8833524
