,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,905540.0,960.0,719329,21.797,0.02819,3.906,20.002,15.99,20.007,1910273,3934401,3076964,10003578,18925216,1910273,3934401,10003578,3076964,0.72214854
1,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,864689.0,965.0,526206,21.775,0.02247,3.91,19.998,16.001,20.004,1912690,3937322,3074069,10001880,18925961,1912690,3937322,10001880,3074069,0.72200084
2,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,862300.0,891.0,638073,21.783,0.02217,3.922,20.005,16.002,19.992,1918008,3933584,3079291,9995782,18926665,1918008,3933584,9995782,3079291,0.7222809
3,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,907851.0,1004.0,513682,21.786,0.02863,3.912,20.005,16.013,19.995,1913355,3938309,3076996,9997399,18926059,1913355,3938309,9997399,3076996,0.72187495
4,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,896097.0,982.0,559559,21.771,0.02648,3.916,19.999,15.993,20.003,1915486,3926822,3074027,10001586,18917921,1915486,3926822,10001586,3074027,0.7218921
5,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,907858.0,1046.0,832033,21.777,0.02853,3.915,20.008,16.003,19.992,1914678,3948351,3069458,9996208,18928695,1914678,3948351,9996208,3069458,0.7219435
6,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,899112.0,997.0,553233,21.778,0.02703,3.913,19.997,16.012,19.996,1913870,3938158,3074049,9997753,18923830,1913870,3938158,9997753,3074049,0.72152317
7,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,878912.0,985.0,571057,21.779,0.02396,3.921,19.982,15.997,20.0,1918131,3937208,3072272,9999845,18927456,1918131,3937208,9999845,3072272,0.7219592
8,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,896158.0,979.0,763033,21.765,0.02651,3.911,20.014,15.999,20.005,1912910,3949642,3074268,10002535,18939355,1912910,3949642,10002535,3074268,0.72188467
9,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,913688.0,1020.0,541430,21.779,0.02981,3.91,20.008,15.992,19.997,1912623,3930952,3075595,9998539,18917709,1912623,3930952,9998539,3075595,0.7220133
10,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,871916.0,993.0,979998,21.744,0.02327,3.905,19.993,16.001,19.997,1909926,3944341,3069078,9998435,18921780,1909926,3944341,9998435,3069078,0.72133
11,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,900358.0,952.0,664657,21.771,0.02725,3.907,20.008,15.993,20.0,1910971,3935329,3074452,10000097,18920849,1910971,3935329,10000097,3074452,0.7220019
12,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,895074.0,988.0,735191,21.802,0.0263,3.913,19.988,16.004,20.0,1913992,3926835,3082605,9999817,18923249,1913992,3926835,9999817,3082605,0.7224353
13,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,909073.0,980.0,995586,21.751,0.02888,3.909,19.988,15.997,19.996,1911982,3935046,3068911,9997987,18913926,1911982,3935046,9997987,3068911,0.7213122
14,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,877925.0,1017.0,674557,21.77,0.02385,3.917,20.001,15.995,20.0,1916660,3939900,3073655,9999961,18930176,1916660,3939900,9999961,3073655,0.7219548
15,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,903295.0,992.0,532101,21.793,0.02754,3.916,19.997,16.003,20.009,1915277,3936650,3079278,10004654,18935859,1915277,3936650,10004654,3079278,0.722228
16,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,907103.0,991.0,152845,21.774,0.02841,3.917,19.993,16.01,19.996,1916218,3935894,3079943,9997888,18929943,1916218,3935894,9997888,3079943,0.7218857
17,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,910246.0,1018.0,49929,21.779,0.02906,3.914,19.998,15.998,20.002,1915107,3936106,3073453,10001239,18925905,1915107,3936106,10001239,3073453,0.72178423
18,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,912388.0,973.0,895189,21.771,0.02948,3.916,20.002,15.995,19.988,1915510,3939571,3070954,9994096,18920131,1915510,3939571,9994096,3070954,0.72186965
19,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,903288.0,949.0,543555,21.813,0.02761,3.919,20.008,15.991,20.003,1916892,3934621,3078887,10001329,18931729,1916892,3934621,10001329,3078887,0.72245413
20,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,885443.0,974.0,540135,21.763,0.02498,3.907,20.004,15.99,19.998,1911134,3937509,3071661,9999098,18919402,1911134,3937509,9999098,3071661,0.72164905
21,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,882055.0,972.0,492681,21.796,0.02445,3.917,19.989,15.993,20.002,1915901,3933602,3079098,10000770,18929371,1915901,3933602,10000770,3079098,0.722391
22,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,891501.0,995.0,268779,21.758,0.02574,3.924,20.002,16.0,19.999,1919383,3940684,3073469,9999601,18933137,1919383,3940684,9999601,3073469,0.7218876
23,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,892981.0,942.0,581244,21.799,0.02594,3.914,19.993,15.984,20.0,1914627,3928967,3080433,9999814,18923841,1914627,3928967,9999814,3080433,0.7223611
24,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,883759.0,995.0,848579,21.766,0.02472,3.91,20.015,16.006,19.999,1912768,3941765,3077106,9999657,18931296,1912768,3941765,9999657,3077106,0.72170883
25,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,901817.0,1038.0,973718,21.765,0.02743,3.916,20.009,16.008,20.0,1915329,3945399,3075652,10000248,18936628,1915329,3945399,10000248,3075652,0.72170705
26,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,893923.0,975.0,531622,21.767,0.0261,3.913,19.993,15.996,19.998,1913883,3940010,3072121,9999178,18925192,1913883,3940010,9999178,3072121,0.72172934
27,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,918989.0,1038.0,411438,21.766,0.03101,3.918,19.987,15.993,20.005,1915944,3928314,3076221,10002682,18923161,1915944,3928314,10002682,3076221,0.72191983
28,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,892453.0,1054.0,380030,21.77,0.02599,3.916,19.991,16.0,19.997,1915220,3930698,3078135,9998350,18922403,1915220,3930698,9998350,3078135,0.72189087
29,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,901763.0,962.0,920012,21.762,0.02742,3.923,19.998,16.009,19.999,1918956,3932132,3077849,9999620,18928557,1918956,3932132,9999620,3077849,0.7218468
