,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,836925.0,1763.0,148551,28.237,0.01632,3.709,20.005,16.005,20.0,1804849,3071745,4117070,9999972,18993636,1804849,3071745,9999972,4117070,0.82385445
1,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,816703.0,1682.0,344620,28.22,0.01523,3.711,20.003,16.001,20.003,1805635,3072645,4124457,10001690,19004427,1805635,3072645,10001690,4124457,0.82378757
2,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,821019.0,1696.0,243737,28.241,0.01544,3.71,19.997,16.003,19.999,1805082,3076456,4115672,9999478,18996688,1805082,3076456,9999478,4115672,0.8241469
3,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,869674.0,1753.0,529452,28.207,0.01859,3.706,20.009,16.002,19.997,1803188,3078806,4119630,9998365,18999989,1803188,3078806,9998365,4119630,0.82334006
4,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,586589.0,1241.0,995409,28.214,0.00943,3.705,20.008,16.008,20.005,1802665,3078130,4115903,10002621,18999319,1802665,3078130,10002621,4115903,0.8234431
5,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,801506.0,1715.0,138114,28.234,0.01451,3.704,20.006,15.998,20.004,1802076,3064584,4120825,10002225,18989710,1802076,3064584,10002225,4120825,0.8238222
6,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,831315.0,1715.0,153018,28.225,0.01595,3.713,20.005,15.996,20.006,1807291,3080837,4116381,10003130,19007639,1807291,3080837,10003130,4116381,0.8240144
7,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,831885.0,1749.0,58288,28.232,0.01601,3.717,20.015,15.998,19.996,1808971,3075156,4118037,9997974,19000138,1808971,3075156,9997974,4118037,0.82363325
8,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,878186.0,1778.0,261883,28.222,0.01941,3.707,19.997,16.001,19.998,1804028,3072559,4120266,9998987,18995840,1804028,3072559,9998987,4120266,0.8236242
9,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,852524.0,1793.0,538537,28.261,0.01726,3.71,20.007,15.994,20.002,1805015,3073350,4121277,10001119,19000761,1805015,3073350,10001119,4121277,0.824131
10,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,770076.0,1615.0,122186,28.214,0.01332,3.715,20.0,16.0,19.999,1807221,3065488,4120278,9999412,18992399,1807221,3065488,9999412,4120278,0.8235656
11,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,800528.0,1613.0,603385,28.202,0.01451,3.715,20.009,15.987,20.004,1807618,3071729,4118373,10001814,18999534,1807618,3071729,10001814,4118373,0.82334745
12,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,860025.0,1788.0,284836,28.239,0.01788,3.715,19.989,15.993,20.005,1807533,3072140,4116862,10002523,18999058,1807533,3072140,10002523,4116862,0.8236558
