,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,934805.0,8329.0,601401,41.826,0.02892,1.894,19.991,15.998,20.0,724923,1742944,4603443,9999878,17071188,724923,1742944,9999878,4603443,0.98447084
1,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,952630.0,8403.0,864801,41.8,0.03439,1.89,19.989,15.998,20.006,722202,1738775,4610067,10003041,17074085,722202,1738775,10003041,4610067,0.9842378
2,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,950870.0,8414.0,64566,41.812,0.03348,1.896,19.991,16.002,19.998,725087,1740583,4612123,9998767,17076560,725087,1740583,9998767,4612123,0.9844261
3,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,937458.0,8201.0,413520,41.816,0.0297,1.892,19.994,15.999,19.999,723723,1741873,4606074,9999553,17071223,723723,1741873,9999553,4606074,0.9844004
4,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,936818.0,8231.0,993849,41.729,0.02955,1.893,19.997,16.01,20.002,724068,1745632,4610610,10001050,17081360,724068,1745632,10001050,4610610,0.9833848
5,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,945750.0,8476.0,416848,41.758,0.0318,1.892,20.035,15.998,19.996,723324,1746335,4608122,9997917,17075698,723324,1746335,9997917,4608122,0.98392487
6,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,925599.0,8260.0,459272,41.796,0.02681,1.896,20.009,15.993,20.003,725550,1740688,4607459,10001532,17075229,725550,1740688,10001532,4607459,0.9844228
7,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,952346.0,8619.0,80472,41.809,0.03436,1.89,19.998,16.008,20.001,723133,1742980,4610361,10000530,17077004,723133,1742980,10000530,4610361,0.984456
8,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,949966.0,8476.0,86972,41.835,0.03319,1.894,20.01,15.994,20.0,725078,1740088,4608733,10000042,17073941,725078,1740088,10000042,4608733,0.9847303
9,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,952080.0,8391.0,128423,41.818,0.0342,1.891,19.992,16.004,19.996,723817,1743565,4606396,9997982,17071760,723817,1743565,9997982,4606396,0.9845022
10,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,936490.0,8277.0,885539,41.8,0.02925,1.899,19.991,16.002,20.002,726346,1746108,4604703,10001142,17078299,726346,1746108,10001142,4604703,0.98419285
11,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,939212.0,8359.0,948136,41.771,0.03005,1.894,20.013,16.004,19.995,724333,1743117,4607434,9997522,17072406,724333,1743117,9997522,4607434,0.98409986
12,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,953787.0,8447.0,99069,41.808,0.03481,1.894,20.013,15.998,20.003,724868,1742455,4613962,10001609,17082894,724868,1742455,10001609,4613962,0.9842317
13,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,953517.0,8468.0,350042,41.803,0.03477,1.894,19.988,16.01,19.997,725203,1746680,4604577,9998532,17074992,725203,1746680,9998532,4604577,0.9839924
