,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,785201.0,1048.0,577170,22.334,0.01601,3.989,20.008,15.995,19.996,1954520,4151890,3003168,9998048,19107626,1954520,4151890,9998048,3003168,0.73151
1,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,835993.0,1059.0,448099,22.28,0.01889,3.987,19.993,16.011,20.002,1952702,4156354,3006634,10001006,19116696,1952702,4156354,10001006,3006634,0.731342
2,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,650144.0,857.0,753649,22.319,0.01173,3.989,19.987,15.997,19.996,1954415,4154237,3006524,9997911,19113087,1954415,4154237,9997911,3006524,0.7317862
3,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,843816.0,1039.0,170260,22.312,0.01945,3.983,20.015,15.988,20.008,1950888,4160159,3002195,10003866,19117108,1950888,4160159,10003866,3002195,0.73159975
4,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,813679.0,1017.0,429037,22.337,0.0174,3.997,20.01,15.994,20.004,1958341,4153336,3008994,10002143,19122814,1958341,4153336,10002143,3008994,0.7320393
5,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,781733.0,1060.0,122736,22.344,0.01568,3.987,20.007,16.006,20.01,1953459,4149379,3008072,10005023,19115933,1953459,4149379,10005023,3008072,0.73209244
6,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,583150.0,806.0,803837,22.348,0.01046,3.988,19.992,15.992,19.998,1953945,4150483,3009234,9998817,19112479,1953945,4150483,9998817,3009234,0.73227984
7,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,851332.0,1073.0,441134,22.323,0.02008,3.981,19.99,15.999,20.003,1950582,4151534,3008554,10001463,19112133,1950582,4151534,10001463,3008554,0.7316955
8,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,617683.0,793.0,938872,22.314,0.01117,3.986,20.005,16.0,19.993,1952309,4162907,2997172,9996342,19108730,1952309,4162907,9996342,2997172,0.7316388
9,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,764970.0,969.0,304362,22.32,0.01505,3.986,20.002,15.986,20.0,1952736,4150227,3003644,10000218,19106825,1952736,4150227,10000218,3003644,0.73161227
10,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,760071.0,1001.0,314853,22.308,0.01489,3.982,20.009,16.002,20.0,1951157,4157900,3005805,10000083,19114945,1951157,4157900,10000083,3005805,0.73142993
