,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,950488.0,5696.0,626812,37.274,0.02999,2.789,20.001,16.003,19.991,1287998,2119423,4675437,9995325,18078183,1287998,2119423,9995325,4675437,0.93333
1,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,951880.0,5726.0,875341,37.218,0.03062,2.788,19.999,15.993,19.998,1288041,2121926,4675292,9998943,18084202,1288041,2121926,9998943,4675292,0.93277043
2,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,955969.0,5916.0,509882,37.219,0.03168,2.791,20.01,15.989,19.999,1289294,2130578,4665579,9999677,18085128,1289294,2130578,9999677,4665579,0.93256193
3,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,956670.0,5859.0,392491,37.247,0.0321,2.79,19.992,15.986,20.002,1288865,2123717,4675331,10000941,18088854,1288865,2123717,10000941,4675331,0.9330138
4,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,962573.0,5784.0,220824,37.245,0.03476,2.785,20.003,15.995,19.998,1286630,2128813,4670154,9999037,18084634,1286630,2128813,9999037,4670154,0.93297523
5,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,952041.0,5681.0,325955,37.285,0.0304,2.787,20.0,16.003,20.003,1287761,2128195,4679705,10001269,18096930,1287761,2128195,10001269,4679705,0.933676
6,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,959149.0,5714.0,917994,37.24,0.03344,2.792,19.992,15.991,19.989,1289019,2128682,4667684,9994300,18079685,1289019,2128682,9994300,4667684,0.9330356
7,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,960353.0,5873.0,999092,37.265,0.03373,2.794,20.003,16.003,20.002,1290650,2130012,4667825,10001020,18089507,1290650,2130012,10001020,4667825,0.9331791
8,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,951980.0,5873.0,878510,37.292,0.03034,2.791,19.996,15.999,19.998,1288865,2123735,4674440,9998895,18085935,1288865,2123735,9998895,4674440,0.9336336
9,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,957383.0,5828.0,303216,37.283,0.03236,2.784,19.996,16.007,19.998,1286478,2127354,4671366,9998998,18084196,1286478,2127354,9998998,4671366,0.9336027
10,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,957175.0,5719.0,501302,37.239,0.03232,2.789,19.998,15.995,20.008,1288378,2134710,4667423,10004082,18094593,1288378,2134710,10004082,4667423,0.93296087
11,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,963914.0,5805.0,631084,37.275,0.03531,2.792,20.013,16.0,20.0,1290454,2129356,4672131,9999905,18091846,1290454,2129356,9999905,4672131,0.9335308
12,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,957094.0,5753.0,824588,37.248,0.03239,2.787,19.996,15.989,20.002,1286660,2124787,4673319,10001102,18085868,1286660,2124787,10001102,4673319,0.933022
13,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,947804.0,5631.0,566923,37.243,0.02898,2.784,20.0,16.005,19.996,1285821,2134209,4672745,9998142,18090917,1285821,2134209,9998142,4672745,0.9330982
14,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,959108.0,5823.0,612381,37.29,0.03326,2.787,19.975,15.994,19.998,1286921,2125403,4671784,9999116,18083224,1286921,2125403,9999116,4671784,0.9337497
15,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,957210.0,5788.0,47243,37.258,0.03226,2.788,19.99,15.995,20.002,1288368,2129755,4666798,10001019,18085940,1288368,2129755,10001019,4666798,0.93313056
16,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,962135.0,5672.0,984611,37.203,0.03461,2.789,19.999,16.01,20.006,1289293,2136033,4673498,10002824,18101648,1289293,2136033,10002824,4673498,0.9324005
17,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,961481.0,5786.0,346095,37.245,0.03416,2.784,19.996,15.999,20.0,1286602,2133087,4671745,10000184,18091618,1286602,2133087,10000184,4671745,0.9331979
18,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,961741.0,5883.0,442642,37.279,0.03427,2.788,19.991,15.999,20.006,1288138,2118219,4680264,10003019,18089640,1288138,2118219,10003019,4680264,0.93360806
19,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,959469.0,5790.0,458807,37.295,0.03339,2.796,20.0,15.994,20.002,1292161,2118040,4674640,10000933,18085774,1292161,2118040,10000933,4674640,0.9334871
20,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,962317.0,5630.0,778173,37.219,0.03476,2.789,20.002,16.003,20.001,1288610,2130217,4674855,10000508,18094190,1288610,2130217,10000508,4674855,0.932805
21,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,957516.0,5754.0,520748,37.278,0.03237,2.788,19.993,16.002,19.998,1288698,2123331,4673325,9998842,18084196,1288698,2123331,9998842,4673325,0.93331945
22,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,959030.0,5806.0,34753,37.272,0.03327,2.787,20.004,16.006,20.002,1287013,2127270,4673129,10001073,18088485,1287013,2127270,10001073,4673129,0.9334328
23,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,963513.0,5829.0,117939,37.248,0.03521,2.789,19.997,15.997,20.005,1288672,2126549,4674799,10002507,18092527,1288672,2126549,10002507,4674799,0.9332176
