,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,955670.0,4838.0,2792,35.615,0.03353,2.688,19.989,15.995,19.994,1229658,2283227,4628643,9997095,18138623,1229658,2283227,9997095,4628643,0.91417056
1,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,955958.0,4675.0,30262,35.579,0.03376,2.689,19.987,16.006,19.996,1230168,2283483,4633482,9997779,18144912,1230168,2283483,9997779,4633482,0.9138143
2,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,956249.0,4846.0,920499,35.549,0.03354,2.691,20.006,15.997,20.0,1230474,2288514,4636579,9999826,18155393,1230474,2288514,9999826,4636579,0.9132673
3,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,949427.0,4726.0,173017,35.546,0.0311,2.685,19.998,16.005,20.0,1227610,2287490,4635985,9999859,18150944,1227610,2287490,9999859,4635985,0.9132802
4,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,954577.0,4798.0,777100,35.579,0.03275,2.69,20.0,16.009,19.999,1229790,2292648,4636203,9999673,18158314,1229790,2292648,9999673,4636203,0.9138864
5,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,946553.0,4739.0,58062,35.552,0.0301,2.69,19.983,15.995,20.004,1230053,2294009,4626750,10002182,18152994,1230053,2294009,10002182,4626750,0.9134047
6,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,944271.0,4879.0,511453,35.583,0.0294,2.689,20.012,15.996,20.001,1229561,2290319,4630967,10000360,18151207,1229561,2290319,10000360,4630967,0.9137558
7,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,947272.0,4777.0,582279,35.601,0.03022,2.693,20.014,16.01,19.995,1231209,2280625,4641564,9997405,18150803,1231209,2280625,9997405,4641564,0.914393
8,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,954536.0,4830.0,60260,35.584,0.03295,2.687,19.994,16.005,19.999,1228448,2284725,4637353,9999611,18150137,1228448,2284725,9999611,4637353,0.913744
9,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,947673.0,4798.0,862592,35.571,0.03043,2.691,19.992,15.998,19.996,1230658,2287632,4635522,9997777,18151589,1230658,2287632,9997777,4635522,0.9138171
10,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,956043.0,4786.0,266975,35.614,0.03358,2.691,19.992,16.002,19.999,1230392,2278964,4641436,9999555,18150347,1230392,2278964,9999555,4641436,0.9142754
11,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,955296.0,4863.0,922294,35.579,0.03323,2.686,20.006,16.0,20.004,1228555,2292228,4631116,10002036,18153935,1228555,2292228,10002036,4631116,0.9137246
12,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,954529.0,4722.0,880538,35.588,0.03301,2.695,19.997,15.999,20.004,1232268,2278958,4635639,10002198,18149063,1232268,2278958,10002198,4635639,0.9140316
13,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,959197.0,4741.0,825527,35.543,0.03486,2.695,19.985,16.008,19.998,1232609,2284903,4637807,9998940,18154259,1232609,2284903,9998940,4637807,0.9135524
14,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,957578.0,4768.0,39489,35.579,0.03449,2.687,20.006,15.995,20.002,1227990,2284893,4627874,10000819,18141576,1227990,2284893,10000819,4627874,0.91362613
15,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,960095.0,4874.0,923378,35.549,0.03549,2.693,20.004,15.999,20.005,1231249,2292267,4625966,10002707,18152189,1231249,2292267,10002707,4625966,0.91352105
16,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,947805.0,4781.0,797522,35.579,0.03039,2.69,20.004,16.004,20.009,1230092,2291454,4638241,10004291,18164078,1230092,2291454,10004291,4638241,0.9138301
