,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,767788.0,5037.0,227533,39.054,0.01396,2.117,19.983,15.996,19.995,874967,1920036,4747598,9997467,17540068,874967,1920036,9997467,4747598,0.9593522
1,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,879323.0,5979.0,655914,39.007,0.01984,2.115,19.996,15.993,20.007,873607,1932135,4740254,10003383,17549379,873607,1932135,10003383,4740254,0.9588282
2,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,780999.0,5114.0,651107,39.01,0.01438,2.118,20.001,16.009,19.999,873839,1927308,4751334,9999529,17552010,873839,1927308,9999529,4751334,0.9590087
3,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,785417.0,5221.0,426809,39.028,0.01456,2.118,20.005,15.999,19.997,874730,1929069,4748694,9998603,17551096,874730,1929069,9998603,4748694,0.9592613
4,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,850090.0,5686.0,480181,38.982,0.01762,2.114,19.999,16.006,19.999,872441,1934609,4744590,9999358,17550998,872441,1934609,9999358,4744590,0.95861095
5,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,651728.0,4114.0,537671,38.978,0.01118,2.113,20.003,15.992,20.001,872838,1929145,4748678,10000717,17551378,872838,1929145,10000717,4748678,0.958328
6,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,893501.0,6097.0,344197,39.03,0.02124,2.12,20.019,16.005,19.997,875512,1935265,4739604,9998400,17548781,875512,1935265,9998400,4739604,0.9590308
7,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,798317.0,5323.0,73790,38.988,0.01512,2.115,19.994,15.998,20.001,873377,1933281,4743500,10000590,17550748,873377,1933281,10000590,4743500,0.95854205
8,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,751598.0,5007.0,391863,39.031,0.01343,2.12,20.007,16.003,20.003,875782,1930249,4743250,10001600,17550881,875782,1930249,10001600,4743250,0.95899343
9,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,774367.0,5122.0,671936,38.997,0.0142,2.12,19.991,15.999,19.995,875670,1926650,4744225,9997409,17543954,875670,1926650,9997409,4744225,0.9589252
