,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,931517.0,1459.0,881298,23.773,0.03196,3.715,20.004,15.99,20.005,1807970,3820354,3305044,10002738,18936106,1807970,3820354,10002738,3305044,0.7569946
1,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,933273.0,1502.0,909594,23.765,0.03257,3.709,19.999,16.009,19.993,1804272,3825029,3306545,9996654,18932500,1804272,3825029,9996654,3306545,0.75670636
2,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,936732.0,1540.0,275267,23.778,0.03352,3.717,19.999,16.007,19.999,1808270,3823041,3309522,9999300,18940133,1808270,3823041,9999300,3309522,0.756983
3,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,940149.0,1497.0,527326,23.774,0.03466,3.712,19.995,15.99,19.996,1805997,3815025,3305244,9998195,18924461,1805997,3815025,9998195,3305244,0.7567489
4,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,929090.0,1491.0,567756,23.783,0.0309,3.719,19.997,15.996,19.994,1809748,3821198,3305676,9997100,18933722,1809748,3821198,9997100,3305676,0.7567688
5,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,933313.0,1555.0,270579,23.791,0.0326,3.708,19.999,15.995,20.002,1804037,3812715,3306313,10001219,18924284,1804037,3812715,10001219,3306313,0.7570066
6,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,928548.0,1482.0,236555,23.751,0.03125,3.71,19.996,15.998,20.002,1805485,3823968,3305215,10001043,18935711,1805485,3823968,10001043,3305215,0.7564859
7,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,917861.0,1449.0,635198,23.786,0.02847,3.717,19.996,16.0,20.004,1808462,3812979,3309381,10002110,18932932,1808462,3812979,10002110,3309381,0.75671977
8,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,936489.0,1522.0,350151,23.794,0.03347,3.71,19.988,16.001,19.998,1805180,3820742,3304216,9999213,18929351,1805180,3820742,9999213,3304216,0.7571153
9,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,931731.0,1422.0,882892,23.779,0.03209,3.713,20.01,16.004,19.995,1806433,3820565,3308798,9997565,18933361,1806433,3820565,9997565,3308798,0.7568803
