,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,822015.0,2046.0,951138,29.044,0.01815,2.683,19.988,15.996,20.001,1226147,3120512,3956814,10000460,18303933,1226147,3120512,10000460,3956814,0.81851137
1,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,803985.0,1952.0,666090,29.091,0.01701,2.684,19.996,15.989,20.004,1226841,3119455,3966722,10002029,18315047,1226841,3119455,10002029,3966722,0.8191514
2,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,812170.0,1877.0,127443,29.026,0.01753,2.682,19.999,16.01,19.999,1225666,3127337,3959757,9999311,18312071,1225666,3127337,9999311,3959757,0.81828654
3,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,745032.0,1739.0,465469,29.049,0.01455,2.684,19.999,15.999,20.001,1226493,3119408,3961486,10000389,18307776,1226493,3119408,10000389,3961486,0.8184986
4,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,776846.0,1896.0,207035,29.033,0.01582,2.677,19.996,16.0,19.996,1223032,3124660,3959170,9998166,18305028,1223032,3124660,9998166,3959170,0.81832606
5,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,793768.0,1876.0,625484,29.059,0.01654,2.687,19.991,15.991,19.995,1228956,3119375,3961179,9997503,18307013,1228956,3119375,9997503,3961179,0.8188262
6,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,478094.0,1130.0,670010,29.055,0.00926,2.688,19.999,16.004,20.001,1228467,3128122,3963585,10000256,18320430,1228467,3128122,10000256,3963585,0.8190064
7,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,778184.0,1893.0,130827,29.051,0.01582,2.68,19.997,16.013,19.996,1224775,3124897,3960508,9998177,18308357,1224775,3124897,9998177,3960508,0.8186814
8,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,808051.0,1986.0,459411,29.066,0.01729,2.685,19.995,15.995,19.996,1226986,3124176,3957838,9997943,18306943,1226986,3124176,9997943,3957838,0.81862533
9,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,808618.0,1970.0,459950,29.049,0.01736,2.683,19.988,16.005,20.003,1226195,3120793,3962896,10001553,18311437,1226195,3120793,10001553,3962896,0.81857836
10,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,868484.0,2176.0,325412,29.054,0.02192,2.686,19.997,16.004,20.002,1227266,3120550,3959544,10001046,18308406,1227266,3120550,10001046,3959544,0.8185823
11,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,757731.0,1863.0,46328,29.056,0.01501,2.686,20.006,16.001,19.999,1227595,3128205,3957276,9999321,18312397,1227595,3128205,9999321,3957276,0.8186083
12,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,865887.0,2102.0,306427,29.036,0.02171,2.683,20.005,16.004,19.999,1225871,3121746,3961966,9999730,18309313,1225871,3121746,9999730,3961966,0.81812215
13,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,825592.0,1977.0,656670,29.061,0.0184,2.686,20.004,15.993,19.996,1228019,3122516,3961464,9998120,18310119,1228019,3122516,9998120,3961464,0.81879205
14,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,795322.0,1869.0,424647,29.04,0.01668,2.684,19.999,15.996,20.004,1226895,3122314,3960911,10002098,18312218,1226895,3122314,10002098,3960911,0.81872404
15,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,872516.0,2070.0,210298,29.091,0.02221,2.689,20.005,16.0,20.012,1229686,3115970,3964837,10005874,18316367,1229686,3115970,10005874,3964837,0.8191006
16,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,556389.0,1360.0,900624,29.06,0.01028,2.684,20.004,16.002,19.997,1227137,3120357,3963835,9998710,18310039,1227137,3120357,9998710,3963835,0.818805
17,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,791691.0,1936.0,162566,29.071,0.01644,2.691,20.001,15.994,20.005,1230055,3120028,3959286,10002442,18311811,1230055,3120028,10002442,3959286,0.81873834
18,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,690996.0,1612.0,132453,29.065,0.01297,2.682,20.02,15.995,19.991,1225568,3126084,3955730,9995552,18302934,1225568,3126084,9995552,3955730,0.81864303
19,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,823794.0,1985.0,966805,29.076,0.0182,2.683,19.998,16.004,19.995,1226163,3121652,3963740,9997333,18308888,1226163,3121652,9997333,3963740,0.818964
20,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,841824.0,1972.0,20854,29.056,0.0195,2.686,20.015,16.001,19.997,1228497,3120790,3965689,9998432,18313408,1228497,3120790,9998432,3965689,0.8187892
21,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,825103.0,1979.0,793262,29.044,0.01841,2.69,20.004,16.006,19.995,1230013,3130223,3957723,9997428,18315387,1230013,3130223,9997428,3957723,0.8184482
22,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,840802.0,1994.0,80188,29.051,0.01949,2.684,20.001,16.003,19.996,1227194,3120950,3957921,9998174,18304239,1227194,3120950,9998174,3957921,0.81867594
23,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,827499.0,2044.0,476314,29.085,0.01858,2.681,19.995,16.001,19.983,1224578,3117388,3964424,9991313,18297703,1224578,3117388,9991313,3964424,0.81924295
24,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,797899.0,1905.0,899798,29.033,0.01676,2.687,19.995,16.001,20.0,1227607,3127866,3958043,10000222,18313738,1227607,3127866,10000222,3958043,0.81826013
25,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,729559.0,1684.0,199467,29.099,0.01406,2.682,20.005,15.996,20.001,1225812,3116024,3969970,10000251,18312057,1225812,3116024,10000251,3969970,0.8192872
26,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,693235.0,1728.0,727539,29.044,0.01299,2.684,20.002,16.007,20.002,1226706,3124885,3959655,10000797,18312043,1226706,3124885,10000797,3959655,0.8186664
27,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,744673.0,1741.0,559646,29.06,0.01455,2.683,19.994,16.005,19.999,1226554,3123416,3964396,9999293,18313659,1226554,3123416,9999293,3964396,0.8186889
28,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,556982.0,1367.0,983498,29.039,0.0103,2.689,20.001,15.999,20.0,1228441,3121454,3960673,9999960,18310528,1228441,3121454,9999960,3960673,0.81834155
29,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,803811.0,1943.0,765166,29.089,0.01703,2.685,19.989,15.995,19.997,1227199,3119697,3962844,9998482,18308222,1227199,3119697,9998482,3962844,0.8191186
