,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,862524.0,976.0,176189,22.194,0.01539,7.229,20.0,16.005,20.001,3611693,3923438,3130824,10000600,20666555,3611693,3923438,10000600,3130824,0.72831756
1,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,912537.0,1019.0,851121,22.163,0.01989,7.244,20.004,16.0,19.992,3619643,3920424,3127717,9996109,20663893,3619643,3920424,9996109,3127717,0.7282132
2,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,852181.0,1035.0,569730,22.184,0.01483,7.236,20.009,15.997,19.995,3615322,3929490,3121315,9997323,20663450,3615322,3929490,9997323,3121315,0.72848904
3,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,915920.0,975.0,406265,22.199,0.02024,7.232,20.002,16.006,19.994,3613275,3919578,3131602,9997066,20661521,3613275,3919578,9997066,3131602,0.72841835
4,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,876231.0,1020.0,594210,22.22,0.01638,7.228,20.011,16.004,20.002,3611470,3919745,3136352,10001026,20668593,3611470,3919745,10001026,3136352,0.7289547
5,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,926682.0,1056.0,132121,22.193,0.02172,7.249,19.987,15.995,20.004,3621630,3917770,3128498,10002247,20670145,3621630,3917770,10002247,3128498,0.7285298
6,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,882969.0,997.0,423369,22.181,0.0169,7.227,20.002,15.993,20.007,3611063,3916914,3137709,10003482,20669168,3611063,3916914,10003482,3137709,0.7287175
7,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,850826.0,1034.0,706318,22.173,0.01473,7.229,19.996,15.996,20.005,3611793,3920492,3127601,10002290,20662176,3611793,3920492,10002290,3127601,0.7283451
8,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,847034.0,961.0,249806,22.213,0.0145,7.235,19.994,16.002,20.005,3614925,3916141,3137404,10002400,20670870,3614925,3916141,10002400,3137404,0.72903514
9,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,857968.0,1024.0,31552,22.194,0.01515,7.234,20.004,16.0,19.996,3614387,3931769,3129663,9998045,20673864,3614387,3931769,9998045,3129663,0.72858584
10,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,841644.0,1019.0,244486,22.201,0.0143,7.228,19.986,15.989,19.993,3611746,3918988,3129339,9996534,20656607,3611746,3918988,9996534,3129339,0.728689
11,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,815811.0,998.0,504131,22.205,0.01308,7.233,20.013,16.002,19.993,3613976,3916701,3134852,9996543,20662072,3613976,3916701,9996543,3134852,0.7287669
12,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,824457.0,966.0,385531,22.177,0.0134,7.232,20.008,15.996,19.997,3613238,3920560,3129893,9998556,20662247,3613238,3920560,9998556,3129893,0.7285495
13,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,881039.0,997.0,158999,22.157,0.0168,7.233,20.013,16.003,20.007,3613598,3925528,3130588,10003334,20673048,3613598,3925528,10003334,3130588,0.7280418
14,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,862075.0,993.0,423731,22.187,0.01541,7.227,20.016,15.999,20.006,3610852,3922777,3131256,10002869,20667754,3610852,3922777,10002869,3131256,0.7283631
15,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,846563.0,968.0,141660,22.238,0.01441,7.25,20.002,15.996,19.999,3622201,3925747,3134065,9999575,20681588,3622201,3925747,9999575,3134065,0.7292199
16,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,814154.0,966.0,957303,22.21,0.01296,7.238,20.009,16.005,20.001,3616242,3914629,3137550,10000741,20669162,3616242,3914629,10000741,3137550,0.7289892
17,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,873629.0,943.0,701205,22.194,0.01613,7.242,20.014,16.01,19.995,3618246,3920731,3137482,9997560,20674019,3618246,3920731,9997560,3137482,0.7287313
