,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,952798.0,7378.0,895472,40.395,0.03414,1.871,20.011,16.003,19.998,708184,1744217,4899436,9999221,17351058,708184,1744217,9999221,4899436,0.9671112
1,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,947123.0,7202.0,406639,40.359,0.03203,1.868,20.005,16.007,20.005,706390,1752088,4892837,10002287,17353602,706390,1752088,10002287,4892837,0.96653426
2,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,954763.0,7562.0,725117,40.374,0.03495,1.865,19.981,16.006,19.993,705132,1746559,4901471,9996632,17349794,705132,1746559,9996632,4901471,0.9668771
3,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,950732.0,7299.0,535779,40.344,0.03331,1.865,20.023,15.99,20.006,705636,1749785,4896642,10003130,17355193,705636,1749785,10003130,4896642,0.96623266
4,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,952927.0,7353.0,584622,40.372,0.03412,1.873,20.02,15.996,19.999,708257,1743872,4902466,9999422,17354017,708257,1743872,9999422,4902466,0.96668404
5,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,942544.0,7126.0,921732,40.37,0.03071,1.868,19.978,15.999,20.0,706271,1745868,4894740,10000108,17346987,706271,1745868,10000108,4894740,0.9668142
6,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,948275.0,7229.0,284221,40.365,0.03259,1.872,19.998,15.996,19.996,708085,1751994,4893245,9998249,17351573,708085,1751994,9998249,4893245,0.9666735
7,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,942889.0,7212.0,296595,40.371,0.03079,1.867,19.988,16.001,19.988,706335,1745450,4901391,9993762,17346938,706335,1745450,9993762,4901391,0.9668724
8,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,947000.0,7210.0,937772,40.334,0.03212,1.867,19.983,15.997,19.998,706148,1748615,4900108,9998874,17353745,706148,1748615,9998874,4900108,0.9662145
9,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,952622.0,7334.0,821636,40.355,0.03427,1.868,19.994,15.998,19.995,706116,1748567,4894209,9997441,17346333,706116,1748567,9997441,4894209,0.96642715
10,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,942099.0,7154.0,872363,40.346,0.03042,1.868,20.011,15.998,19.991,706229,1746833,4900692,9995599,17349353,706229,1746833,9995599,4900692,0.9664604
11,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,939723.0,7268.0,488451,40.355,0.02994,1.865,20.009,16.008,19.999,705063,1752071,4896375,9999636,17353145,705063,1752071,9999636,4896375,0.9664865
12,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,952123.0,7416.0,7058,40.399,0.03386,1.866,19.996,16.002,20.0,706455,1747181,4896690,9999912,17350238,706455,1747181,9999912,4896690,0.96702904
13,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,930588.0,7259.0,304595,40.361,0.02779,1.866,19.995,16.003,19.996,705215,1743911,4895297,9998193,17342616,705215,1743911,9998193,4895297,0.9666231
14,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,947994.0,7304.0,567062,40.353,0.0324,1.864,20.005,15.99,20.002,705784,1754078,4890989,10000988,17351839,705784,1754078,10000988,4890989,0.9667205
15,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,951365.0,7242.0,158586,40.358,0.03357,1.867,20.005,16.002,20.006,706327,1745939,4901146,10002825,17356237,706327,1745939,10002825,4901146,0.96646935
16,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,946861.0,7216.0,576650,40.363,0.03212,1.869,20.016,15.998,19.999,707536,1744548,4902935,9999746,17354765,707536,1744548,9999746,4902935,0.96667176
17,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,951300.0,7214.0,117320,40.392,0.03347,1.865,20.0,16.009,19.997,705656,1743379,4900018,9998571,17347624,705656,1743379,9998571,4900018,0.9671212
18,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,941387.0,7241.0,277967,40.368,0.03022,1.866,20.002,15.996,19.994,706506,1748225,4892825,9997067,17344623,706506,1748225,9997067,4892825,0.9667907
19,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,947757.0,7417.0,176496,40.379,0.03231,1.871,19.996,15.994,20.005,708530,1743095,4897166,10002705,17351496,708530,1743095,10002705,4897166,0.9669676
20,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,947432.0,7147.0,971360,40.372,0.03224,1.867,19.982,15.993,19.999,706127,1743415,4895188,9999585,17344315,706127,1743415,9999585,4895188,0.9666556
21,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,937849.0,7341.0,731078,40.424,0.02922,1.87,20.0,15.994,20.005,707644,1738504,4903593,10002288,17352029,707644,1738504,10002288,4903593,0.96741414
22,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,940344.0,7371.0,642801,40.38,0.03003,1.866,19.998,15.995,20.0,705754,1745495,4893084,9999854,17344187,705754,1745495,9999854,4893084,0.9669807
23,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,952732.0,7334.0,41663,40.362,0.03417,1.866,19.98,16.004,20.006,704963,1747081,4898380,10003236,17353660,704963,1747081,10003236,4898380,0.9667997
24,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,934580.0,7234.0,129008,40.411,0.02856,1.869,19.983,15.996,19.996,706687,1737566,4897775,9997923,17339951,706687,1737566,9997923,4897775,0.9674488
25,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,951012.0,7275.0,359002,40.375,0.03347,1.869,20.007,16.006,20.006,706640,1743853,4902225,10002792,17355510,706640,1743853,10002792,4902225,0.9665471
26,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,951219.0,7401.0,769676,40.408,0.03358,1.866,19.997,15.996,20.0,705317,1735020,4904584,9999981,17344902,705317,1735020,9999981,4904584,0.9672491
27,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,951058.0,7312.0,112302,40.373,0.03349,1.868,20.01,16.0,20.003,706920,1742133,4905689,10001612,17356354,706920,1742133,10001612,4905689,0.9668596
28,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,964234.0,7464.0,99499,40.365,0.0399,1.863,19.983,15.989,20.005,705146,1746626,4895296,10002486,17349554,705146,1746626,10002486,4895296,0.9667733
29,luxembourg,1000000,1000,2020-01-01,2020-12-31,hybrid,947721.0,7191.0,573947,40.319,0.03235,1.869,19.982,15.999,19.999,706599,1752502,4895080,9999504,17353685,706599,1752502,9999504,4895080,0.9660794
