,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,959352.0,2731.0,250065,29.339,0.03417,3.995,19.984,16.002,20.005,1957913,3015241,4145673,10002729,19121556,1957913,3015241,10002729,4145673,0.8355892
1,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,958859.0,2692.0,632385,29.342,0.03387,4.008,20.005,15.997,20.002,1964275,3024201,4142134,10001157,19131767,1964275,3024201,10001157,4142134,0.83600515
2,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,946447.0,2705.0,904870,29.324,0.02906,3.999,20.005,16.005,20.003,1959738,3011996,4148807,10001728,19122269,1959738,3011996,10001728,4148807,0.8357168
3,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,956585.0,2736.0,3902,29.31,0.03293,3.979,20.005,16.008,19.998,1950385,3024575,4147583,9998773,19121316,1950385,3024575,9998773,4147583,0.83525306
4,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,959544.0,2730.0,877262,29.31,0.03411,3.996,19.998,15.993,20.008,1958455,3016415,4147684,10003881,19126435,1958455,3016415,10003881,4147684,0.835536
5,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,961315.0,2715.0,316537,29.331,0.03517,4.006,20.005,16.004,19.999,1963000,3016149,4148454,9999493,19127096,1963000,3016149,9999493,4148454,0.8358865
6,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,957486.0,2605.0,233853,29.346,0.03335,3.997,20.0,15.994,19.999,1958689,3021439,4145048,9999688,19124864,1958689,3021439,9999688,4145048,0.8356145
7,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,953124.0,2692.0,674317,29.345,0.03162,4.0,20.006,15.996,19.994,1960285,3017148,4146649,9997095,19121177,1960285,3017148,9997095,4146649,0.8357824
8,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,956453.0,2773.0,569136,29.344,0.03293,3.994,19.999,15.989,19.995,1957396,3019254,4139219,9997674,19113543,1957396,3019254,9997674,4139219,0.8357255
9,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,954743.0,2658.0,242012,29.357,0.03203,4.004,19.997,16.007,19.998,1962712,3017936,4153012,9999132,19132792,1962712,3017936,9999132,4153012,0.8359554
10,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,958643.0,2744.0,883210,29.332,0.03353,4.003,20.017,15.994,20.001,1961604,3027312,4143881,10000713,19133510,1961604,3027312,10000713,4143881,0.8357496
