,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,945607.0,999.0,672176,22.863,0.03748,3.986,19.988,15.987,19.995,1952247,3876472,3169704,9997695,18996118,1952247,3876472,9997695,3169704,0.7335338
1,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,931008.0,1086.0,844129,22.854,0.03264,3.979,19.997,16.001,20.002,1948973,3874423,3169961,10000902,18994259,1948973,3874423,10000902,3169961,0.73325217
2,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,930632.0,1104.0,710489,22.864,0.03229,3.985,19.991,16.002,19.998,1952303,3869163,3178164,9999089,18998719,1952303,3869163,9999089,3178164,0.73371154
3,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,928438.0,1057.0,271078,22.884,0.03201,3.975,19.988,15.998,19.994,1947177,3865644,3179862,9996814,18989497,1947177,3865644,9996814,3179862,0.73373115
4,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,931815.0,1029.0,82825,22.865,0.03298,3.981,20.005,16.001,19.998,1950581,3873210,3175208,9999055,18998054,1950581,3873210,9999055,3175208,0.733576
5,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,942617.0,1050.0,200646,22.849,0.03649,3.992,20.003,16.009,20.002,1955275,3886756,3168633,10001122,19011786,1955275,3886756,10001122,3168633,0.73325795
6,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,937776.0,1082.0,696950,22.896,0.03476,3.985,19.996,15.992,20.0,1951815,3871702,3174360,9999773,18997650,1951815,3871702,9999773,3174360,0.73417675
7,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,941638.0,1075.0,47961,22.879,0.03603,3.987,19.994,16.001,20.008,1952723,3869669,3173133,10003884,18999409,1952723,3869669,10003884,3173133,0.7335009
8,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,940105.0,1049.0,425873,22.863,0.03564,3.988,19.995,15.999,20.005,1953968,3869337,3173991,10002631,18999927,1953968,3869337,10002631,3173991,0.7335289
9,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,934764.0,1075.0,376699,22.838,0.0338,3.986,19.998,16.009,19.999,1952939,3869204,3172681,9999397,18994221,1952939,3869204,9999397,3172681,0.73308295
10,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,938703.0,1073.0,595535,22.884,0.0351,3.98,19.994,16.006,20.003,1949929,3868398,3177317,10001453,18997097,1949929,3868398,10001453,3177317,0.7338688
11,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,947457.0,1103.0,325835,22.83,0.03868,3.984,20.003,15.998,20.005,1951866,3883257,3164591,10002652,19002366,1951866,3883257,10002652,3164591,0.73255146
12,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,940412.0,1016.0,714782,22.847,0.03574,3.981,20.006,15.996,20.004,1949816,3882120,3170101,10002010,19004047,1949816,3882120,10002010,3170101,0.7331306
13,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,940699.0,1086.0,176393,22.894,0.03568,3.975,19.999,15.996,19.999,1947235,3872418,3175982,9999566,18995201,1947235,3872418,9999566,3175982,0.73371494
14,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,940549.0,1121.0,486934,22.827,0.03595,3.98,20.001,15.997,20.003,1949267,3872411,3166364,10001319,18989361,1949267,3872411,10001319,3166364,0.73275775
15,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,929717.0,1011.0,997349,22.883,0.03234,3.986,19.993,16.007,20.002,1952651,3862470,3175577,10000754,18991452,1952651,3862470,10000754,3175577,0.7336674
16,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,924934.0,1093.0,383854,22.891,0.03111,3.981,19.994,16.007,20.0,1949635,3868095,3174073,9999897,18991700,1949635,3868095,9999897,3174073,0.73369724
17,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,945240.0,1084.0,769953,22.855,0.03751,3.978,19.999,15.997,20.0,1948868,3880506,3176706,9999806,19005886,1948868,3880506,9999806,3176706,0.73338765
18,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,944876.0,1105.0,851184,22.877,0.03733,3.983,20.004,15.995,19.995,1951171,3877304,3174173,9997599,19000247,1951171,3877304,9997599,3174173,0.73359704
19,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,932409.0,1039.0,772837,22.884,0.03296,3.982,20.009,16.001,20.004,1950240,3877615,3174630,10001882,19004367,1950240,3877615,10001882,3174630,0.7336989
20,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,939507.0,1023.0,152693,22.898,0.03525,3.979,20.002,15.998,20.003,1949564,3878810,3178417,10001302,19008093,1949564,3878810,10001302,3178417,0.73395365
