,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,955082.0,1441.0,139997,26.262,0.03333,4.492,20.006,16.007,19.997,2219108,3457955,3773800,9998273,19449136,2219108,3457955,9998273,3773800,0.7895744
1,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,952359.0,1395.0,243438,26.259,0.0324,4.486,19.997,15.999,20.002,2216597,3456369,3767986,10000859,19441811,2216597,3456369,10000859,3767986,0.78916097
2,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,960983.0,1435.0,846616,26.256,0.0362,4.478,20.014,15.994,19.996,2212282,3449580,3768813,9998009,19428684,2212282,3449580,9998009,3768813,0.78927344
3,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,961927.0,1464.0,759,26.254,0.03659,4.482,20.005,15.999,19.994,2214422,3452589,3773727,9996842,19437580,2214422,3452589,9996842,3773727,0.7895113
4,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,962759.0,1409.0,899290,26.256,0.03739,4.476,20.007,16.003,19.998,2211499,3451776,3771880,9998993,19434148,2211499,3451776,9998993,3771880,0.7891526
5,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,956649.0,1429.0,483474,26.238,0.03403,4.482,19.992,15.994,19.994,2214167,3456111,3772198,9996830,19439306,2214167,3456111,9996830,3772198,0.7893767
6,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,954532.0,1341.0,795802,26.264,0.03301,4.488,19.996,16.002,20.006,2217410,3451625,3772384,10002986,19444405,2217410,3451625,10002986,3772384,0.7893487
7,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,964533.0,1408.0,936995,26.235,0.03817,4.49,19.998,16.004,20.011,2217833,3443315,3779861,10005259,19446268,2217833,3443315,10005259,3779861,0.7893904
8,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,962711.0,1460.0,889250,26.25,0.03726,4.489,19.997,16.008,20.001,2217731,3451476,3770227,10000306,19439740,2217731,3451476,10000306,3770227,0.78910255
9,papua new guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,957731.0,1467.0,780567,26.247,0.03448,4.475,19.984,15.991,20.003,2211343,3454139,3767974,10001481,19434937,2211343,3454139,10001481,3767974,0.7893674
