,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,peru,1000000,1000,2020-01-01,2020-12-31,hybrid,919847.0,3820.0,368042,33.211,0.02477,2.937,20.009,16.001,20.003,1375264,2542422,4450292,10001363,18369341,1375264,2542422,10001363,4450292,0.8825349
1,peru,1000000,1000,2020-01-01,2020-12-31,hybrid,935404.0,3903.0,85657,33.229,0.02799,2.941,19.987,16.004,19.995,1376347,2537258,4452064,9997343,18363012,1376347,2537258,9997343,4452064,0.8826449
2,peru,1000000,1000,2020-01-01,2020-12-31,hybrid,907837.0,3846.0,473724,33.197,0.02277,2.937,20.004,16.001,19.997,1374536,2548385,4446277,9998674,18367872,1374536,2548385,9998674,4446277,0.8821811
3,peru,1000000,1000,2020-01-01,2020-12-31,hybrid,937956.0,3943.0,372644,33.194,0.02857,2.937,20.006,15.995,20.008,1374580,2546278,4443352,10003891,18368101,1374580,2546278,10003891,4443352,0.88228506
4,peru,1000000,1000,2020-01-01,2020-12-31,hybrid,940035.0,3920.0,620389,33.22,0.02915,2.938,19.99,16.008,20.002,1374905,2539586,4448629,10000987,18364107,1374905,2539586,10000987,4448629,0.88289165
5,peru,1000000,1000,2020-01-01,2020-12-31,hybrid,931574.0,3890.0,847262,33.238,0.02701,2.945,20.008,16.003,19.999,1378678,2538404,4455552,9999466,18372100,1378678,2538404,9999466,4455552,0.88297176
6,peru,1000000,1000,2020-01-01,2020-12-31,hybrid,920177.0,3894.0,442380,33.254,0.02472,2.935,19.999,16.001,20.006,1373798,2540074,4445227,10002826,18361925,1373798,2540074,10002826,4445227,0.88299733
7,peru,1000000,1000,2020-01-01,2020-12-31,hybrid,926428.0,3827.0,72603,33.216,0.02589,2.952,20.003,15.993,20.001,1381989,2541998,4450962,10000632,18375581,1381989,2541998,10000632,4450962,0.882385
8,peru,1000000,1000,2020-01-01,2020-12-31,hybrid,921056.0,4031.0,528138,33.246,0.02488,2.94,20.003,16.005,19.99,1375806,2541412,4452904,9994980,18365102,1375806,2541412,9994980,4452904,0.88285285
9,peru,1000000,1000,2020-01-01,2020-12-31,hybrid,929472.0,3911.0,633229,33.235,0.02652,2.943,20.01,15.998,20.009,1377027,2548764,4443996,10004744,18374531,1377027,2548764,10004744,4443996,0.8825391
