,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,918945.0,8189.0,231294,42.429,0.02409,2.157,20.006,16.012,19.997,900724,1617481,4704143,9998737,17221085,900724,1617481,9998737,4704143,0.9917066
1,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,922267.0,8269.0,259144,42.428,0.02449,2.164,20.006,15.995,19.996,904420,1617432,4701093,9998186,17221131,904420,1617432,9998186,4701093,0.99228203
2,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,947815.0,8679.0,312202,42.459,0.0303,2.157,20.004,15.992,19.999,901517,1615723,4699022,9999565,17215827,901517,1615723,9999565,4699022,0.99215215
3,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,945536.0,8585.0,232594,42.467,0.02964,2.161,19.982,16.009,20.001,902567,1610049,4701331,10000730,17214677,902567,1610049,10000730,4701331,0.99233514
4,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,925033.0,8431.0,480370,42.483,0.02496,2.161,19.99,16.006,20.0,902665,1612578,4698428,9999905,17213576,902665,1612578,9999905,4698428,0.9926365
5,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,945809.0,8560.0,816909,42.495,0.02962,2.164,20.01,15.993,19.996,903937,1607126,4696705,9997948,17205716,903937,1607126,9997948,4696705,0.99270326
6,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,952797.0,8573.0,869837,42.447,0.03208,2.161,19.981,16.003,19.986,902690,1616589,4697629,9993166,17210074,902690,1616589,9993166,4697629,0.99221957
7,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,919799.0,8244.0,12535,42.42,0.02409,2.16,20.0,15.996,20.001,902937,1615646,4700904,10000558,17220045,902937,1615646,10000558,4700904,0.9919245
8,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,936973.0,8457.0,321905,42.475,0.02735,2.163,19.98,16.001,19.998,904378,1605368,4699451,9999047,17208244,904378,1605368,9999047,4699451,0.99239075
9,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,943653.0,8475.0,960912,42.46,0.02894,2.162,20.012,16.0,19.993,903841,1614820,4702023,9996696,17217380,903841,1614820,9996696,4702023,0.9926027
