,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,811205.0,7386.0,203236,42.807,0.01517,2.22,19.997,15.994,19.998,940838,1692058,4624026,9999153,17256075,940838,1692058,9999153,4624026,0.99068373
1,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,893879.0,8390.0,135626,42.829,0.02051,2.219,19.997,15.99,20.006,940107,1689453,4622129,10003035,17254724,940107,1689453,10003035,4622129,0.99096036
2,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,849019.0,7704.0,790575,42.777,0.01706,2.213,20.013,15.995,19.999,936590,1699673,4621182,9999622,17257067,936590,1699673,9999622,4621182,0.9901443
3,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,727995.0,6408.0,745597,42.832,0.01245,2.216,20.017,16.011,20.002,938767,1690495,4629032,10001037,17259331,938767,1690495,10001037,4629032,0.99101
4,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,817899.0,7310.0,987655,42.853,0.01541,2.22,20.017,16.006,20.007,941286,1690334,4621284,10003377,17256281,941286,1690334,10003377,4621284,0.99106735
5,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,824435.0,7699.0,192346,42.795,0.01579,2.22,20.005,15.996,20.002,939389,1698445,4616691,10001064,17255589,939389,1698445,10001064,4616691,0.9903398
6,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,818738.0,7282.0,269835,42.802,0.01546,2.22,19.984,15.996,20.003,939989,1693648,4621640,10001521,17256798,939989,1693648,10001521,4621640,0.99033755
7,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,794827.0,7317.0,529463,42.769,0.01458,2.214,19.988,16.0,20.011,936643,1694139,4625854,10005693,17262329,936643,1694139,10005693,4625854,0.99026716
8,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,798861.0,7250.0,858399,42.77,0.01471,2.212,20.0,16.01,20.001,936780,1697705,4619653,10000461,17254599,936780,1697705,10000461,4619653,0.9901045
9,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,866398.0,8075.0,349164,42.787,0.01826,2.217,20.021,15.999,19.998,939154,1695553,4620041,9998806,17253554,939154,1695553,9998806,4620041,0.990411
10,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,857941.0,7753.0,869611,42.761,0.01773,2.214,19.994,15.994,20.001,937992,1692452,4624526,10000353,17255323,937992,1692452,10000353,4624526,0.99036294
